"TIME","GEO","NA_ITEM","PPP_CAT","Value","Flag and Footnotes"
"2009","European Union - 27 countries (from 2020)","Price level indices (EU28=100)","Clothing","104.6",""
"2009","European Union - 28 countries (2013-2020)","Price level indices (EU28=100)","Clothing","100.0",""
"2009","European Union - 27 countries (2007-2013)","Price level indices (EU28=100)","Clothing","100.0",""
"2009","European Union - 25 countries (2004-2006)","Price level indices (EU28=100)","Clothing","100.1",""
"2009","European Union - 15 countries (1995-2004)","Price level indices (EU28=100)","Clothing","100.2",""
"2009","Euro area - 19 countries  (from 2015)","Price level indices (EU28=100)","Clothing","104.6",""
"2009","Euro area - 18 countries (2014)","Price level indices (EU28=100)","Clothing","104.6",""
"2009","Euro area - 17 countries (2011-2013)","Price level indices (EU28=100)","Clothing","104.6",""
"2009","Euro area - 16 countries (2009-2010)","Price level indices (EU28=100)","Clothing","104.6",""
"2009","Euro area - 15 countries (2008)","Price level indices (EU28=100)","Clothing","104.6",""
"2009","Euro area - 13 countries (2007)","Price level indices (EU28=100)","Clothing","104.6",""
"2009","Euro area - 12 countries (2001-2006)","Price level indices (EU28=100)","Clothing","104.6",""
"2009","Euro area - 11 countries (1999-2000)","Price level indices (EU28=100)","Clothing","104.5",""
"2009","Belgium","Price level indices (EU28=100)","Clothing","116.2",""
"2009","Bulgaria","Price level indices (EU28=100)","Clothing","77.1",""
"2009","Czechia","Price level indices (EU28=100)","Clothing","99.0",""
"2009","Denmark","Price level indices (EU28=100)","Clothing","132.3",""
"2009","Germany (until 1990 former territory of the FRG)","Price level indices (EU28=100)","Clothing","105.3",""
"2009","Estonia","Price level indices (EU28=100)","Clothing","100.5",""
"2009","Ireland","Price level indices (EU28=100)","Clothing","107.7",""
"2009","Greece","Price level indices (EU28=100)","Clothing","107.5",""
"2009","Spain","Price level indices (EU28=100)","Clothing","92.5",""
"2009","France","Price level indices (EU28=100)","Clothing","108.7",""
"2009","Croatia","Price level indices (EU28=100)","Clothing","110.5",""
"2009","Italy","Price level indices (EU28=100)","Clothing","104.1",""
"2009","Cyprus","Price level indices (EU28=100)","Clothing","96.7",""
"2009","Latvia","Price level indices (EU28=100)","Clothing","109.8",""
"2009","Lithuania","Price level indices (EU28=100)","Clothing","107.2",""
"2009","Luxembourg","Price level indices (EU28=100)","Clothing","107.6",""
"2009","Hungary","Price level indices (EU28=100)","Clothing","87.0",""
"2009","Malta","Price level indices (EU28=100)","Clothing","93.6",""
"2009","Netherlands","Price level indices (EU28=100)","Clothing","105.5",""
"2009","Austria","Price level indices (EU28=100)","Clothing","104.4",""
"2009","Poland","Price level indices (EU28=100)","Clothing","96.0",""
"2009","Portugal","Price level indices (EU28=100)","Clothing","103.9",""
"2009","Romania","Price level indices (EU28=100)","Clothing","94.4",""
"2009","Slovenia","Price level indices (EU28=100)","Clothing","104.3",""
"2009","Slovakia","Price level indices (EU28=100)","Clothing","105.5",""
"2009","Finland","Price level indices (EU28=100)","Clothing","123.0",""
"2009","Sweden","Price level indices (EU28=100)","Clothing","112.9",""
