"TIME","GEO","NA_ITEM","PPP_CAT","Value","Flag and Footnotes"
"2009","European Union - 27 countries (from 2020)","Price level indices (EU28=100)","Households appliances","100.7",""
"2009","European Union - 28 countries (2013-2020)","Price level indices (EU28=100)","Households appliances","100.0",""
"2009","European Union - 27 countries (2007-2013)","Price level indices (EU28=100)","Households appliances","100.0",""
"2009","European Union - 25 countries (2004-2006)","Price level indices (EU28=100)","Households appliances","100.6",""
"2009","European Union - 15 countries (1995-2004)","Price level indices (EU28=100)","Households appliances","102.0",""
"2009","Euro area - 19 countries  (from 2015)","Price level indices (EU28=100)","Households appliances","102.6",""
"2009","Euro area - 18 countries (2014)","Price level indices (EU28=100)","Households appliances","102.6",""
"2009","Euro area - 17 countries (2011-2013)","Price level indices (EU28=100)","Households appliances","102.6",""
"2009","Euro area - 16 countries (2009-2010)","Price level indices (EU28=100)","Households appliances","102.6",""
"2009","Euro area - 15 countries (2008)","Price level indices (EU28=100)","Households appliances","102.7",""
"2009","Euro area - 13 countries (2007)","Price level indices (EU28=100)","Households appliances","102.6",""
"2009","Euro area - 12 countries (2001-2006)","Price level indices (EU28=100)","Households appliances","102.6",""
"2009","Euro area - 11 countries (1999-2000)","Price level indices (EU28=100)","Households appliances","102.7",""
"2009","Belgium","Price level indices (EU28=100)","Households appliances","105.9",""
"2009","Bulgaria","Price level indices (EU28=100)","Households appliances","85.1",""
"2009","Czechia","Price level indices (EU28=100)","Households appliances","95.1",""
"2009","Denmark","Price level indices (EU28=100)","Households appliances","121.7",""
"2009","Germany (until 1990 former territory of the FRG)","Price level indices (EU28=100)","Households appliances","94.6",""
"2009","Estonia","Price level indices (EU28=100)","Households appliances","95.0",""
"2009","Ireland","Price level indices (EU28=100)","Households appliances","99.7",""
"2009","Greece","Price level indices (EU28=100)","Households appliances","97.8",""
"2009","Spain","Price level indices (EU28=100)","Households appliances","110.6",""
"2009","France","Price level indices (EU28=100)","Households appliances","111.3",""
"2009","Croatia","Price level indices (EU28=100)","Households appliances","99.8",""
"2009","Italy","Price level indices (EU28=100)","Households appliances","108.5",""
"2009","Cyprus","Price level indices (EU28=100)","Households appliances","121.1",""
"2009","Latvia","Price level indices (EU28=100)","Households appliances","94.4",""
"2009","Lithuania","Price level indices (EU28=100)","Households appliances","94.3",""
"2009","Luxembourg","Price level indices (EU28=100)","Households appliances","98.5",""
"2009","Hungary","Price level indices (EU28=100)","Households appliances","80.6",""
"2009","Malta","Price level indices (EU28=100)","Households appliances","131.2",""
"2009","Netherlands","Price level indices (EU28=100)","Households appliances","91.5",""
"2009","Austria","Price level indices (EU28=100)","Households appliances","96.1",""
"2009","Poland","Price level indices (EU28=100)","Households appliances","77.4",""
"2009","Portugal","Price level indices (EU28=100)","Households appliances","93.0",""
"2009","Romania","Price level indices (EU28=100)","Households appliances","79.8",""
"2009","Slovenia","Price level indices (EU28=100)","Households appliances","106.5",""
"2009","Slovakia","Price level indices (EU28=100)","Households appliances","96.6",""
"2009","Finland","Price level indices (EU28=100)","Households appliances","108.8",""
"2009","Sweden","Price level indices (EU28=100)","Households appliances","113.5",""
"2009","United Kingdom","Price level indices (EU28=100)","Households appliances","95.4",""
"2009","Iceland","Price level indices (EU28=100)","Households appliances","149.8",""
"2009","Norway","Price level indices (EU28=100)","Households appliances","120.1",""
"2009","Switzerland","Price level indices (EU28=100)","Households appliances","105.4",""
"2009","Candidate and potential candidate countries except Turkey and Kosovo (under United Nations Security Council Resolution 1244/99)","Price level indices (EU28=100)","Households appliances","89.8",""
"2009","Montenegro","Price level indices (EU28=100)","Households appliances","86.6",""
"2009","North Macedonia","Price level indices (EU28=100)","Households appliances","77.3",""
"2009","Albania","Price level indices (EU28=100)","Households appliances","102.5",""
"2009","Serbia","Price level indices (EU28=100)","Households appliances","89.5",""
"2009","Turkey","Price level indices (EU28=100)","Households appliances","90.3",""
"2009","Bosnia and Herzegovina","Price level indices (EU28=100)","Households appliances","92.7",""
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Price level indices (EU28=100)","Households appliances",":",""
"2009","United States","Price level indices (EU28=100)","Households appliances",":",""
"2009","Japan","Price level indices (EU28=100)","Households appliances",":",""
"2010","European Union - 27 countries (from 2020)","Price level indices (EU28=100)","Households appliances","99.7",""
"2010","European Union - 28 countries (2013-2020)","Price level indices (EU28=100)","Households appliances","100.0",""
"2010","European Union - 27 countries (2007-2013)","Price level indices (EU28=100)","Households appliances","100.0",""
"2010","European Union - 25 countries (2004-2006)","Price level indices (EU28=100)","Households appliances","100.5",""
"2010","European Union - 15 countries (1995-2004)","Price level indices (EU28=100)","Households appliances","101.7",""
"2010","Euro area - 19 countries  (from 2015)","Price level indices (EU28=100)","Households appliances","100.7",""
"2010","Euro area - 18 countries (2014)","Price level indices (EU28=100)","Households appliances","100.7",""
"2010","Euro area - 17 countries (2011-2013)","Price level indices (EU28=100)","Households appliances","100.8",""
"2010","Euro area - 16 countries (2009-2010)","Price level indices (EU28=100)","Households appliances","100.8",""
"2010","Euro area - 15 countries (2008)","Price level indices (EU28=100)","Households appliances","100.9",""
"2010","Euro area - 13 countries (2007)","Price level indices (EU28=100)","Households appliances","100.8",""
"2010","Euro area - 12 countries (2001-2006)","Price level indices (EU28=100)","Households appliances","100.8",""
"2010","Euro area - 11 countries (1999-2000)","Price level indices (EU28=100)","Households appliances","100.9",""
"2010","Belgium","Price level indices (EU28=100)","Households appliances","105.7",""
"2010","Bulgaria","Price level indices (EU28=100)","Households appliances","83.6",""
"2010","Czechia","Price level indices (EU28=100)","Households appliances","97.1",""
"2010","Denmark","Price level indices (EU28=100)","Households appliances","121.3",""
"2010","Germany (until 1990 former territory of the FRG)","Price level indices (EU28=100)","Households appliances","93.5",""
"2010","Estonia","Price level indices (EU28=100)","Households appliances","94.0",""
"2010","Ireland","Price level indices (EU28=100)","Households appliances","95.1",""
"2010","Greece","Price level indices (EU28=100)","Households appliances","96.8",""
"2010","Spain","Price level indices (EU28=100)","Households appliances","108.7",""
"2010","France","Price level indices (EU28=100)","Households appliances","107.4",""
"2010","Croatia","Price level indices (EU28=100)","Households appliances","99.9",""
"2010","Italy","Price level indices (EU28=100)","Households appliances","107.5",""
"2010","Cyprus","Price level indices (EU28=100)","Households appliances","116.9",""
"2010","Latvia","Price level indices (EU28=100)","Households appliances","86.9",""
"2010","Lithuania","Price level indices (EU28=100)","Households appliances","89.4",""
"2010","Luxembourg","Price level indices (EU28=100)","Households appliances","97.2",""
"2010","Hungary","Price level indices (EU28=100)","Households appliances","82.9",""
"2010","Malta","Price level indices (EU28=100)","Households appliances","131.6",""
"2010","Netherlands","Price level indices (EU28=100)","Households appliances","91.1",""
"2010","Austria","Price level indices (EU28=100)","Households appliances","98.2",""
"2010","Poland","Price level indices (EU28=100)","Households appliances","81.8",""
"2010","Portugal","Price level indices (EU28=100)","Households appliances","91.8",""
"2010","Romania","Price level indices (EU28=100)","Households appliances","81.3",""
"2010","Slovenia","Price level indices (EU28=100)","Households appliances","105.3",""
"2010","Slovakia","Price level indices (EU28=100)","Households appliances","92.4",""
"2010","Finland","Price level indices (EU28=100)","Households appliances","108.8",""
"2010","Sweden","Price level indices (EU28=100)","Households appliances","125.2",""
"2010","United Kingdom","Price level indices (EU28=100)","Households appliances","102.4",""
"2010","Iceland","Price level indices (EU28=100)","Households appliances","159.5",""
"2010","Norway","Price level indices (EU28=100)","Households appliances","129.3",""
"2010","Switzerland","Price level indices (EU28=100)","Households appliances","113.0",""
"2010","Candidate and potential candidate countries except Turkey and Kosovo (under United Nations Security Council Resolution 1244/99)","Price level indices (EU28=100)","Households appliances","87.4",""
"2010","Montenegro","Price level indices (EU28=100)","Households appliances","81.7",""
"2010","North Macedonia","Price level indices (EU28=100)","Households appliances","76.4",""
"2010","Albania","Price level indices (EU28=100)","Households appliances","97.9",""
"2010","Serbia","Price level indices (EU28=100)","Households appliances","87.1",""
"2010","Turkey","Price level indices (EU28=100)","Households appliances","97.5",""
"2010","Bosnia and Herzegovina","Price level indices (EU28=100)","Households appliances","91.5",""
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Price level indices (EU28=100)","Households appliances",":",""
"2010","United States","Price level indices (EU28=100)","Households appliances",":",""
"2010","Japan","Price level indices (EU28=100)","Households appliances",":",""
"2011","European Union - 27 countries (from 2020)","Price level indices (EU28=100)","Households appliances","99.4",""
"2011","European Union - 28 countries (2013-2020)","Price level indices (EU28=100)","Households appliances","100.0",""
"2011","European Union - 27 countries (2007-2013)","Price level indices (EU28=100)","Households appliances","100.0",""
"2011","European Union - 25 countries (2004-2006)","Price level indices (EU28=100)","Households appliances","100.4",""
"2011","European Union - 15 countries (1995-2004)","Price level indices (EU28=100)","Households appliances","101.9",""
"2011","Euro area - 19 countries  (from 2015)","Price level indices (EU28=100)","Households appliances","100.5",""
"2011","Euro area - 18 countries (2014)","Price level indices (EU28=100)","Households appliances","100.6",""
"2011","Euro area - 17 countries (2011-2013)","Price level indices (EU28=100)","Households appliances","100.6",""
"2011","Euro area - 16 countries (2009-2010)","Price level indices (EU28=100)","Households appliances","100.6",""
"2011","Euro area - 15 countries (2008)","Price level indices (EU28=100)","Households appliances","100.7",""
"2011","Euro area - 13 countries (2007)","Price level indices (EU28=100)","Households appliances","100.7",""
