Name,Consumptionpercapita,GWP per capita
Belgisch Park,102.6930869,51.19250381
Westbroekpark,120.6808526,60.15940503
Duttendel,125.0222794,62.32360627
Nassaubuurt,115.8143359,57.73344646
Uilennest,116.7697143,58.2097026
Duinzigt,118.9629139,59.30301257
Waalsdorp,123.6758145,61.65239353
Arendsdorp,118.5975615,59.1208844
Van Hoytemastraat en omgeving,117.419369,58.53355545
Archipelbuurt,127.176628,63.39754907
Van Stolkpark en Scheveningse Bosjes,125.7911391,62.70688285
Oud Scheveningen,104.572916,52.12959863
Vissershaven,127.5113165,63.56439129
Scheveningen Badplaats,105.8565484,52.76948938
Visserijbuurt,116.3976452,58.02422611
Rijslag,114.9087012,57.28198753
Duindorp,101.0815094,50.38913242
Statenkwartier,121.6834217,60.6591857
Geuzenkwartier,129.8845842,64.74746521
Zorgvliet,106.0178451,52.84989579
Stadhoudersplantsoen,120.9098133,60.27354192
Sweelinckplein en omgeving,122.7508326,61.19129007
Bloemenbuurt-West,124.9762448,62.30065803
Bloemenbuurt-Oost,127.167969,63.39323255
Bomenbuurt,115.7990539,57.72582835
Vogelwijk,119.9570716,59.79860021
Bosjes van Pex,103.055015,51.37292497
Bohemen en Meer en Bos,126.3419624,62.98146825
Ockenburgh,85.33576399,42.53987835
Kijkduin,126.3337652,62.97738193
Kraayenstein,94.11213805,46.91490082
Houtwijk,116.2080042,57.92969011
Kom Loosduinen,117.4804249,58.5639918
Waldeck-Zuid,124.8387861,62.23213488
Nieuw Waldeck,120.433287,60.03599359
Rosenburg,117.4855078,58.56652562
Componistenbuurt,124.509912,62.06819113
Waldeck-Noord,118.1452395,58.89540188
Vruchtenbuurt,121.5154645,60.57545906
Eykenduinen,125.6262837,62.62470243
Heesterbuurt,125.3671178,62.49550824
Valkenboskwartier,113.3466068,56.50328347
Rond de Energiecentrale,94.41595945,47.06635579
Koningsplein en omgeving,114.7776575,57.21666225
Zeeheldenkwartier,72.5179581,36.15020211
Willemspark,101.6325934,50.66384782
Haagse Bos,120.1856523,59.91254765
Landen,118.920907,59.28207216
Kampen,120.4204071,60.02957292
Marlot,94.37323345,47.04505687
Burgen en Horsten,123.070332,61.35056051
Bezuidenhout-West,110.6213623,55.14474913
Bezuidenhout-Midden,116.5887353,58.11948455
Bezuidenhout-Oost,115.2810229,57.46758993
Huygenspark,109.286543,54.47934171
Rivierenbuurt-Zuid,101.2836831,50.48991601
Rivierenbuurt-Noord,96.82479419,48.2671599
Kortenbos,71.61438102,35.69976894
Voorhout,90.8430958,45.28528326
Uilebomen,99.11709143,49.40987008
Zuidwal,93.36198436,46.5409492
Schildersbuurt-West,86.71616402,43.22800776
Schildersbuurt-Noord,97.92270022,48.81446606
Schildersbuurt-Oost,99.26899456,49.48559379
Transvaalkwartier-Noord,108.3533949,54.01416734
Transvaalkwartier-Midden,110.8354246,55.25145915
Transvaalkwartier-Zuid,102.6645463,51.17827632
Rustenburg,105.9205245,52.80138146
Oostbroek-Noord,95.61401108,47.66358452
Oostbroek-Zuid,98.69935437,49.20162815
Leyenburg,114.0360447,56.84696827
"Venen, Oorden en Raden",124.2139842,61.92067113
"Zijden, Steden en Zichten",124.5843384,62.10529271
Dreven en Gaarden,123.3549879,61.49246149
De Uithof,122.4639231,61.04826564
Morgenstond-Zuid,107.6931942,53.68505729
Morgenstond-West,122.6603454,61.1461822
Morgenstond-Oost,108.5078331,54.09115481
Moerwijk-Oost,112.1453505,55.90445723
Moerwijk-West,112.9734485,56.31726406
Moerwijk-Noord,110.1383125,54.90394876
Moerwijk-Zuid,109.3344922,54.50324437
Groente- en Fruitmarkt,110.3887516,55.02879269
Laakhaven-Oost,116.2650454,57.95812512
Laakhaven-West,93.8328915,46.77569641
Spoorwijk,92.12729583,45.92545697
Laakkwartier-West,94.79857032,47.25708731
Laakkwartier-Oost,94.37849736,47.04768093
Noordpolderbuurt,94.57642289,47.14634681
Binckhorst,77.03906173,38.40397227
Erasmus Veld,99.53734693,49.61936744
Hoge Veld,115.3389481,57.49646561
Parkbuurt oosteinde,77.67847046,38.72271752
Lage Veld,89.25128634,44.49176624
Zonne Veld,91.35771488,45.54182087
Vlietzoom-West,100.8497204,50.27358564
Bosweide,89.60020532,44.66570235
De Venen,101.5334214,50.61441059
Morgenweide,86.11992526,42.93078274
Singels,94.40192445,47.05935934
Waterbuurt,85.25471453,42.49947519
De Bras,95.36921568,47.54155401
Vlietzoom-Oost,84.99013126,42.36758043
De Lanen,105.9849473,52.83349625
De Velden,93.15845891,46.43949177
De Vissen,107.7948663,53.73574087
Rietbuurt,103.7159409,51.70239653
