"TIME","GEO","NA_ITEM","PPP_CAT","Value","Flag and Footnotes"
"2009","European Union - 27 countries (from 2020)","Price level indices (EU28=100)","Footwear","102.7",""
"2009","European Union - 28 countries (2013-2020)","Price level indices (EU28=100)","Footwear","100.0",""
"2009","European Union - 27 countries (2007-2013)","Price level indices (EU28=100)","Footwear","100.0",""
"2009","European Union - 25 countries (2004-2006)","Price level indices (EU28=100)","Footwear","100.2",""
"2009","European Union - 15 countries (1995-2004)","Price level indices (EU28=100)","Footwear","101.1",""
"2009","Euro area - 19 countries  (from 2015)","Price level indices (EU28=100)","Footwear","104.0",""
"2009","Euro area - 18 countries (2014)","Price level indices (EU28=100)","Footwear","104.0",""
"2009","Euro area - 17 countries (2011-2013)","Price level indices (EU28=100)","Footwear","104.0",""
"2009","Euro area - 16 countries (2009-2010)","Price level indices (EU28=100)","Footwear","104.0",""
"2009","Euro area - 15 countries (2008)","Price level indices (EU28=100)","Footwear","104.1",""
"2009","Euro area - 13 countries (2007)","Price level indices (EU28=100)","Footwear","104.1",""
"2009","Euro area - 12 countries (2001-2006)","Price level indices (EU28=100)","Footwear","104.2",""
"2009","Euro area - 11 countries (1999-2000)","Price level indices (EU28=100)","Footwear","104.1",""
"2009","Belgium","Price level indices (EU28=100)","Footwear","112.3",""
"2009","Bulgaria","Price level indices (EU28=100)","Footwear","77.0",""
"2009","Czechia","Price level indices (EU28=100)","Footwear","95.6",""
"2009","Denmark","Price level indices (EU28=100)","Footwear","115.6",""
"2009","Germany (until 1990 former territory of the FRG)","Price level indices (EU28=100)","Footwear","103.4",""
"2009","Estonia","Price level indices (EU28=100)","Footwear","108.3",""
"2009","Ireland","Price level indices (EU28=100)","Footwear","90.5",""
"2009","Greece","Price level indices (EU28=100)","Footwear","106.9",""
"2009","Spain","Price level indices (EU28=100)","Footwear","102.2",""
"2009","France","Price level indices (EU28=100)","Footwear","96.8",""
"2009","Croatia","Price level indices (EU28=100)","Footwear","100.9",""
"2009","Italy","Price level indices (EU28=100)","Footwear","114.6",""
"2009","Cyprus","Price level indices (EU28=100)","Footwear","93.4",""
"2009","Latvia","Price level indices (EU28=100)","Footwear","106.4",""
"2009","Lithuania","Price level indices (EU28=100)","Footwear","110.6",""
"2009","Luxembourg","Price level indices (EU28=100)","Footwear","109.1",""
"2009","Hungary","Price level indices (EU28=100)","Footwear","89.6",""
"2009","Malta","Price level indices (EU28=100)","Footwear","92.2",""
"2009","Netherlands","Price level indices (EU28=100)","Footwear","109.1",""
"2009","Austria","Price level indices (EU28=100)","Footwear","100.8",""
"2009","Poland","Price level indices (EU28=100)","Footwear","82.4",""
"2009","Portugal","Price level indices (EU28=100)","Footwear","88.9",""
"2009","Romania","Price level indices (EU28=100)","Footwear","93.0",""
"2009","Slovenia","Price level indices (EU28=100)","Footwear","89.7",""
"2009","Slovakia","Price level indices (EU28=100)","Footwear","94.7",""
"2009","Finland","Price level indices (EU28=100)","Footwear","119.9",""
"2009","Sweden","Price level indices (EU28=100)","Footwear","105.1",""
"2009","United Kingdom","Price level indices (EU28=100)","Footwear","85.3",""
"2009","Iceland","Price level indices (EU28=100)","Footwear","117.3",""
"2009","Norway","Price level indices (EU28=100)","Footwear","132.2",""
"2009","Switzerland","Price level indices (EU28=100)","Footwear","111.6",""
"2009","Candidate and potential candidate countries except Turkey and Kosovo (under United Nations Security Council Resolution 1244/99)","Price level indices (EU28=100)","Footwear","95.8",""
"2009","Montenegro","Price level indices (EU28=100)","Footwear","112.5",""
"2009","North Macedonia","Price level indices (EU28=100)","Footwear","77.0",""
"2009","Albania","Price level indices (EU28=100)","Footwear","83.6",""
"2009","Serbia","Price level indices (EU28=100)","Footwear","102.2",""
"2009","Turkey","Price level indices (EU28=100)","Footwear","66.2",""
"2009","Bosnia and Herzegovina","Price level indices (EU28=100)","Footwear","102.2",""
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Price level indices (EU28=100)","Footwear",":",""
"2009","United States","Price level indices (EU28=100)","Footwear",":",""
"2009","Japan","Price level indices (EU28=100)","Footwear",":",""
"2010","European Union - 27 countries (from 2020)","Price level indices (EU28=100)","Footwear","102.4",""
"2010","European Union - 28 countries (2013-2020)","Price level indices (EU28=100)","Footwear","100.0",""
"2010","European Union - 27 countries (2007-2013)","Price level indices (EU28=100)","Footwear","100.0",""
"2010","European Union - 25 countries (2004-2006)","Price level indices (EU28=100)","Footwear","100.2",""
"2010","European Union - 15 countries (1995-2004)","Price level indices (EU28=100)","Footwear","101.1",""
"2010","Euro area - 19 countries  (from 2015)","Price level indices (EU28=100)","Footwear","103.4",""
"2010","Euro area - 18 countries (2014)","Price level indices (EU28=100)","Footwear","103.4",""
"2010","Euro area - 17 countries (2011-2013)","Price level indices (EU28=100)","Footwear","103.4",""
"2010","Euro area - 16 countries (2009-2010)","Price level indices (EU28=100)","Footwear","103.4",""
"2010","Euro area - 15 countries (2008)","Price level indices (EU28=100)","Footwear","103.5",""
"2010","Euro area - 13 countries (2007)","Price level indices (EU28=100)","Footwear","103.6",""
"2010","Euro area - 12 countries (2001-2006)","Price level indices (EU28=100)","Footwear","103.7",""
"2010","Euro area - 11 countries (1999-2000)","Price level indices (EU28=100)","Footwear","103.6",""
"2010","Belgium","Price level indices (EU28=100)","Footwear","112.6",""
"2010","Bulgaria","Price level indices (EU28=100)","Footwear","73.3",""
"2010","Czechia","Price level indices (EU28=100)","Footwear","98.0",""
"2010","Denmark","Price level indices (EU28=100)","Footwear","112.3",""
"2010","Germany (until 1990 former territory of the FRG)","Price level indices (EU28=100)","Footwear","103.4",""
"2010","Estonia","Price level indices (EU28=100)","Footwear","110.5",""
"2010","Ireland","Price level indices (EU28=100)","Footwear","80.9",""
"2010","Greece","Price level indices (EU28=100)","Footwear","108.2",""
"2010","Spain","Price level indices (EU28=100)","Footwear","100.6",""
"2010","France","Price level indices (EU28=100)","Footwear","97.1",""
"2010","Croatia","Price level indices (EU28=100)","Footwear","96.4",""
"2010","Italy","Price level indices (EU28=100)","Footwear","113.9",""
"2010","Cyprus","Price level indices (EU28=100)","Footwear","91.1",""
"2010","Latvia","Price level indices (EU28=100)","Footwear","100.2",""
"2010","Lithuania","Price level indices (EU28=100)","Footwear","103.8",""
"2010","Luxembourg","Price level indices (EU28=100)","Footwear","109.6",""
"2010","Hungary","Price level indices (EU28=100)","Footwear","91.0",""
"2010","Malta","Price level indices (EU28=100)","Footwear","91.5",""
"2010","Netherlands","Price level indices (EU28=100)","Footwear","108.6",""
"2010","Austria","Price level indices (EU28=100)","Footwear","102.7",""
"2010","Poland","Price level indices (EU28=100)","Footwear","85.6",""
"2010","Portugal","Price level indices (EU28=100)","Footwear","86.9",""
"2010","Romania","Price level indices (EU28=100)","Footwear","94.7",""
"2010","Slovenia","Price level indices (EU28=100)","Footwear","87.6",""
"2010","Slovakia","Price level indices (EU28=100)","Footwear","92.0",""
"2010","Finland","Price level indices (EU28=100)","Footwear","121.0",""
"2010","Sweden","Price level indices (EU28=100)","Footwear","117.5",""
"2010","United Kingdom","Price level indices (EU28=100)","Footwear","87.0",""
"2010","Iceland","Price level indices (EU28=100)","Footwear","142.2",""
"2010","Norway","Price level indices (EU28=100)","Footwear","142.5",""
"2010","Switzerland","Price level indices (EU28=100)","Footwear","119.2",""
"2010","Candidate and potential candidate countries except Turkey and Kosovo (under United Nations Security Council Resolution 1244/99)","Price level indices (EU28=100)","Footwear","91.4",""
