"TIME","GEO","NA_ITEM","PPP_CAT","Value","Flag and Footnotes"
"2009","European Union - 27 countries (from 2020)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.4",""
"2009","European Union - 28 countries (2013-2020)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.0",""
"2009","European Union - 27 countries (2007-2013)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.1",""
"2009","European Union - 25 countries (2004-2006)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.6",""
"2009","European Union - 15 countries (1995-2004)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","102.3",""
"2009","Euro area - 19 countries  (from 2015)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","103.2",""
"2009","Euro area - 18 countries (2014)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","103.2",""
"2009","Euro area - 17 countries (2011-2013)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","103.3",""
"2009","Euro area - 16 countries (2009-2010)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","103.3",""
"2009","Euro area - 15 countries (2008)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","103.4",""
"2009","Euro area - 13 countries (2007)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","103.4",""
"2009","Euro area - 12 countries (2001-2006)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","103.4",""
"2009","Euro area - 11 countries (1999-2000)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","103.2",""
"2009","Belgium","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","107.4",""
"2009","Bulgaria","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","66.6",""
"2009","Czechia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","75.6",""
"2009","Denmark","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","109.2",""
"2009","Germany (until 1990 former territory of the FRG)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","99.2",""
"2009","Estonia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","90.4",""
"2009","Ireland","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","96.2",""
"2009","Greece","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","113.1",""
"2009","Spain","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","112.6",""
"2009","France","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","99.5",""
"2009","Croatia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","82.9",""
"2009","Italy","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","109.0",""
"2009","Cyprus","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","109.0",""
"2009","Latvia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","79.2",""
"2009","Lithuania","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","77.5",""
"2009","Luxembourg","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","105.4",""
"2009","Hungary","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","72.7",""
"2009","Malta","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","122.0",""
"2009","Netherlands","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.0",""
"2009","Austria","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","97.6",""
"2009","Poland","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","71.4",""
"2009","Portugal","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","128.9",""
