"COICOP","GEO","UNIT","TIME","Value","Flag and Footnotes"
"Double bed frame, pressboard (1 piece)","Bulgaria","Euro","2015",":",""
"Double bed frame, pressboard (1 piece)","Czechia","Euro","2015","373.27",""
"Double bed frame, pressboard (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Double bed frame, pressboard (1 piece)","Spain","Euro","2015",":",""
"Double bed frame, pressboard (1 piece)","Croatia","Euro","2015","267.12","d"
"Double bed frame, pressboard (1 piece)","Italy","Euro","2015",":",""
"Double bed frame, pressboard (1 piece)","Cyprus","Euro","2015","199.75",""
"Double bed frame, pressboard (1 piece)","Lithuania","Euro","2015","228.77",""
"Double bed frame, pressboard (1 piece)","Malta","Euro","2015","365.58","d"
"Double bed frame, pressboard (1 piece)","Netherlands","Euro","2015","390.04","d"
"Double bed frame, pressboard (1 piece)","Poland","Euro","2015",":",""
"Double bed frame, pressboard (1 piece)","Romania","Euro","2015",":",""
"Double bed frame, pressboard (1 piece)","Slovenia","Euro","2015","410.98",""
"Double bed frame, pressboard (1 piece)","Slovakia","Euro","2015","287.46",""
"Double bed frame, pressboard (1 piece)","Finland","Euro","2015",":",""
"Double bed frame, pressboard (1 piece)","Norway","Euro","2015",":",""
"Double bed frame, pressboard (1 piece)","Turkey","Euro","2015","204.48",""
"Sofa set (1 set)","Bulgaria","Euro","2015",":",""
"Sofa set (1 set)","Czechia","Euro","2015","806.94",""
"Sofa set (1 set)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Sofa set (1 set)","Spain","Euro","2015",":",""
"Sofa set (1 set)","Croatia","Euro","2015",":",""
"Sofa set (1 set)","Italy","Euro","2015",":",""
"Sofa set (1 set)","Cyprus","Euro","2015","575.65",""
"Sofa set (1 set)","Lithuania","Euro","2015","827.28",""
"Sofa set (1 set)","Malta","Euro","2015","1 058.89","d"
"Sofa set (1 set)","Netherlands","Euro","2015","1 508.44",""
"Sofa set (1 set)","Poland","Euro","2015","524.38",""
"Sofa set (1 set)","Romania","Euro","2015","607.85",""
"Sofa set (1 set)","Slovenia","Euro","2015",":",""
"Sofa set (1 set)","Slovakia","Euro","2015","783.49",""
"Sofa set (1 set)","Finland","Euro","2015",":",""
"Sofa set (1 set)","Norway","Euro","2015",":",""
"Sofa set (1 set)","Turkey","Euro","2015","1 360.55","d"
"Kitchen table (1 piece) ","Bulgaria","Euro","2015",":",""
"Kitchen table (1 piece) ","Czechia","Euro","2015","113.56",""
"Kitchen table (1 piece) ","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Kitchen table (1 piece) ","Spain","Euro","2015",":",""
"Kitchen table (1 piece) ","Croatia","Euro","2015","188.36","d"
"Kitchen table (1 piece) ","Italy","Euro","2015",":",""
"Kitchen table (1 piece) ","Cyprus","Euro","2015","143.90",""
"Kitchen table (1 piece) ","Lithuania","Euro","2015","89.66",""
"Kitchen table (1 piece) ","Malta","Euro","2015","269.79","d"
"Kitchen table (1 piece) ","Netherlands","Euro","2015",":",""
"Kitchen table (1 piece) ","Poland","Euro","2015","76.29","d"
"Kitchen table (1 piece) ","Romania","Euro","2015","62.29",""
"Kitchen table (1 piece) ","Slovenia","Euro","2015","233.70",""
"Kitchen table (1 piece) ","Slovakia","Euro","2015","114.94",""
"Kitchen table (1 piece) ","Finland","Euro","2015",":",""
"Kitchen table (1 piece) ","Norway","Euro","2015",":",""
"Kitchen table (1 piece) ","Turkey","Euro","2015",":",""
"Pocket spring mattress (1 piece) ","Bulgaria","Euro","2015",":",""
"Pocket spring mattress (1 piece) ","Czechia","Euro","2015","208.23",""
"Pocket spring mattress (1 piece) ","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Pocket spring mattress (1 piece) ","Spain","Euro","2015",":",""
"Pocket spring mattress (1 piece) ","Croatia","Euro","2015","116.01","d"
"Pocket spring mattress (1 piece) ","Italy","Euro","2015",":",""
