Name,BUURTCODE,Population,Consumptionpercapita,GWP_furniture
Belgisch Park,71,8205,1.700612515,240.8773075
Westbroekpark,73,880,1.770815524,250.8209671
Duttendel,74,1075,1.673041086,236.972049
Nassaubuurt,48,1625,1.822706096,258.1708254
Uilennest,75,2100,1.769846471,250.683709
Duinzigt,76,2495,1.770815524,250.8209671
Waalsdorp,77,3810,1.69564471,240.1736601
Arendsdorp,78,1305,1.837640115,260.2861023
Van Hoytemastraat en omgeving,79,2360,1.824880399,258.478797
Archipelbuurt,46,6100,1.658099389,234.8556846
Van Stolkpark en Scheveningse Bosjes,5,760,1.637546502,231.9445429
Oud Scheveningen,1,2920,1.650405473,233.7659068
Vissershaven,2,3560,1.563875239,221.5096347
Scheveningen Badplaats,3,5390,1.627271993,230.4892459
Visserijbuurt,4,3860,1.76279249,249.6845725
Rijslag,72,1610,1.730691305,245.1377124
Duindorp,100,5955,1.667894932,236.2431399
Statenkwartier,7,9665,1.705665695,241.5930476
Geuzenkwartier,8,4390,1.527308182,216.3302218
Zorgvliet,41,500,1.820735471,257.8917032
Stadhoudersplantsoen,42,1960,1.699236994,240.6824767
Sweelinckplein en omgeving,43,5810,1.556944089,220.5278961
Bloemenbuurt-West,50,2340,1.624517927,230.099156
Bloemenbuurt-Oost,51,6460,1.523385332,215.7745835
Bomenbuurt,52,5865,1.531222733,216.8846848
Vogelwijk,9,5350,1.695696571,240.1810058
Bosjes van Pex,81,400,1.700330437,240.8373536
Bohemen en Meer en Bos,92,4485,1.646947716,233.276145
Ockenburgh,90,795,1.715278849,242.954669
Kijkduin,91,1550,1.657835119,234.8182531
Kraayenstein,97,5875,1.658431943,234.9027881
Houtwijk,86,12820,1.613426745,228.5281843
Kom Loosduinen,95,4975,1.59352401,225.7091311
Waldeck-Zuid,6,2035,1.590039612,225.2155957
Nieuw Waldeck,40,7210,1.307850762,185.2459437
Rosenburg,82,2910,1.625796943,230.2803177
Componistenbuurt,93,1825,1.687019365,238.9519534
Waldeck-Noord,94,3150,1.769965602,250.7005829
Vruchtenbuurt,53,7165,1.693359434,239.8499703
Eykenduinen,83,2635,1.540637812,218.2182507
Heesterbuurt,54,6805,1.592801058,225.606731
Valkenboskwartier,55,11435,1.680838496,238.0764858
Rond de Energiecentrale,10,5955,1.66896115,236.3941608
Koningsplein en omgeving,44,7575,1.72165106,243.8572386
Zeeheldenkwartier,45,11845,1.768138736,250.4418228
Willemspark,47,1490,1.631782316,231.1280949
Haagse Bos,49,425,1.739358128,246.3652943
Landen,61,5155,1.620217401,229.490023
Kampen,67,2455,1.687983936,239.0885766
Marlot,68,805,1.752097158,248.1696696
Burgen en Horsten,69,6285,1.733730254,245.5681537
Bezuidenhout-West,64,3580,1.662238101,235.441898
Bezuidenhout-Midden,65,4285,1.692471431,239.7241922
Bezuidenhout-Oost,66,9010,1.709468204,242.1316406
Huygenspark,18,7895,0.944595044,133.7938589
Rivierenbuurt-Zuid,62,850,0.963691435,136.4987003
Rivierenbuurt-Noord,63,3690,1.813541988,256.8728074
Kortenbos,11,7275,1.753300143,248.3400623
Voorhout,12,2355,1.782576448,252.486802
Uilebomen,13,3180,1.730229517,245.0723042
Zuidwal,14,6885,1.698766998,240.6159057
Schildersbuurt-West,15,14115,0.896375524,126.9639737
Schildersbuurt-Noord,16,9985,1.112610754,157.5918561
Schildersbuurt-Oost,17,7230,1.098817278,155.6381275
Transvaalkwartier-Noord,32,3945,0.780347836,110.5296381
Transvaalkwartier-Midden,33,5005,0.815312426,115.482075
Transvaalkwartier-Zuid,34,7235,0.807914347,114.4342
Rustenburg,30,6100,1.144339835,162.0860107
Oostbroek-Noord,31,4500,1.018499492,144.2617959
Oostbroek-Zuid,35,8055,0.91043824,128.955838
Leyenburg,84,14910,1.653058597,234.1416992
"Venen, Oorden en Raden",87,8585,0.829538106,117.4970216
"Zijden, Steden en Zichten",96,7850,0.882631171,125.017203
Dreven en Gaarden,98,10815,0.840137736,118.9983691
De Uithof,99,1380,1.669303633,236.4426705
Morgenstond-Zuid,80,5930,0.870808214,123.3425817
Morgenstond-West,88,7405,1.645678725,233.0964031
Morgenstond-Oost,89,5560,0.997861645,141.3386202
Moerwijk-Oost,20,3265,0.833653008,118.0798626
Moerwijk-West,37,6240,0.841359822,119.1714672
Moerwijk-Noord,38,6975,0.881251083,124.8217253
Moerwijk-Zuid,39,4600,0.821904044,116.4157216
Groente- en Fruitmarkt,21,5315,0.771231405,109.238373
Laakhaven-Oost,19,4050,0.948967114,134.4131255
Laakhaven-West,22,5510,0.832747116,117.9515506
Spoorwijk,23,4340,1.113678642,157.7431134
Laakkwartier-West,24,8085,0.961239462,136.1513992
Laakkwartier-Oost,25,11240,1.007658072,142.7262009
Noordpolderbuurt,26,8345,0.805371648,114.0740483
Binckhorst,60,1790,1.391856308,197.1446153
Erasmus Veld,101,2155,1.648475623,233.49256
Hoge Veld,102,8685,1.828986205,259.0603496
Parkbuurt oosteinde,103,3465,1.832824109,259.6039561
Lage Veld,104,4285,1.693091728,239.812052
Zonne Veld,105,3440,1.794437632,254.1668379
Vlietzoom-West,106,170,1.706019602,241.6431755
Bosweide,108,2050,1.845546867,261.4060266
De Venen,111,1755,1.84372402,261.1478358
Morgenweide,112,7135,1.808735048,256.1919453
Singels,113,5595,1.793550563,254.041192
Waterbuurt,114,4775,1.723576039,244.1298955
De Bras,115,5855,1.818160003,257.5269101
Vlietzoom-Oost,116,100,1.730419467,245.099209
De Lanen,118,5255,1.848192201,261.7807156
De Velden,119,4220,1.824694663,258.4524892
De Vissen,120,8505,1.799733961,254.9170179
Rietbuurt,121,2755,1.853266649,262.4994681
