"TIME","GEO","HHTYP","INDIC_IL","UNIT","Value","Flag and Footnotes"
"1995","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Total","Median equivalised net income","Euro",":",""
"1995","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Total","Median equivalised net income","National currency",":",""
"1995","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","European Union - 27 countries (from 2020)","Total","Median equivalised net income","Euro",":",""
"1995","European Union - 27 countries (from 2020)","Total","Median equivalised net income","National currency",":",""
"1995","European Union - 27 countries (from 2020)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","European Union - 28 countries (2013-2020)","Total","Median equivalised net income","Euro",":",""
"1995","European Union - 28 countries (2013-2020)","Total","Median equivalised net income","National currency",":",""
"1995","European Union - 28 countries (2013-2020)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","European Union - 27 countries (2007-2013)","Total","Median equivalised net income","Euro",":",""
"1995","European Union - 27 countries (2007-2013)","Total","Median equivalised net income","National currency",":",""
"1995","European Union - 27 countries (2007-2013)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","European Union - 15 countries (1995-2004)","Total","Median equivalised net income","Euro","10,530","e"
"1995","European Union - 15 countries (1995-2004)","Total","Median equivalised net income","National currency",":",""
"1995","European Union - 15 countries (1995-2004)","Total","Median equivalised net income","Purchasing power standard (PPS)","10,509","e"
"1995","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Total","Median equivalised net income","Euro",":",""
"1995","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Total","Median equivalised net income","National currency",":",""
"1995","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","Euro area - 19 countries  (from 2015)","Total","Median equivalised net income","Euro",":",""
"1995","Euro area - 19 countries  (from 2015)","Total","Median equivalised net income","National currency",":",""
"1995","Euro area - 19 countries  (from 2015)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","Euro area - 18 countries (2014)","Total","Median equivalised net income","Euro",":",""
"1995","Euro area - 18 countries (2014)","Total","Median equivalised net income","National currency",":",""
"1995","Euro area - 18 countries (2014)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","Belgium","Total","Median equivalised net income","Euro","13,388",""
"1995","Belgium","Total","Median equivalised net income","National currency","13,161",""
"1995","Belgium","Total","Median equivalised net income","Purchasing power standard (PPS)","12,747",""
"1995","Bulgaria","Total","Median equivalised net income","Euro",":",""
"1995","Bulgaria","Total","Median equivalised net income","National currency",":",""
"1995","Bulgaria","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","Czechia","Total","Median equivalised net income","Euro",":",""
"1995","Czechia","Total","Median equivalised net income","National currency",":",""
"1995","Czechia","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","Denmark","Total","Median equivalised net income","Euro",":",""
"1995","Denmark","Total","Median equivalised net income","National currency",":",""
"1995","Denmark","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","Germany (until 1990 former territory of the FRG)","Total","Median equivalised net income","Euro","13,439",""
"1995","Germany (until 1990 former territory of the FRG)","Total","Median equivalised net income","National currency","13,224",""
"1995","Germany (until 1990 former territory of the FRG)","Total","Median equivalised net income","Purchasing power standard (PPS)","11,952",""
"1995","Estonia","Total","Median equivalised net income","Euro",":",""
"1995","Estonia","Total","Median equivalised net income","National currency",":",""
"1995","Estonia","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","Ireland","Total","Median equivalised net income","Euro","7,951",""
"1995","Ireland","Total","Median equivalised net income","National currency","8,012",""
"1995","Ireland","Total","Median equivalised net income","Purchasing power standard (PPS)","8,882",""
"1995","Greece","Total","Median equivalised net income","Euro","5,208",""
"1995","Greece","Total","Median equivalised net income","National currency","4,455",""
