"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"2010","European Union - 27 countries (from 2020)","Current prices, million euro","Newspapers, books and stationery","82 255.7",""
"2010","European Union - 28 countries (2013-2020)","Current prices, million euro","Newspapers, books and stationery","95 867.8",""
"2010","European Union - 15 countries (1995-2004)","Current prices, million euro","Newspapers, books and stationery","88 464.9",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, million euro","Newspapers, books and stationery","72 976.8",""
"2010","Euro area - 19 countries  (from 2015)","Current prices, million euro","Newspapers, books and stationery","73 347.1",""
"2010","Euro area - 12 countries (2001-2006)","Current prices, million euro","Newspapers, books and stationery","71 682.9",""
"2010","Belgium","Current prices, million euro","Newspapers, books and stationery","2 329.1",""
"2010","Bulgaria","Current prices, million euro","Newspapers, books and stationery","231.7",""
"2010","Czechia","Current prices, million euro","Newspapers, books and stationery","672.4",""
"2010","Denmark","Current prices, million euro","Newspapers, books and stationery","1 400.2",""
"2010","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Newspapers, books and stationery","24 347.0",""
"2010","Estonia","Current prices, million euro","Newspapers, books and stationery","100.9",""
"2010","Ireland","Current prices, million euro","Newspapers, books and stationery","1 173.3",""
"2010","Greece","Current prices, million euro","Newspapers, books and stationery","1 764.9",""
"2010","Spain","Current prices, million euro","Newspapers, books and stationery","5 721.0",""
"2010","France","Current prices, million euro","Newspapers, books and stationery","15 860.0",""
"2010","Croatia","Current prices, million euro","Newspapers, books and stationery","492.8",""
"2010","Italy","Current prices, million euro","Newspapers, books and stationery","11 340.1",""
"2010","Cyprus","Current prices, million euro","Newspapers, books and stationery","142.5",""
"2010","Latvia","Current prices, million euro","Newspapers, books and stationery","119.9",""
"2010","Lithuania","Current prices, million euro","Newspapers, books and stationery","149.5","b"
"2010","Luxembourg","Current prices, million euro","Newspapers, books and stationery","159.1",""
"2010","Hungary","Current prices, million euro","Newspapers, books and stationery","645.7",""
"2010","Malta","Current prices, million euro","Newspapers, books and stationery","56.0",""
"2010","Netherlands","Current prices, million euro","Newspapers, books and stationery","3 750.0",""
"2010","Austria","Current prices, million euro","Newspapers, books and stationery","2 036.5",""
"2010","Poland","Current prices, million euro","Newspapers, books and stationery","2 967.3",""
"2010","Portugal","Current prices, million euro","Newspapers, books and stationery","1 692.0",""
"2010","Romania","Current prices, million euro","Newspapers, books and stationery","728.9",""
"2010","Slovenia","Current prices, million euro","Newspapers, books and stationery","214.9",""
"2010","Slovakia","Current prices, million euro","Newspapers, books and stationery","880.4",""
"2010","Finland","Current prices, million euro","Newspapers, books and stationery","1 510.0",""
"2010","Sweden","Current prices, million euro","Newspapers, books and stationery","1 769.7",""
"2010","United Kingdom","Current prices, million euro","Newspapers, books and stationery","13 612.1",""
