Name,BUURTCODE,Population,Consumptionpercapita,GWP_paper
Belgisch Park,71,8205,35.6265477,37.48069575
Westbroekpark,73,880,39.38494672,41.43469689
Duttendel,74,1075,35.6100212,37.46330914
Nassaubuurt,48,1625,36.06304572,37.93991087
Uilennest,75,2100,35.40438237,37.24696804
Duinzigt,76,2495,39.38494672,41.43469689
Waalsdorp,77,3810,36.02738744,37.90239679
Arendsdorp,78,1305,37.17421999,39.10891509
Van Hoytemastraat en omgeving,79,2360,36.74877209,38.66132518
Archipelbuurt,46,6100,38.82645818,40.84714237
Van Stolkpark en Scheveningse Bosjes,5,760,35.11225095,36.93963294
Oud Scheveningen,1,2920,34.22805911,36.00942422
Vissershaven,2,3560,25.25311053,26.56738341
Scheveningen Badplaats,3,5390,34.17530518,35.95392477
Visserijbuurt,4,3860,33.95130358,35.71826522
Rijslag,72,1610,39.57417523,41.6337736
Duindorp,100,5955,28.64955062,30.14058783
Statenkwartier,7,9665,36.2666518,38.15411342
Geuzenkwartier,8,4390,33.92058838,35.68595148
Zorgvliet,41,500,40.19180911,42.28355163
Stadhoudersplantsoen,42,1960,35.43561412,37.27982522
Sweelinckplein en omgeving,43,5810,33.67175802,35.424171
Bloemenbuurt-West,50,2340,38.62346262,40.63358211
Bloemenbuurt-Oost,51,6460,34.88226506,36.69767767
Bomenbuurt,52,5865,33.25476687,34.98547796
Vogelwijk,9,5350,39.15534199,41.19314261
Bosjes van Pex,81,400,42.26713182,44.46688243
Bohemen en Meer en Bos,92,4485,38.80894732,40.82872017
Ockenburgh,90,795,42.8344143,45.06368856
Kijkduin,91,1550,41.93807776,44.12070308
Kraayenstein,97,5875,39.06623608,41.09939927
Houtwijk,86,12820,32.81904832,34.52708287
Kom Loosduinen,95,4975,34.47757047,36.27192115
Waldeck-Zuid,6,2035,34.46334429,36.25695458
Nieuw Waldeck,40,7210,28.28993365,29.76225496
Rosenburg,82,2910,34.34861846,36.13625796
Componistenbuurt,93,1825,39.45804294,41.51159733
Waldeck-Noord,94,3150,38.75440379,40.77133798
Vruchtenbuurt,53,7165,36.29050468,38.1792077
Eykenduinen,83,2635,38.3920542,40.39013027
Heesterbuurt,54,6805,21.36153172,22.47327127
Valkenboskwartier,55,11435,21.56366446,22.68592381
Rond de Energiecentrale,10,5955,32.40262755,34.08898989
Koningsplein en omgeving,44,7575,34.03332839,35.80455893
Zeeheldenkwartier,45,11845,39.95764619,42.03720193
Willemspark,47,1490,39.49574215,41.55125855
Haagse Bos,49,425,39.51487067,41.5713826
Landen,61,5155,22.66469521,23.84425661
Kampen,67,2455,23.39613212,24.61376042
Marlot,68,805,36.77699273,38.69101454
Burgen en Horsten,69,6285,25.50484011,26.83221401
Bezuidenhout-West,64,3580,23.2573191,24.46772302
Bezuidenhout-Midden,65,4285,35.08073214,36.90647376
Bezuidenhout-Oost,66,9010,38.94368859,40.97047392
Huygenspark,18,7895,33.97456532,35.7427376
Rivierenbuurt-Zuid,62,850,34.11434971,35.88979693
Rivierenbuurt-Noord,63,3690,23.63968399,24.86998771
Kortenbos,11,7275,38.71650304,40.73146472
Voorhout,12,2355,40.26535819,42.3609285
Uilebomen,13,3180,39.0927443,41.12728708
Zuidwal,14,6885,32.8857636,34.59727028
Schildersbuurt-West,15,14115,29.59268361,31.13280524
Schildersbuurt-Noord,16,9985,29.38144495,30.91057287
Schildersbuurt-Oost,17,7230,29.1803165,30.69897689
Transvaalkwartier-Noord,32,3945,28.1803004,29.64691595
Transvaalkwartier-Midden,33,5005,25.77255146,27.11385813
Transvaalkwartier-Zuid,34,7235,27.57078413,29.00567802
Rustenburg,30,6100,24.31027814,25.57548226
Oostbroek-Noord,31,4500,24.30565876,25.57062246
Oostbroek-Zuid,35,8055,25.76586938,27.10682829
Leyenburg,84,14910,27.56443039,28.9989936
"Venen, Oorden en Raden",87,8585,25.70537247,27.04318288
"Zijden, Steden en Zichten",96,7850,26.55397717,27.93595235
Dreven en Gaarden,98,10815,27.16836795,28.58231849
De Uithof,99,1380,33.07661749,34.79805697
Morgenstond-Zuid,80,5930,25.94333228,27.29352706
Morgenstond-West,88,7405,23.63672373,24.86687338
Morgenstond-Oost,89,5560,24.8901421,26.18552466
Moerwijk-Oost,20,3265,26.18602908,27.54885477
Moerwijk-West,37,6240,26.04330396,27.39870167
Moerwijk-Noord,38,6975,25.94022274,27.29025569
Moerwijk-Zuid,39,4600,24.55504394,25.83298665
Groente- en Fruitmarkt,21,5315,27.14585816,28.55863721
Laakhaven-Oost,19,4050,26.12438844,27.48400612
Laakhaven-West,22,5510,25.28259309,26.59840036
Spoorwijk,23,4340,26.71919834,28.1097723
Laakkwartier-West,24,8085,24.25871672,25.52123738
Laakkwartier-Oost,25,11240,24.19209241,25.45114567
Noordpolderbuurt,26,8345,25.59731902,26.92950589
Binckhorst,60,1790,35.44706942,37.2918767
Erasmus Veld,101,2155,38.31639386,40.31053227
Hoge Veld,102,8685,34.99800884,36.81944521
Parkbuurt oosteinde,103,3465,40.14758571,42.23702667
Lage Veld,104,4285,38.87855941,40.90195516
Zonne Veld,105,3440,39.31999178,41.36636143
Vlietzoom-West,106,170,39.01635585,41.04692307
Bosweide,108,2050,40.25468768,42.34970264
De Venen,111,1755,35.82150497,37.68579937
Morgenweide,112,7135,37.02588185,38.95285685
Singels,113,5595,39.47997275,41.53466845
Waterbuurt,114,4775,34.89118231,36.707059
De Bras,115,5855,40.0553574,42.13999842
Vlietzoom-Oost,116,100,42.91225725,45.14558276
De Lanen,118,5255,36.834972,38.75201129
De Velden,119,4220,40.10426821,42.19145475
De Vissen,120,8505,40.00093157,42.08274006
Rietbuurt,121,2755,37.85816293,39.82845316
