Name,BUURTCODE,Population,Consumptionpercapita,Total Consumption
Belgisch Park,71,8205,147.91473556288975,1213640.4052935103
Westbroekpark,73,880,143.15085681354992,125972.75399592394
Duttendel,74,1075,137.8130492383387,148149.0279312141
Nassaubuurt,48,1625,143.20988331919256,232716.0603936879
Uilennest,75,2100,141.47874978363302,297105.37454562937
Duinzigt,76,2495,142.94024254680784,356635.90515428554
Waalsdorp,77,3810,139.80560179875343,532659.3428532506
Arendsdorp,78,1305,144.30879395743898,188322.97611445788
Van Hoytemastraat en omgeving,79,2360,141.205796103355,333245.6788039178
Archipelbuurt,46,6100,138.20611907373942,843057.3263498105
Van Stolkpark en Scheveningse Bosjes,5,760,138.8329003230748,105513.00424553684
Oud Scheveningen,1,2920,128.57997199926055,375453.5182378408
Vissershaven,2,3560,102.87886673215341,366248.76556646614
Scheveningen Badplaats,3,5390,122.79954560300291,661889.5508001857
Visserijbuurt,4,3860,115.96041086386968,447607.185934537
Rijslag,72,1610,145.01682275550013,233477.0846363552
Duindorp,100,5955,145.0569382692338,863814.0673932873
Statenkwartier,7,9665,139.1687861175222,1345066.317825852
Geuzenkwartier,8,4390,112.11000645549713,492162.9283396324
Zorgvliet,41,500,150.1621480271614,75081.0740135807
Stadhoudersplantsoen,42,1960,134.76908983314192,264147.41607295815
Sweelinckplein en omgeving,43,5810,130.53808409396316,758426.268585926
Bloemenbuurt-West,50,2340,134.63794618737302,315052.79407845286
Bloemenbuurt-Oost,51,6460,119.05983613450081,769126.5414288753
Bomenbuurt,52,5865,116.93268485924116,685810.1966994494
Vogelwijk,9,5350,138.85012292473428,742848.1576473285
Bosjes van Pex,81,400,142.88445599137492,57153.78239654997
Bohemen en Meer en Bos,92,4485,123.96646697514085,555989.6043835067
Ockenburgh,90,795,147.063768678734,116915.69609959352
Kijkduin,91,1550,140.50477309578596,217782.39829846824
Kraayenstein,97,5875,137.854896284608,809897.5156720721
Houtwijk,86,12820,110.18105807407183,1412521.1645096007
Kom Loosduinen,95,4975,106.92411054417644,531947.4499572779
Waldeck-Zuid,6,2035,107.31647109735218,218389.01868311167
Nieuw Waldeck,40,7210,102.06254344499183,735870.9382383911
Rosenburg,82,2910,107.23772061299071,312061.76698380295
Componistenbuurt,93,1825,129.64214041804055,236596.90626292402
Waldeck-Noord,94,3150,116.70547923382934,367622.2595865624
Vruchtenbuurt,53,7165,134.16960275262795,961325.2037225793
Eykenduinen,83,2635,116.86707689809892,307944.74762649066
Heesterbuurt,54,6805,114.36103517324692,778226.8443539452
Valkenboskwartier,55,11435,107.92362524128872,1234106.6546341365
Rond de Energiecentrale,10,5955,120.69810683552915,718757.2262055761
Koningsplein en omgeving,44,7575,106.26685660071061,804971.4387503829
Zeeheldenkwartier,45,11845,130.7058055787597,1548210.2670804088
Willemspark,47,1490,134.52935523148523,200448.739294913
Haagse Bos,49,425,139.75549202564972,59396.08411090113
Landen,61,5155,113.42695572633575,584715.9567692608
Kampen,67,2455,109.0006377796679,267596.5657490847
Marlot,68,805,152.96002327150597,123132.81873356231
Burgen en Horsten,69,6285,113.54955808973384,713658.9725939771
Bezuidenhout-West,64,3580,142.43447154686868,509915.40813778987
Bezuidenhout-Midden,65,4285,128.41909672770572,550275.829478219
Bezuidenhout-Oost,66,9010,131.52763441129125,1185063.986045734
Huygenspark,18,7895,138.77033403375174,1095591.78719647
Rivierenbuurt-Zuid,62,850,141.08767520907253,119924.52392771165
Rivierenbuurt-Noord,63,3690,125.26607428596924,462231.8141152265
Kortenbos,11,7275,123.98316336643161,901977.5134907899
Voorhout,12,2355,142.2916741904163,335096.8927184304
Uilebomen,13,3180,129.29648455615478,411162.8208885722
Zuidwal,14,6885,128.37405204106642,883855.3483027423
Schildersbuurt-West,15,14115,152.501275786808,2152555.507730795
Schildersbuurt-Noord,16,9985,149.70432825951548,1494797.717671262
Schildersbuurt-Oost,17,7230,149.59376013248823,1081562.8857578898
Transvaalkwartier-Noord,32,3945,151.5778936320218,597974.7903783261
Transvaalkwartier-Midden,33,5005,145.27343014840022,727093.5178927431
Transvaalkwartier-Zuid,34,7235,146.62821632944312,1060855.145143521
Rustenburg,30,6100,142.407262270601,868684.2998506661
Oostbroek-Noord,31,4500,142.2131043895618,639958.9697530281
Oostbroek-Zuid,35,8055,143.3632914640485,1154791.3127429106
Leyenburg,84,14910,129.1255930130363,1925262.5918243714
"Venen, Oorden en Raden",87,8585,143.42704638106997,1231321.1931814856
"Zijden, Steden en Zichten",96,7850,143.35564774838804,1125341.8348248461
Dreven en Gaarden,98,10815,140.5911739979372,1520493.5467876908
De Uithof,99,1380,123.8506175363466,170913.85220015832
Morgenstond-Zuid,80,5930,144.00955340392412,853976.65168527
Morgenstond-West,88,7405,139.42512974415865,1032443.0857554948
Morgenstond-Oost,89,5560,143.985602332391,800559.9489680941
Moerwijk-Oost,20,3265,144.2410544968721,470947.0429322874
Moerwijk-West,37,6240,142.0255723010227,886239.5711583816
Moerwijk-Noord,38,6975,144.41706074133822,1007308.9986708341
Moerwijk-Zuid,39,4600,144.0050239723875,662423.1102729825
Groente- en Fruitmarkt,21,5315,145.33689526956957,772465.5983577622
Laakhaven-Oost,19,4050,149.70858994871008,606319.7892922758
Laakhaven-West,22,5510,146.2564320224622,805872.9404437668
Spoorwijk,23,4340,145.35377590979184,630835.3874484965
Laakkwartier-West,24,8085,144.88796026349536,1171419.15873036
Laakkwartier-Oost,25,11240,145.61605181001403,1636724.4223445577
Noordpolderbuurt,26,8345,146.17028488202018,1219791.0273404585
Binckhorst,60,1790,150.01470891062513,268526.328950019
Erasmus Veld,101,2155,117.17270041103436,252507.16938577904
Hoge Veld,102,8685,102.97046125953568,894298.4560390674
Parkbuurt oosteinde,103,3465,154.09829980445193,533950.608822426
Lage Veld,104,4285,114.78228116320065,491842.0747843148
Zonne Veld,105,3440,128.66286599919113,442600.2590372175
Vlietzoom-West,106,170,145.5158936743782,24737.701924644294
Bosweide,108,2050,153.1668332091502,313992.0080787579
De Venen,111,1755,118.03970972459858,207159.6905666705
Morgenweide,112,7135,129.3907654851415,923203.1117364845
Singels,113,5595,126.90750877825414,710047.5116143319
Waterbuurt,114,4775,114.6044640286083,547236.3157366046
De Bras,115,5855,144.79278253892159,847761.7417653858
Vlietzoom-Oost,116,100,149.17307541312636,14917.307541312635
De Lanen,118,5255,142.3391790435698,747992.3858739593
De Velden,119,4220,147.36422334227532,621877.0225044019
De Vissen,120,8505,131.12567974718732,1115223.9062498282
Rietbuurt,121,2755,144.68493738052774,398607.00248335395
