"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"2010","European Union - 27 countries (from 2020)","Percentage of total","Personal care","2.5",""
"2010","European Union - 27 countries (from 2020)","Current prices, million euro","Personal care","147 840.8",""
"2010","European Union - 27 countries (from 2020)","Chain linked volumes (2010), million euro","Personal care","147 840.8",""
"2010","European Union - 28 countries (2013-2020)","Percentage of total","Personal care","2.4",""
"2010","European Union - 28 countries (2013-2020)","Current prices, million euro","Personal care","171 939.7",""
"2010","European Union - 28 countries (2013-2020)","Chain linked volumes (2010), million euro","Personal care","171 939.7",""
"2010","European Union - 15 countries (1995-2004)","Percentage of total","Personal care","2.4",""
"2010","European Union - 15 countries (1995-2004)","Current prices, million euro","Personal care","156 824.1",""
"2010","European Union - 15 countries (1995-2004)","Chain linked volumes (2010), million euro","Personal care","156 824.1",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage of total","Personal care","2.5",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, million euro","Personal care","129 132.2",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Chain linked volumes (2010), million euro","Personal care","129 132.2",""
"2010","Euro area - 19 countries  (from 2015)","Percentage of total","Personal care","2.5",""
"2010","Euro area - 19 countries  (from 2015)","Current prices, million euro","Personal care","130 032.1",""
"2010","Euro area - 19 countries  (from 2015)","Chain linked volumes (2010), million euro","Personal care","130 032.1",""
"2010","Euro area - 12 countries (2001-2006)","Percentage of total","Personal care","2.5",""
"2010","Euro area - 12 countries (2001-2006)","Current prices, million euro","Personal care","126 473.4",""
"2010","Euro area - 12 countries (2001-2006)","Chain linked volumes (2010), million euro","Personal care","126 473.4",""
"2010","Belgium","Percentage of total","Personal care","1.9",""
"2010","Belgium","Current prices, million euro","Personal care","3 348.2",""
"2010","Belgium","Chain linked volumes (2010), million euro","Personal care","3 348.2",""
"2010","Bulgaria","Percentage of total","Personal care","1.2",""
"2010","Bulgaria","Current prices, million euro","Personal care","309.6",""
"2010","Bulgaria","Chain linked volumes (2010), million euro","Personal care","309.6",""
"2010","Czechia","Percentage of total","Personal care","2.7",""
"2010","Czechia","Current prices, million euro","Personal care","2 162.0",""
"2010","Czechia","Chain linked volumes (2010), million euro","Personal care","2 162.0",""
"2010","Denmark","Percentage of total","Personal care","1.9",""
"2010","Denmark","Current prices, million euro","Personal care","2 136.2",""
"2010","Denmark","Chain linked volumes (2010), million euro","Personal care","2 136.2",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage of total","Personal care","2.3",""
"2010","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Personal care","31 496.0",""
"2010","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Personal care","31 496.0",""
"2010","Estonia","Percentage of total","Personal care","2.2",""
"2010","Estonia","Current prices, million euro","Personal care","177.5",""
