COICOP,GEO,UNIT,TIME,Value,Flag and Footnotes
Shampoo (400 ml) ,Bulgaria,Euro,2015,3.89,
Shampoo (400 ml) ,Czechia,Euro,2015,3.25,
Shampoo (400 ml) ,Germany (until 1990 former territory of the FRG),Euro,2015,:,
Shampoo (400 ml) ,Spain,Euro,2015,:,
Shampoo (400 ml) ,Croatia,Euro,2015,3.95,d
Shampoo (400 ml) ,Italy,Euro,2015,4.63,d
Shampoo (400 ml) ,Cyprus,Euro,2015,4.28,
Shampoo (400 ml) ,Lithuania,Euro,2015,5.45,
Shampoo (400 ml) ,Malta,Euro,2015,5.23,d
Shampoo (400 ml) ,Netherlands,Euro,2015,2.57,
Shampoo (400 ml) ,Poland,Euro,2015,2.45,
Shampoo (400 ml) ,Romania,Euro,2015,4.56,
Shampoo (400 ml) ,Slovenia,Euro,2015,3.71,
Shampoo (400 ml) ,Slovakia,Euro,2015,3.82,
Shampoo (400 ml) ,Finland,Euro,2015,:,
Shampoo (400 ml) ,Norway,Euro,2015,7.62,
Shampoo (400 ml) ,Turkey,Euro,2015,:,
Tooth paste (100 ml) ,Bulgaria,Euro,2015,1.59,
Tooth paste (100 ml) ,Czechia,Euro,2015,1.81,
Tooth paste (100 ml) ,Germany (until 1990 former territory of the FRG),Euro,2015,:,
Tooth paste (100 ml) ,Spain,Euro,2015,:,
Tooth paste (100 ml) ,Croatia,Euro,2015,2.33,
Tooth paste (100 ml) ,Italy,Euro,2015,2.32,
Tooth paste (100 ml) ,Cyprus,Euro,2015,3.54,
Tooth paste (100 ml) ,Lithuania,Euro,2015,2.55,
Tooth paste (100 ml) ,Malta,Euro,2015,2.71,
Tooth paste (100 ml) ,Netherlands,Euro,2015,2.85,
Tooth paste (100 ml) ,Poland,Euro,2015,1.93,
Tooth paste (100 ml) ,Romania,Euro,2015,2.27,
Tooth paste (100 ml) ,Slovenia,Euro,2015,2.78,
Tooth paste (100 ml) ,Slovakia,Euro,2015,1.6,
Tooth paste (100 ml) ,Finland,Euro,2015,2.54,
Tooth paste (100 ml) ,Norway,Euro,2015,4.56,
Tooth paste (100 ml) ,Turkey,Euro,2015,3.89,
"Toilet soap, liquid (200 ml) ",Bulgaria,Euro,2015,0.93,d
"Toilet soap, liquid (200 ml) ",Czechia,Euro,2015,1.54,
"Toilet soap, liquid (200 ml) ",Germany (until 1990 former territory of the FRG),Euro,2015,:,
"Toilet soap, liquid (200 ml) ",Spain,Euro,2015,:,
"Toilet soap, liquid (200 ml) ",Croatia,Euro,2015,1.43,
"Toilet soap, liquid (200 ml) ",Italy,Euro,2015,1.14,
"Toilet soap, liquid (200 ml) ",Cyprus,Euro,2015,1.31,
"Toilet soap, liquid (200 ml) ",Lithuania,Euro,2015,1.3,
"Toilet soap, liquid (200 ml) ",Malta,Euro,2015,1.63,d
"Toilet soap, liquid (200 ml) ",Netherlands,Euro,2015,1.07,
"Toilet soap, liquid (200 ml) ",Poland,Euro,2015,1.04,d
"Toilet soap, liquid (200 ml) ",Romania,Euro,2015,1.73,
"Toilet soap, liquid (200 ml) ",Slovenia,Euro,2015,1.14,
"Toilet soap, liquid (200 ml) ",Slovakia,Euro,2015,1.69,
"Toilet soap, liquid (200 ml) ",Finland,Euro,2015,:,
"Toilet soap, liquid (200 ml) ",Norway,Euro,2015,2.5,
"Toilet soap, liquid (200 ml) ",Turkey,Euro,2015,0.68,
Shower gel (300 ml) ,Bulgaria,Euro,2015,2.59,
Shower gel (300 ml) ,Czechia,Euro,2015,2.55,
Shower gel (300 ml) ,Germany (until 1990 former territory of the FRG),Euro,2015,:,
Shower gel (300 ml) ,Spain,Euro,2015,:,
Shower gel (300 ml) ,Croatia,Euro,2015,2.59,
Shower gel (300 ml) ,Italy,Euro,2015,2.07,
Shower gel (300 ml) ,Cyprus,Euro,2015,2.93,
Shower gel (300 ml) ,Lithuania,Euro,2015,2.9,
Shower gel (300 ml) ,Malta,Euro,2015,1.88,d
Shower gel (300 ml) ,Netherlands,Euro,2015,2.28,
Shower gel (300 ml) ,Poland,Euro,2015,2.35,d
Shower gel (300 ml) ,Romania,Euro,2015,2.86,
Shower gel (300 ml) ,Slovenia,Euro,2015,2.1,
Shower gel (300 ml) ,Slovakia,Euro,2015,2.72,
Shower gel (300 ml) ,Finland,Euro,2015,:,
Shower gel (300 ml) ,Norway,Euro,2015,4.81,
Shower gel (300 ml) ,Turkey,Euro,2015,2.03,
Deodorant (50 ml) ,Bulgaria,Euro,2015,1.8,
Deodorant (50 ml) ,Czechia,Euro,2015,2.55,
Deodorant (50 ml) ,Germany (until 1990 former territory of the FRG),Euro,2015,:,
Deodorant (50 ml) ,Spain,Euro,2015,:,
Deodorant (50 ml) ,Croatia,Euro,2015,2.85,
Deodorant (50 ml) ,Italy,Euro,2015,2.71,d
Deodorant (50 ml) ,Cyprus,Euro,2015,2.71,
Deodorant (50 ml) ,Lithuania,Euro,2015,3.06,
Deodorant (50 ml) ,Malta,Euro,2015,2.46,
Deodorant (50 ml) ,Netherlands,Euro,2015,2.05,
Deodorant (50 ml) ,Poland,Euro,2015,:,
Deodorant (50 ml) ,Romania,Euro,2015,2.45,
Deodorant (50 ml) ,Slovenia,Euro,2015,2.76,
Deodorant (50 ml) ,Slovakia,Euro,2015,2.89,
Deodorant (50 ml) ,Finland,Euro,2015,:,
Deodorant (50 ml) ,Norway,Euro,2015,4.03,
Deodorant (50 ml) ,Turkey,Euro,2015,:,
Tampons (10 pieces) ,Bulgaria,Euro,2015,1.79,d
Tampons (10 pieces) ,Czechia,Euro,2015,1.13,
Tampons (10 pieces) ,Germany (until 1990 former territory of the FRG),Euro,2015,:,
Tampons (10 pieces) ,Spain,Euro,2015,:,
Tampons (10 pieces) ,Croatia,Euro,2015,1.54,
Tampons (10 pieces) ,Italy,Euro,2015,:,
Tampons (10 pieces) ,Cyprus,Euro,2015,2.33,
Tampons (10 pieces) ,Lithuania,Euro,2015,1.68,
Tampons (10 pieces) ,Malta,Euro,2015,1.49,d
Tampons (10 pieces) ,Netherlands,Euro,2015,1.06,
Tampons (10 pieces) ,Poland,Euro,2015,:,
Tampons (10 pieces) ,Romania,Euro,2015,1.73,
Tampons (10 pieces) ,Slovenia,Euro,2015,1.34,
Tampons (10 pieces) ,Slovakia,Euro,2015,1.33,
