"TIME","GEO","NA_ITEM","PPP_CAT","Value","Flag and Footnotes"
"2009","European Union - 27 countries (from 2020)","Price level indices (EU28=100)","Actual individual consumption","98.7",""
"2009","European Union - 28 countries (2013-2020)","Price level indices (EU28=100)","Actual individual consumption","100.0",""
"2009","European Union - 27 countries (2007-2013)","Price level indices (EU28=100)","Actual individual consumption","100.2",""
"2009","European Union - 25 countries (2004-2006)","Price level indices (EU28=100)","Actual individual consumption","101.6",""
"2009","European Union - 15 countries (1995-2004)","Price level indices (EU28=100)","Actual individual consumption","106.4",""
"2009","Euro area - 19 countries  (from 2015)","Price level indices (EU28=100)","Actual individual consumption","104.3",""
"2009","Euro area - 18 countries (2014)","Price level indices (EU28=100)","Actual individual consumption","104.6",""
"2009","Euro area - 17 countries (2011-2013)","Price level indices (EU28=100)","Actual individual consumption","104.7",""
"2009","Euro area - 16 countries (2009-2010)","Price level indices (EU28=100)","Actual individual consumption","104.8",""
"2009","Euro area - 15 countries (2008)","Price level indices (EU28=100)","Actual individual consumption","105.2",""
"2009","Euro area - 13 countries (2007)","Price level indices (EU28=100)","Actual individual consumption","105.3",""
"2009","Euro area - 12 countries (2001-2006)","Price level indices (EU28=100)","Actual individual consumption","105.4",""
"2009","Euro area - 11 countries (1999-2000)","Price level indices (EU28=100)","Actual individual consumption","105.8",""
"2009","Belgium","Price level indices (EU28=100)","Actual individual consumption","113.7",""
"2009","Bulgaria","Price level indices (EU28=100)","Actual individual consumption","47.1",""
"2009","Czechia","Price level indices (EU28=100)","Actual individual consumption","64.5",""
"2009","Denmark","Price level indices (EU28=100)","Actual individual consumption","141.7",""
"2009","Germany (until 1990 former territory of the FRG)","Price level indices (EU28=100)","Actual individual consumption","104.6",""
"2009","Estonia","Price level indices (EU28=100)","Actual individual consumption","67.6",""
"2009","Ireland","Price level indices (EU28=100)","Actual individual consumption","129.9",""
"2009","Greece","Price level indices (EU28=100)","Actual individual consumption","93.7",""
"2009","Spain","Price level indices (EU28=100)","Actual individual consumption","97.5",""
"2009","France","Price level indices (EU28=100)","Actual individual consumption","111.2",""
"2009","Croatia","Price level indices (EU28=100)","Actual individual consumption","70.2",""
"2009","Italy","Price level indices (EU28=100)","Actual individual consumption","103.6",""
"2009","Cyprus","Price level indices (EU28=100)","Actual individual consumption","92.0",""
"2009","Latvia","Price level indices (EU28=100)","Actual individual consumption","68.1",""
"2009","Lithuania","Price level indices (EU28=100)","Actual individual consumption","60.3",""
"2009","Luxembourg","Price level indices (EU28=100)","Actual individual consumption","130.0",""
"2009","Hungary","Price level indices (EU28=100)","Actual individual consumption","58.2",""
"2009","Malta","Price level indices (EU28=100)","Actual individual consumption","75.8",""
"2009","Netherlands","Price level indices (EU28=100)","Actual individual consumption","108.5",""
"2009","Austria","Price level indices (EU28=100)","Actual individual consumption","109.9",""
"2009","Poland","Price level indices (EU28=100)","Actual individual consumption","53.1",""
"2009","Portugal","Price level indices (EU28=100)","Actual individual consumption","85.2",""
"2009","Romania","Price level indices (EU28=100)","Actual individual consumption","49.1",""
"2009","Slovenia","Price level indices (EU28=100)","Actual individual consumption","85.3",""
"2009","Slovakia","Price level indices (EU28=100)","Actual individual consumption","66.6",""
"2009","Finland","Price level indices (EU28=100)","Actual individual consumption","121.0",""
"2009","Sweden","Price level indices (EU28=100)","Actual individual consumption","109.5",""
"2009","United Kingdom","Price level indices (EU28=100)","Actual individual consumption","107.6",""
"2009","Iceland","Price level indices (EU28=100)","Actual individual consumption","95.0",""
"2009","Norway","Price level indices (EU28=100)","Actual individual consumption","142.4",""
"2009","Switzerland","Price level indices (EU28=100)","Actual individual consumption","131.7",""
"2009","Candidate and potential candidate countries except Turkey and Kosovo (under United Nations Security Council Resolution 1244/99)","Price level indices (EU28=100)","Actual individual consumption","48.0",""
"2009","Montenegro","Price level indices (EU28=100)","Actual individual consumption","52.3",""
"2009","North Macedonia","Price level indices (EU28=100)","Actual individual consumption","41.4",""
"2009","Albania","Price level indices (EU28=100)","Actual individual consumption","46.2",""
"2009","Serbia","Price level indices (EU28=100)","Actual individual consumption","48.3",""
"2009","Turkey","Price level indices (EU28=100)","Actual individual consumption","55.4",""
"2009","Bosnia and Herzegovina","Price level indices (EU28=100)","Actual individual consumption","51.6",""
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Price level indices (EU28=100)","Actual individual consumption",":",""
"2009","United States","Price level indices (EU28=100)","Actual individual consumption","92.4",""
"2009","Japan","Price level indices (EU28=100)","Actual individual consumption","115.2",""
"2010","European Union - 27 countries (from 2020)","Price level indices (EU28=100)","Actual individual consumption","98.1",""
"2010","European Union - 28 countries (2013-2020)","Price level indices (EU28=100)","Actual individual consumption","100.0",""
"2010","European Union - 27 countries (2007-2013)","Price level indices (EU28=100)","Actual individual consumption","100.2",""
"2010","European Union - 25 countries (2004-2006)","Price level indices (EU28=100)","Actual individual consumption","101.7",""
"2010","European Union - 15 countries (1995-2004)","Price level indices (EU28=100)","Actual individual consumption","106.6",""
"2010","Euro area - 19 countries  (from 2015)","Price level indices (EU28=100)","Actual individual consumption","103.3",""
"2010","Euro area - 18 countries (2014)","Price level indices (EU28=100)","Actual individual consumption","103.5",""
"2010","Euro area - 17 countries (2011-2013)","Price level indices (EU28=100)","Actual individual consumption","103.7",""
