Name,Consumptionpercapita,GWP_furniture
Belgisch Park,1.700612515,240.8773075
Westbroekpark,1.770815524,250.8209671
Duttendel,1.673041086,236.972049
Nassaubuurt,1.822706096,258.1708254
Uilennest,1.769846471,250.683709
Duinzigt,1.770815524,250.8209671
Waalsdorp,1.69564471,240.1736601
Arendsdorp,1.837640115,260.2861023
Van Hoytemastraat en omgeving,1.824880399,258.478797
Archipelbuurt,1.658099389,234.8556846
Van Stolkpark en Scheveningse Bosjes,1.637546502,231.9445429
Oud Scheveningen,1.650405473,233.7659068
Vissershaven,1.563875239,221.5096347
Scheveningen Badplaats,1.627271993,230.4892459
Visserijbuurt,1.76279249,249.6845725
Rijslag,1.730691305,245.1377124
Duindorp,1.667894932,236.2431399
Statenkwartier,1.705665695,241.5930476
Geuzenkwartier,1.527308182,216.3302218
Zorgvliet,1.820735471,257.8917032
Stadhoudersplantsoen,1.699236994,240.6824767
Sweelinckplein en omgeving,1.556944089,220.5278961
Bloemenbuurt-West,1.624517927,230.099156
Bloemenbuurt-Oost,1.523385332,215.7745835
Bomenbuurt,1.531222733,216.8846848
Vogelwijk,1.695696571,240.1810058
Bosjes van Pex,1.700330437,240.8373536
Bohemen en Meer en Bos,1.646947716,233.276145
Ockenburgh,1.715278849,242.954669
Kijkduin,1.657835119,234.8182531
Kraayenstein,1.658431943,234.9027881
Houtwijk,1.613426745,228.5281843
Kom Loosduinen,1.59352401,225.7091311
Waldeck-Zuid,1.590039612,225.2155957
Nieuw Waldeck,1.307850762,185.2459437
Rosenburg,1.625796943,230.2803177
Componistenbuurt,1.687019365,238.9519534
Waldeck-Noord,1.769965602,250.7005829
Vruchtenbuurt,1.693359434,239.8499703
Eykenduinen,1.540637812,218.2182507
Heesterbuurt,1.592801058,225.606731
Valkenboskwartier,1.680838496,238.0764858
Rond de Energiecentrale,1.66896115,236.3941608
Koningsplein en omgeving,1.72165106,243.8572386
Zeeheldenkwartier,1.768138736,250.4418228
Willemspark,1.631782316,231.1280949
Haagse Bos,1.739358128,246.3652943
Landen,1.620217401,229.490023
Kampen,1.687983936,239.0885766
Marlot,1.752097158,248.1696696
Burgen en Horsten,1.733730254,245.5681537
Bezuidenhout-West,1.662238101,235.441898
Bezuidenhout-Midden,1.692471431,239.7241922
Bezuidenhout-Oost,1.709468204,242.1316406
Huygenspark,0.944595044,133.7938589
Rivierenbuurt-Zuid,0.963691435,136.4987003
Rivierenbuurt-Noord,1.813541988,256.8728074
Kortenbos,1.753300143,248.3400623
Voorhout,1.782576448,252.486802
Uilebomen,1.730229517,245.0723042
Zuidwal,1.698766998,240.6159057
Schildersbuurt-West,0.896375524,126.9639737
Schildersbuurt-Noord,1.112610754,157.5918561
Schildersbuurt-Oost,1.098817278,155.6381275
Transvaalkwartier-Noord,0.780347836,110.5296381
Transvaalkwartier-Midden,0.815312426,115.482075
Transvaalkwartier-Zuid,0.807914347,114.4342
Rustenburg,1.144339835,162.0860107
Oostbroek-Noord,1.018499492,144.2617959
Oostbroek-Zuid,0.91043824,128.955838
Leyenburg,1.653058597,234.1416992
"Venen, Oorden en Raden",0.829538106,117.4970216
"Zijden, Steden en Zichten",0.882631171,125.017203
Dreven en Gaarden,0.840137736,118.9983691
De Uithof,1.669303633,236.4426705
Morgenstond-Zuid,0.870808214,123.3425817
Morgenstond-West,1.645678725,233.0964031
Morgenstond-Oost,0.997861645,141.3386202
Moerwijk-Oost,0.833653008,118.0798626
Moerwijk-West,0.841359822,119.1714672
Moerwijk-Noord,0.881251083,124.8217253
Moerwijk-Zuid,0.821904044,116.4157216
Groente- en Fruitmarkt,0.771231405,109.238373
Laakhaven-Oost,0.948967114,134.4131255
Laakhaven-West,0.832747116,117.9515506
Spoorwijk,1.113678642,157.7431134
Laakkwartier-West,0.961239462,136.1513992
Laakkwartier-Oost,1.007658072,142.7262009
Noordpolderbuurt,0.805371648,114.0740483
Binckhorst,1.391856308,197.1446153
Erasmus Veld,1.648475623,233.49256
Hoge Veld,1.828986205,259.0603496
Parkbuurt oosteinde,1.832824109,259.6039561
Lage Veld,1.693091728,239.812052
Zonne Veld,1.794437632,254.1668379
Vlietzoom-West,1.706019602,241.6431755
Bosweide,1.845546867,261.4060266
De Venen,1.84372402,261.1478358
Morgenweide,1.808735048,256.1919453
Singels,1.793550563,254.041192
Waterbuurt,1.723576039,244.1298955
De Bras,1.818160003,257.5269101
Vlietzoom-Oost,1.730419467,245.099209
De Lanen,1.848192201,261.7807156
De Velden,1.824694663,258.4524892
De Vissen,1.799733961,254.9170179
Rietbuurt,1.853266649,262.4994681
