Name,Type,green electricity,nongreen electricity,BUURTCODE
Belgisch Park,Buurt,822.9913710434532,550.4882145750721,71
Westbroekpark,Buurt,877.9919406463872,755.3603320808855,73
Duttendel,Buurt,924.3100075984007,749.6899924015993,74
Nassaubuurt,Buurt,821.7113865947382,618.2886134052618,48
Uilennest,Buurt,828.823812334952,654.223806712667,75
Duinzigt,Buurt,770.5676440835414,702.9794501048355,76
Waalsdorp,Buurt,779.7890778606532,580.8802134779295,77
Arendsdorp,Buurt,687.0660561626862,532.2442886649001,78
Van Hoytemastraat en omgeving,Buurt,772.3597438910145,556.6656798377991,79
Archipelbuurt,Buurt,768.9067835377404,577.0932164622596,46
Van Stolkpark en Scheveningse Bosjes,Buurt,717.6140894512288,617.978015811929,5
Oud Scheveningen,Buurt,738.5820481206788,459.6713765368555,1
Vissershaven,Buurt,717.4016696078145,455.63203825735405,2
Scheveningen Badplaats,Buurt,809.3052812754797,495.2772790213662,3
Visserijbuurt,Buurt,770.2450903567493,483.1227852909191,4
Rijslag,Buurt,915.2105965090518,591.2800867207619,72
Duindorp,Buurt,921.6137969778846,492.5255816954991,100
Statenkwartier,Buurt,786.0087866581482,551.2648812156232,7
Geuzenkwartier,Buurt,663.9170074422051,478.474792102214,8
Zorgvliet,Buurt,1011.9390045805887,709.2609954194112,41
Stadhoudersplantsoen,Buurt,722.9952823272952,562.5659421625007,42
Sweelinckplein en omgeving,Buurt,818.3880230739281,603.9441628124747,43
Bloemenbuurt-West,Buurt,694.6704734642078,481.3979026041682,50
Bloemenbuurt-Oost,Buurt,758.1691092628056,489.73336751738026,51
Bomenbuurt,Buurt,754.2343132620177,489.53380268001126,52
Vogelwijk,Buurt,823.5441296863577,602.2222254538293,9
Bosjes van Pex,Buurt,744.0860153469544,510.91398465304565,81
Bohemen en Meer en Bos,Buurt,747.3607533872695,585.281387080958,92
Ockenburgh,Buurt,931.9531515278467,643.895905075927,90
Kijkduin,Buurt,960.1357192088874,774.8642807911126,91
Kraayenstein,Buurt,822.9770390734823,516.3080673094964,97
Houtwijk,Buurt,743.4111129483756,440.48904305786465,86
Kom Loosduinen,Buurt,743.6143519124673,480.214793816176,95
Waldeck-Zuid,Buurt,855.9344816032052,569.1269434582198,6
Nieuw Waldeck,Buurt,706.8834902248021,418.9486873064046,40
Rosenburg,Buurt,657.1092362837701,461.4474647471577,82
Componistenbuurt,Buurt,826.2949349809413,562.0886266628942,93
Waldeck-Noord,Buurt,864.3671303093251,696.4582665160717,94
Vruchtenbuurt,Buurt,703.3836070710116,451.35470416415933,53
Eykenduinen,Buurt,722.965570888398,469.292493627731,83
Heesterbuurt,Buurt,726.2936748017657,409.848867446581,54
Valkenboskwartier,Buurt,787.1129694123586,448.8730384582143,55
Rond de Energiecentrale,Buurt,719.5378435277473,457.2379751120511,10
Koningsplein en omgeving,Buurt,872.8082590266802,542.3006518644089,44
Zeeheldenkwartier,Buurt,797.2850131173432,511.3515423913102,45
Willemspark,Buurt,902.6227126427468,670.2631933975216,47
Haagse Bos,Buurt,525.2982743690995,386.23113739560637,49
Landen,Buurt,718.4091513904831,428.8750387162094,61
Kampen,Buurt,747.1823915573373,454.52840274001505,67
Marlot,Buurt,976.607370535814,617.6783437499003,68
Burgen en Horsten,Buurt,805.5864600423608,504.6999361390235,69
Bezuidenhout-West,Buurt,768.0964371368477,472.1689259916438,64
Bezuidenhout-Midden,Buurt,813.771669974666,531.0357979366526,65
Bezuidenhout-Oost,Buurt,723.4601589651585,469.9083205021002,66
Huygenspark,Buurt,865.0392390900405,453.212819174684,18
Rivierenbuurt-Zuid,Buurt,1017.3344816708591,559.9596359761996,62
Rivierenbuurt-Noord,Buurt,792.0947772874142,455.8591522518811,63
Kortenbos,Buurt,804.2220655375118,498.3758726068182,11
Voorhout,Buurt,1006.0399949934375,650.4355888706814,12
Uilebomen,Buurt,809.863070744975,502.636929255025,13
Zuidwal,Buurt,805.9220986643659,492.5092738846538,14
Schildersbuurt-West,Buurt,649.9593209384435,301.42573042535395,15
Schildersbuurt-Noord,Buurt,643.3890583020644,302.95545847309825,16
Schildersbuurt-Oost,Buurt,601.2495461529804,278.45999741548417,17
Transvaalkwartier-Noord,Buurt,669.2519239951145,307.6809023673697,32
Transvaalkwartier-Midden,Buurt,673.8267126019473,318.2112494360148,33
Transvaalkwartier-Zuid,Buurt,659.8454685823139,303.99696403689836,34
Rustenburg,Buurt,719.5975720713643,367.4843951417503,30
Oostbroek-Noord,Buurt,702.804946042671,340.895053957329,31
Oostbroek-Zuid,Buurt,722.5888628123612,342.62528988782503,35
Leyenburg,Buurt,799.6491289229007,442.63792674443675,84
"Venen, Oorden en Raden",Buurt,648.4393559581234,319.2659439836355,87
"Zijden, Steden en Zichten",Buurt,664.4492718957193,328.6335306520513,96
Dreven en Gaarden,Buurt,660.5097623121337,331.69088493705726,98
De Uithof,Buurt,990.842768456568,675.0267967608232,99
Morgenstond-Zuid,Buurt,654.1827943322596,326.5423321432885,80
Morgenstond-West,Buurt,710.2463665936332,362.85289066497586,88
Morgenstond-Oost,Buurt,670.3236540367169,351.5648351719161,89
Zuiderpark,Buurt,529.877089262287,497.622910737713,36
Moerwijk-Oost,Buurt,675.2510422199384,345.0246086223281,20
Moerwijk-West,Buurt,599.3545725106691,304.082927489331,37
Moerwijk-Noord,Buurt,711.695087592596,348.33358624252946,38
Moerwijk-Zuid,Buurt,629.6260900072368,303.63477955798066,39
Groente- en Fruitmarkt,Buurt,709.1871235453493,327.1252000670683,21
Laakhaven-Oost,Buurt,819.219991686905,377.8787737451939,19
Laakhaven-West,Buurt,796.0639985859125,381.6946221037428,22
Spoorwijk,Buurt,810.391687224563,380.7603865081558,23
Laakkwartier-West,Buurt,738.7640675325372,362.46042226338113,24
Laakkwartier-Oost,Buurt,752.9160336206957,365.86955356791645,25
Noordpolderbuurt,Buurt,707.4777322732367,343.1573785715805,26
Binckhorst,Buurt,124.06334441157011,87.94782877278743,60
Erasmus Veld,Buurt,702.0411773119083,437.07715215444904,101
Hoge Veld,Buurt,735.4084731177652,381.68997247808977,102
Parkbuurt oosteinde,Buurt,860.6458573549861,504.44793773880895,103
Lage Veld,Buurt,757.5591474694152,435.8947615154156,104
Zonne Veld,Buurt,769.8387453267956,408.5769523476231,105
Vlietzoom-West,Buurt,1097.8404627109267,782.1595372890736,106
Bosweide,Buurt,973.4127971935036,549.4164710991794,108
