Name,Type,green gas,nongreen gas,BUURTCODE
Belgisch Park,Buurt,420.70827549609356,281.40628879397343,71
Westbroekpark,Buurt,524.6205713459838,451.34533774492536,73
Duttendel,Buurt,537.3895393013958,435.8662746520926,74
Nassaubuurt,Buurt,532.00544901326,400.30224329443234,48
Uilennest,Buurt,441.8362234873824,348.7590146078557,75
Duinzigt,Buurt,540.592029376438,493.17550569370235,76
Waalsdorp,Buurt,471.27439596562846,351.0615620396209,77
Arendsdorp,Buurt,455.79872353276244,353.0901653561265,78
Van Hoytemastraat en omgeving,Buurt,464.42546691485836,334.727075458023,79
Archipelbuurt,Buurt,453.78105257965007,340.57960315805485,46
Van Stolkpark en Scheveningse Bosjes,Buurt,466.5675763098748,401.7876868480199,5
Oud Scheveningen,Buurt,386.54761396970105,240.57567370153185,1
Vissershaven,Buurt,315.4093547413667,200.32098233728496,2
Scheveningen Badplaats,Buurt,449.6140451530443,275.15404390075906,3
Visserijbuurt,Buurt,437.34255130425595,274.31547978382696,4
Rijslag,Buurt,479.5568439272522,309.8220380603254,72
Duindorp,Buurt,230.40344924447115,123.13139542387478,100
Statenkwartier,Buurt,477.12112312933203,334.62745421158877,7
Geuzenkwartier,Buurt,371.09771595022823,267.4444252798401,8
Zorgvliet,Buurt,388.26662713515043,272.13337286484955,41
Stadhoudersplantsoen,Buurt,403.83520274137203,314.2260217484239,42
Sweelinckplein en omgeving,Buurt,461.27324936894126,340.40489176703113,43
Bloemenbuurt-West,Buurt,396.179254397556,274.5472413289397,50
Bloemenbuurt-Oost,Buurt,390.0953093302402,251.97899407533257,51
Bomenbuurt,Buurt,430.9910361497244,279.73360153143506,52
Vogelwijk,Buurt,483.5285908882368,353.5835586444735,9
Bosjes van Pex,Buurt,426.88600083649976,293.1139991635003,81
Bohemen en Meer en Bos,Buurt,414.47517764272146,324.58836750778016,92
Ockenburgh,Buurt,494.0214622682335,341.324449681452,90
Kijkduin,Buurt,423.345144204495,341.654855795505,91
Kraayenstein,Buurt,328.13232426080964,205.85916510089248,97
Houtwijk,Buurt,273.3129091721969,161.94450112421498,86
Kom Loosduinen,Buurt,323.0179990208003,208.60009143146104,95
Waldeck-Zuid,Buurt,332.10257886204363,220.82125406178932,6
Nieuw Waldeck,Buurt,325.1067528882001,192.68104184134216,40
Rosenburg,Buurt,328.55461814188504,230.72373237357886,82
Componistenbuurt,Buurt,440.01884748985094,299.32361826357374,93
Waldeck-Noord,Buurt,318.823941507538,256.8903442067477,94
Vruchtenbuurt,Buurt,382.6838015482132,245.5646283191978,53
Eykenduinen,Buurt,394.897160569293,256.33623601514716,83
Heesterbuurt,Buurt,389.46182561833814,219.77403036990574,54
Valkenboskwartier,Buurt,455.15663013845074,259.56571354322824,55
Rond de Energiecentrale,Buurt,290.5176269642548,184.6125157729408,10
Koningsplein en omgeving,Buurt,497.74607542886974,309.2638255612293,44
Zeeheldenkwartier,Buurt,377.2866579930285,241.9788548816022,45
Willemspark,Buurt,333.11076299910894,247.35903565860917,47
Haagse Bos,Buurt,349.02368565463655,256.62337316889284,49
Landen,Buurt,332.9213140590044,198.7469691611702,61
Kampen,Buurt,403.7803833163389,245.62898531909903,67
