ID,Sex,Age,OtherCharacteristics,FoodGroups,MeanConsumption_1,P5_2,P50_3,P95_4,N_5,ConsumptionDays_6,MeanConsumptionOnConsumptionDays_7,P5consdays_8,P50consdays_9,P95consdays_10,Nconsdays_11
0,T001038,10000,BTOT000,BGLD019999,72.1,0,60.5,213.6,4313,49.4,146.9,36.5,140,307.5,4370
1,T001038,10000,BTOT000,BGLD010099,0.5,0,0,0,4313,0.4,125.5,8.6,75.6,480,41
2,T001038,10000,BTOT000,BGLD010199,71.6,0,60,212.5,4313,49,146.9,36.5,140,305.6,4339
3,T001038,10000,BTOT000,BGLD029999,131,12.2,112.8,315.5,4313,86.4,151.7,23,127.1,381,7283
4,T001038,10000,BTOT000,BGLD020099,11.8,0,0,80,4313,13.7,86.7,14.3,64.7,225,1057
5,T001038,10000,BTOT000,BGLD020199,19.2,0,0,97.2,4313,25.7,75.2,6.8,57.4,225,1912
6,T001038,10000,BTOT000,BGLD020299,48.4,0,26,168.7,4313,51.3,94.2,7,71.6,267.9,4254
7,T001038,10000,BTOT000,BGLD020399,12.3,0,0,81,4313,19.3,63.1,4,29.7,200,1522
8,T001038,10000,BTOT000,BGLD020499,19.4,0,0,113.3,4313,18.4,105.6,3.7,94.8,243,1585
9,T001038,10000,BTOT000,BGLD020599,2.9,0,0,19.4,4313,9.4,30.9,2.2,20.9,105.8,720
10,T001038,10000,BTOT000,BGLD020699,2.5,0,0,15,4313,5.1,48.3,1.1,28.8,175,446
11,T001038,10000,BTOT000,BGLD020799,11.8,0,3.7,47.4,4313,37.7,31.3,2.5,20.5,95,2918
12,T001038,10000,BTOT000,BGLD020899,2.6,0,0,8.5,4313,7.1,36.8,0.8,8.4,176.4,471
13,T001038,10000,BTOT000,BGLD039999,4.5,0,0,39.7,4313,4.3,108.1,17.8,96.5,267,358
14,T001038,10000,BTOT000,BGLD030199,4.5,0,0,39.7,4313,4.3,108.1,17.8,96.5,267,358
15,T001038,10000,BTOT000,BGLD049999,129.7,0,100,365.5,4313,68.9,187.8,19.7,154.8,454,6304
16,T001038,10000,BTOT000,BGLD040099,0.4,0,0,0,4313,0.7,59.3,25,50,150,46
17,T001038,10000,BTOT000,BGLD040199,119,0,86.9,349.1,4313,59.5,199.6,34,162,456.2,5686
18,T001038,10000,BTOT000,BGLD040101,113.4,0,82.5,338.2,4313,57.7,196.3,34.1,162,447.6,5456
19,T001038,10000,BTOT000,BGLD040102,5.7,0,0,50,4313,5,111.9,25.9,100,250,711
20,T001038,10000,BTOT000,BGLD040299,9.7,0,0,48,4313,24.2,39.8,5,30.6,103.9,1981
21,T001038,10000,BTOT000,BGLD040201,5.7,0,0,35,4313,13.8,40.8,3.3,30,100,875
22,T001038,10000,BTOT000,BGLD040202,4,0,0,26,4313,12.4,32.3,7.4,29.7,81.4,1238
23,T001038,10000,BTOT000,BGLD040399,0.6,0,0,1.4,4313,2.8,21.3,3,16,60,187
24,T001038,10000,BTOT000,BGLD059999,351.5,32.4,310.5,804.4,4313,94.2,373.7,31,320.2,889.4,8196
25,T001038,10000,BTOT000,BGLD050099,1.7,0,0,0,4313,0.9,180.9,74.2,200,270,111
26,T001038,10000,BTOT000,BGLD050199,200.6,0,141.3,603.2,4313,59.4,337.8,51.5,274.7,789.7,5737
27,T001038,10000,BTOT000,BGLD050101,147.4,0,72.9,533.9,4313,47.8,308.5,26.1,257.5,751.9,4734
28,T001038,10000,BTOT000,BGLD050102,53.2,0,0,280.5,4313,18.1,293.7,100,255,566.5,1750
29,T001038,10000,BTOT000,BGLD050299,8.4,0,0,0,4313,3,277.4,72.8,221.9,797.5,254
30,T001038,10000,BTOT000,BGLD050399,53.7,0,0,243,4313,25.5,212.2,72,201.6,432,2106
31,T001038,10000,BTOT000,BGLD050499,11.4,0,0,86,4313,7,162.3,24.7,144.2,500,662
32,T001038,10000,BTOT000,BGLD050599,32.6,0,25.6,92.8,4313,66.4,49.1,11,36,124,5320
33,T001038,10000,BTOT000,BGLD050699,26.3,0,0,154.5,4313,14.7,179.7,48.1,166.5,343.3,1499
34,T001038,10000,BTOT000,BGLD050799,7.1,0,0,35,4313,26.2,27.2,3,20,74.3,1706
35,T001038,10000,BTOT000,BGLD050700,4.3,0,0,27.5,4313,17.7,24.4,3,18,64,999
