Name,Type,Code,0 to 18 male prim,0 to 18 male second,0 to 18 male tert,0 to 18 female prim,0 to 18 female second,0 to 18 female tert,18 and more male prim,18 and more male second,18 and more male tert,18 and more female prim,18 and more female second,18 and more female tert
Wijk 02 Belgisch Park,Wijk,WK051802,134,300,355,139,311,368,550,1230,1457,570,1275,1510
Belgisch Park,Buurt,BU05180271,134,300,355,139,311,368,550,1230,1457,570,1275,1510
Wijk 03 Westbroekpark en Duttendel,Wijk,WK051803,18,34,86,21,41,103,97,187,465,116,224,556
Westbroekpark,Buurt,BU05180373,7,14,34,8,17,42,44,84,209,54,103,257
Duttendel,Buurt,BU05180374,10,20,51,12,24,60,53,102,254,62,120,298
Wijk 04 Benoordenhout,Wijk,WK051804,133,306,878,153,352,1010,504,1159,3328,579,1333,3827
Nassaubuurt,Buurt,BU05180448,17,39,113,18,42,123,60,139,401,65,150,431
Uilennest,Buurt,BU05180475,15,35,101,18,42,122,80,184,528,95,220,633
Duinzigt,Buurt,BU05180476,11,26,75,16,37,106,92,211,607,129,297,853
Waalsdorp,Buurt,BU05180477,47,108,312,51,118,339,135,311,892,147,338,970
Arendsdorp,Buurt,BU05180478,14,33,95,15,36,104,47,109,314,52,120,347
Van Hoytemastraat en omgeving,Buurt,BU05180479,29,67,192,30,71,204,85,196,562,90,208,597
Wijk 05 Archipelbuurt,Wijk,WK051805,53,121,306,58,134,337,265,603,1520,292,664,1675
Archipelbuurt,Buurt,BU05180546,53,121,306,58,134,337,265,603,1520,292,664,1675
Wijk 06 Van Stolkpark en Scheveningse Bo,Wijk,WK051806,8,7,43,9,8,50,40,37,215,47,43,248
Van Stolkpark en Scheveningse Bosjes,Buurt,BU05180605,8,7,43,9,8,50,40,37,215,47,43,248
Wijk 07 Scheveningen,Wijk,WK051807,381,572,513,400,600,539,1819,2728,2448,1908,2862,2568
Oud Scheveningen,Buurt,BU05180701,60,90,81,59,89,80,321,482,433,317,476,427
Vissershaven,Buurt,BU05180702,83,125,112,89,133,120,363,545,489,387,581,522
Scheveningen Badplaats,Buurt,BU05180703,118,177,159,119,179,160,579,869,780,582,873,784
Visserijbuurt,Buurt,BU05180704,84,127,114,95,142,128,388,582,522,435,652,585
Rijslag,Buurt,BU05180772,33,50,44,36,55,49,165,248,222,182,274,246
Wijk 08 Duindorp,Wijk,WK051808,278,252,116,276,250,115,1007,913,421,998,905,418
Duindorp,Buurt,BU05180800,278,252,116,276,250,115,1007,913,421,998,905,418
Wijk 09 Geuzen- en Statenkwartier,Wijk,WK051809,196,379,814,213,411,883,747,1441,3097,810,1562,3355
Statenkwartier,Buurt,BU05180907,141,273,587,153,296,636,507,979,2103,549,1060,2278
Geuzenkwartier,Buurt,BU05180908,54,105,226,59,114,245,240,463,994,260,502,1079
Wijk 10 Zorgvliet,Wijk,WK051810,12,13,11,11,13,11,71,78,67,68,75,64
Zorgvliet,Buurt,BU05181041,12,13,11,11,13,11,71,78,67,68,75,64
Wijk 11 Duinoord,Wijk,WK051811,59,147,524,62,155,550,244,611,2169,255,639,2271
Stadhoudersplantsoen,Buurt,BU05181142,13,33,117,14,36,130,61,152,542,67,169,601
Sweelinckplein en omgeving,Buurt,BU05181143,46,115,409,47,118,421,183,457,1624,188,470,1669
Wijk 12 Bomen- en Bloemenbuurt,Wijk,WK051812,237,450,563,279,530,662,1042,1975,2469,1226,2324,2905
Bloemenbuurt-West,Buurt,BU05181250,38,72,90,44,84,105,166,316,395,194,368,461
Bloemenbuurt-Oost,Buurt,BU05181251,104,197,246,124,236,295,454,861,1076,544,1031,1288
Bomenbuurt,Buurt,BU05181252,95,180,225,110,209,261,420,796,996,487,924,1155
Wijk 13 Vogelwijk,Wijk,WK051813,83,180,386,90,195,418,250,539,1155,270,581,1246
Vogelwijk,Buurt,BU05181309,83,180,386,90,195,418,250,539,1155,270,581,1246
