Name,BUURTCODE,Population,Consumptionpercapita,Total Consumption
Belgisch Park,71,8205,16.50925859594417,135458.46677972193
Westbroekpark,73,880,17.10997473994643,15056.77777115286
Duttendel,74,1075,18.65236406957749,20051.2913747958
Nassaubuurt,48,1625,15.596382901056648,25344.12221421705
Uilennest,75,2100,17.612668651906993,36986.604169004684
Duinzigt,76,2495,16.91633306112018,42206.25098749485
Waalsdorp,77,3810,16.061237478129012,61193.31479167154
Arendsdorp,78,1305,15.757661801973873,20563.748651575905
Van Hoytemastraat en omgeving,79,2360,16.76287988667947,39560.39653256355
Archipelbuurt,46,6100,17.745967271124684,108250.40035386058
Van Stolkpark en Scheveningse Bosjes,5,760,16.930767904766622,12867.383607622633
Oud Scheveningen,1,2920,19.726146814660094,57600.34869880747
Vissershaven,2,3560,17.71146986820711,63052.83273081732
Scheveningen Badplaats,3,5390,19.580981238223735,105541.48887402593
Visserijbuurt,4,3860,17.757643402355587,68544.50353309256
Rijslag,72,1610,16.924105813656027,27247.810359986204
Duindorp,100,5955,13.22294094354392,78742.61331880404
Statenkwartier,7,9665,16.53519577008181,159812.6671178407
Geuzenkwartier,8,4390,17.48361380052153,76753.0645842895
Zorgvliet,41,500,17.683142949561375,8841.571474780687
Stadhoudersplantsoen,42,1960,18.21814403459041,35707.562307797205
Sweelinckplein en omgeving,43,5810,18.615276547778112,108154.75674259083
Bloemenbuurt-West,50,2340,18.08262709804763,42313.34740943146
Bloemenbuurt-Oost,51,6460,18.391087107842793,118806.42271666444
Bomenbuurt,52,5865,19.045144901256016,111699.77484586653
Vogelwijk,9,5350,16.572860699536474,88664.80474252014
Bosjes van Pex,81,400,15.925528888087955,6370.2115552351825
Bohemen en Meer en Bos,92,4485,17.433012908504274,78187.06289464167
Ockenburgh,90,795,16.07632656740181,12780.67962108444
Kijkduin,91,1550,17.806099731825736,27599.45458432989
Kraayenstein,97,5875,17.691238630368748,103936.0269534164
Houtwijk,86,12820,15.041109863186266,192827.02844604795
Kom Loosduinen,95,4975,12.937606558482246,64364.59262844917
Waldeck-Zuid,6,2035,13.327352663586925,27121.162670399393
Nieuw Waldeck,40,7210,13.779799682793595,99352.35571294182
Rosenburg,82,2910,13.631494781765644,39667.64981493803
Componistenbuurt,93,1825,13.687961930394724,24980.530522970374
Waldeck-Noord,94,3150,13.67219346081734,43067.40940157462
Vruchtenbuurt,53,7165,16.658401162168676,119357.44432693857
Eykenduinen,83,2635,19.160133588047728,50486.952004505765
Heesterbuurt,54,6805,18.3389678011346,124796.67588672096
Valkenboskwartier,55,11435,20.603930493444686,235605.94519253998
Rond de Energiecentrale,10,5955,19.28491765365306,114841.68462750397
Koningsplein en omgeving,44,7575,20.410484498098402,154609.4200730954
Zeeheldenkwartier,45,11845,18.396779441474273,217909.85248426275
Willemspark,47,1490,20.279224956003475,30216.045184445178
Haagse Bos,49,425,19.016468427878273,8081.999081848266
Landen,61,5155,18.229849396314037,93974.87363799887
Kampen,67,2455,19.89620717873258,48845.18862378849
Marlot,68,805,16.256611396498926,13086.572174181636
Burgen en Horsten,69,6285,18.23533379794322,114609.07292007313
Bezuidenhout-West,64,3580,16.140741994187987,57783.85633919299
Bezuidenhout-Midden,65,4285,18.704087991662583,80147.01704427417
Bezuidenhout-Oost,66,9010,19.02566131211574,171421.20842216283
Huygenspark,18,7895,15.713359928327103,124056.97663414248
Rivierenbuurt-Zuid,62,850,15.64400253927056,13297.402158379975
Rivierenbuurt-Noord,63,3690,16.49042658522097,60849.67409946538
Kortenbos,11,7275,18.624261618959668,135491.5032779316
Voorhout,12,2355,18.193478203865077,42845.64117010226
Uilebomen,13,3180,19.684737921098147,62597.46658909211
Zuidwal,14,6885,16.62448675425546,114459.59130304884
Schildersbuurt-West,15,14115,9.029253329943778,127447.91075215643
Schildersbuurt-Noord,16,9985,10.224206488553035,102088.70178820206
Schildersbuurt-Oost,17,7230,10.203659462614047,73772.45791469955
Transvaalkwartier-Noord,32,3945,11.284782329109309,44518.466288336225
Transvaalkwartier-Midden,33,5005,12.783316215301438,63980.4976575837
Transvaalkwartier-Zuid,34,7235,9.3004927062128,67289.06472944962
Rustenburg,30,6100,14.048304436248094,85694.65706111336
Oostbroek-Noord,31,4500,13.366527065534248,60149.37179490412
Oostbroek-Zuid,35,8055,10.053089570388407,80977.63648947861
Leyenburg,84,14910,14.369717093673284,214252.48186666868
"Venen, Oorden en Raden",87,8585,14.274102018501804,122543.16582883798
"Zijden, Steden en Zichten",96,7850,13.845603315222672,108687.98602449798
Dreven en Gaarden,98,10815,14.543744603868088,157290.59789083336
De Uithof,99,1380,13.030560052041325,17982.17287181703
Morgenstond-Zuid,80,5930,14.071903526657223,83446.38791307734
Morgenstond-West,88,7405,14.994849279989696,111036.85891832369
Morgenstond-Oost,89,5560,14.379211402006804,79948.41539515783
Moerwijk-Oost,20,3265,14.17467652298258,46280.318847538125
Moerwijk-West,37,6240,14.013899298480725,87446.73162251973
Moerwijk-Noord,38,6975,13.47634996836657,93997.54102935683
Moerwijk-Zuid,39,4600,13.98539451382064,64332.81476357495
Groente- en Fruitmarkt,21,5315,9.854619548426099,52377.302899884715
Laakhaven-Oost,19,4050,11.306245043188964,45790.29242491531
Laakhaven-West,22,5510,10.309468809560347,56805.17314067751
Spoorwijk,23,4340,9.589825560891564,41619.842934269385
