Name,Type,code,food,Amount per day
Wijk 02 Belgisch Park,Wijk,WK051802,01. Potatoes and other tubers,571320.5
Belgisch Park,Buurt,BU05180271,01. Potatoes and other tubers,571320.5
Wijk 03 Westbroekpark en Duttendel,Wijk,WK051803,01. Potatoes and other tubers,129966
Westbroekpark,Buurt,BU05180373,01. Potatoes and other tubers,58318.4
Duttendel,Buurt,BU05180374,01. Potatoes and other tubers,71058.2
Wijk 04 Benoordenhout,Wijk,WK051804,01. Potatoes and other tubers,886622.9
Nassaubuurt,Buurt,BU05180448,01. Potatoes and other tubers,104691
Uilennest,Buurt,BU05180475,01. Potatoes and other tubers,136376.8
Duinzigt,Buurt,BU05180476,01. Potatoes and other tubers,161425.8
Waalsdorp,Buurt,BU05180477,01. Potatoes and other tubers,244870.1
Arendsdorp,Buurt,BU05180478,01. Potatoes and other tubers,83919.6
Van Hoytemastraat en omgeving,Buurt,BU05180479,01. Potatoes and other tubers,151882.9
Wijk 05 Archipelbuurt,Wijk,WK051805,01. Potatoes and other tubers,401663.6
Archipelbuurt,Buurt,BU05180546,01. Potatoes and other tubers,401663.6
Wijk 06 Van Stolkpark en Scheveningse Bo,Wijk,WK051806,01. Potatoes and other tubers,49203.7
Van Stolkpark en Scheveningse Bosjes,Buurt,BU05180605,01. Potatoes and other tubers,49203.7
Wijk 07 Scheveningen,Wijk,WK051807,01. Potatoes and other tubers,1248581.8
Oud Scheveningen,Buurt,BU05180701,01. Potatoes and other tubers,211650.3
Vissershaven,Buurt,BU05180702,01. Potatoes and other tubers,254533
Scheveningen Badplaats,Buurt,BU05180703,01. Potatoes and other tubers,389037.8
Visserijbuurt,Buurt,BU05180704,01. Potatoes and other tubers,275687.5
Rijslag,Buurt,BU05180772,01. Potatoes and other tubers,115167.1
Wijk 08 Duindorp,Wijk,WK051808,01. Potatoes and other tubers,448496.5
Duindorp,Buurt,BU05180800,01. Potatoes and other tubers,448496.5
Wijk 09 Geuzen- en Statenkwartier,Wijk,WK051809,01. Potatoes and other tubers,933402.5
Statenkwartier,Buurt,BU05180907,01. Potatoes and other tubers,640460.1
Geuzenkwartier,Buurt,BU05180908,01. Potatoes and other tubers,292664.3
Wijk 10 Zorgvliet,Wijk,WK051810,01. Potatoes and other tubers,36601.2
Zorgvliet,Buurt,BU05181041,01. Potatoes and other tubers,36601.2
Wijk 11 Duinoord,Wijk,WK051811,01. Potatoes and other tubers,500712.8
Stadhoudersplantsoen,Buurt,BU05181142,01. Potatoes and other tubers,125944.1
Sweelinckplein en omgeving,Buurt,BU05181143,01. Potatoes and other tubers,374415.7
Wijk 12 Bomen- en Bloemenbuurt,Wijk,WK051812,01. Potatoes and other tubers,1015350.6
Bloemenbuurt-West,Buurt,BU05181250,01. Potatoes and other tubers,161659.2
Bloemenbuurt-Oost,Buurt,BU05181251,01. Potatoes and other tubers,446407.8
Bomenbuurt,Buurt,BU05181252,01. Potatoes and other tubers,406223.2
Wijk 13 Vogelwijk,Wijk,WK051813,01. Potatoes and other tubers,357868.4
Vogelwijk,Buurt,BU05181309,01. Potatoes and other tubers,357868.4
Wijk 14 Bohemen en Meer en Bos,Wijk,WK051814,01. Potatoes and other tubers,337502.6
Bosjes van Pex,Buurt,BU05181481,01. Potatoes and other tubers,27380.9
Bohemen en Meer en Bos,Buurt,BU05181492,01. Potatoes and other tubers,309627
Wijk 15 Kijkduin en Ockenburgh,Wijk,WK051815,01. Potatoes and other tubers,166074.5
Ockenburgh,Buurt,BU05181590,01. Potatoes and other tubers,55646
Kijkduin,Buurt,BU05181591,01. Potatoes and other tubers,109228.3
Wijk 16 Kraayenstein en de Uithof,Wijk,WK051816,01. Potatoes and other tubers,421822
Kraayenstein,Buurt,BU05181697,01. Potatoes and other tubers,421822
Wijk 17 Loosduinen,Wijk,WK051817,01. Potatoes and other tubers,1313887.4
Kerketuinen en Zichtenburg,Buurt,BU05181785,01. Potatoes and other tubers,4248.8
Houtwijk,Buurt,BU05181786,01. Potatoes and other tubers,943335.8
Kom Loosduinen,Buurt,BU05181795,01. Potatoes and other tubers,365219.5
Wijk 18 Waldeck,Wijk,WK051818,01. Potatoes and other tubers,1252194
Waldeck-Zuid,Buurt,BU05181806,01. Potatoes and other tubers,147719.1
Nieuw Waldeck,Buurt,BU05181840,01. Potatoes and other tubers,525011.8
Rosenburg,Buurt,BU05181882,01. Potatoes and other tubers,213937.6
Componistenbuurt,Buurt,BU05181893,01. Potatoes and other tubers,133114
Waldeck-Noord,Buurt,BU05181894,01. Potatoes and other tubers,229395.4
Wijk 19 Vruchtenbuurt,Wijk,WK051819,01. Potatoes and other tubers,674493.3
Vruchtenbuurt,Buurt,BU05181953,01. Potatoes and other tubers,491750.1
Eykenduinen,Buurt,BU05181983,01. Potatoes and other tubers,181976.5
Wijk 20 Valkenboskwartier,Wijk,WK051820,01. Potatoes and other tubers,1306458
Heesterbuurt,Buurt,BU05182054,01. Potatoes and other tubers,484987.5
Valkenboskwartier,Buurt,BU05182055,01. Potatoes and other tubers,821470.5
Wijk 21 Regentessekwartier,Wijk,WK051821,01. Potatoes and other tubers,943837.9
Rond de Energiecentrale,Buurt,BU05182110,01. Potatoes and other tubers,416118.3
Koningsplein en omgeving,Buurt,BU05182144,01. Potatoes and other tubers,527380.5
Wijk 22 Zeeheldenkwartier,Wijk,WK051822,01. Potatoes and other tubers,825056
Zeeheldenkwartier,Buurt,BU05182245,01. Potatoes and other tubers,825056
Wijk 23 Willemspark,Wijk,WK051823,01. Potatoes and other tubers,102062.9
Willemspark,Buurt,BU05182347,01. Potatoes and other tubers,102062.9
Wijk 24 Haagse Bos,Wijk,WK051824,01. Potatoes and other tubers,31438.9
Haagse Bos,Buurt,BU05182449,01. Potatoes and other tubers,31438.9
Wijk 25 Mariahoeve en Marlot,Wijk,WK051825,01. Potatoes and other tubers,1067409.8
Landen,Buurt,BU05182561,01. Potatoes and other tubers,373449.7
Kampen,Buurt,BU05182567,01. Potatoes and other tubers,178757.7
Marlot,Buurt,BU05182568,01. Potatoes and other tubers,57366
Burgen en Horsten,Buurt,BU05182569,01. Potatoes and other tubers,454934.2
Wijk 26 Bezuidenhout,Wijk,WK051826,01. Potatoes and other tubers,1143997.6
Bezuidenhout-West,Buurt,BU05182664,01. Potatoes and other tubers,239239.8
Bezuidenhout-Midden,Buurt,BU05182665,01. Potatoes and other tubers,289234.7
Bezuidenhout-Oost,Buurt,BU05182666,01. Potatoes and other tubers,613748.5
Wijk 27 Stationsbuurt,Wijk,WK051827,01. Potatoes and other tubers,904953.8
Huygenspark,Buurt,BU05182718,01. Potatoes and other tubers,570508.9
Rivierenbuurt-Zuid,Buurt,BU05182762,01. Potatoes and other tubers,62999.9
Rivierenbuurt-Noord,Buurt,BU05182763,01. Potatoes and other tubers,270344
Wijk 28 Centrum,Wijk,WK051828,01. Potatoes and other tubers,1413798.1
Kortenbos,Buurt,BU05182811,01. Potatoes and other tubers,518217.6
Voorhout,Buurt,BU05182812,01. Potatoes and other tubers,171158.9
Uilebomen,Buurt,BU05182813,01. Potatoes and other tubers,227830.2
Zuidwal,Buurt,BU05182814,01. Potatoes and other tubers,494726.8
Wijk 29 Schildersbuurt,Wijk,WK051829,01. Potatoes and other tubers,2387432.2
Schildersbuurt-West,Buurt,BU05182915,01. Potatoes and other tubers,1077760.5
Schildersbuurt-Noord,Buurt,BU05182916,01. Potatoes and other tubers,759605.9
Schildersbuurt-Oost,Buurt,BU05182917,01. Potatoes and other tubers,549069.6
Wijk 30 Transvaalkwartier,Wijk,WK051830,01. Potatoes and other tubers,1261351.1
Transvaalkwartier-Noord,Buurt,BU05183032,01. Potatoes and other tubers,307060.3
Transvaalkwartier-Midden,Buurt,BU05183033,01. Potatoes and other tubers,387821.1
Transvaalkwartier-Zuid,Buurt,BU05183034,01. Potatoes and other tubers,565041.8
Wijk 31 Rustenburg en Oostbroek,Wijk,WK051831,01. Potatoes and other tubers,1416644.9
Rustenburg,Buurt,BU05183130,01. Potatoes and other tubers,464793.4
Oostbroek-Noord,Buurt,BU05183131,01. Potatoes and other tubers,342102.3
Oostbroek-Zuid,Buurt,BU05183135,01. Potatoes and other tubers,608687.5
Wijk 32 Leyenburg,Wijk,WK051832,01. Potatoes and other tubers,1108851.1
Leyenburg,Buurt,BU05183284,01. Potatoes and other tubers,1108851.1
Wijk 33 Bouwlust en Vrederust,Wijk,WK051833,01. Potatoes and other tubers,2177923.7
