Name,BUURTCODE,Population,Consumptionpercapita,Total Consumption
Belgisch Park,71,8205,10.280344498980039,84350.22661413121
Westbroekpark,73,880,12.189012400676692,10726.33091259549
Duttendel,74,1075,13.525794093106189,14540.228650089153
Nassaubuurt,48,1625,12.852243609083809,20884.89586476119
Uilennest,75,2100,12.756191679494446,26788.002526938337
Duinzigt,76,2495,12.729027473026472,31758.923545201047
Waalsdorp,77,3810,15.215657709520187,57971.65587327191
Arendsdorp,78,1305,12.047927083358035,15722.544843782236
Van Hoytemastraat en omgeving,79,2360,14.98221356266008,35358.024007877786
Archipelbuurt,46,6100,11.330303511966974,69114.85142299854
Van Stolkpark en Scheveningse Bosjes,5,760,12.968930463457514,9856.387152227711
Oud Scheveningen,1,2920,10.697508363501472,31236.724421424296
Vissershaven,2,3560,12.973297514404514,46184.93915128007
Scheveningen Badplaats,3,5390,9.64320399679423,51976.869542720895
Visserijbuurt,4,3860,13.529015249880372,52221.99886453823
Rijslag,72,1610,9.97405782954738,16058.233105571282
Duindorp,100,5955,12.3306551078149,73429.05116703773
Statenkwartier,7,9665,10.777528767910644,104164.81554185637
Geuzenkwartier,8,4390,13.150111133103985,57728.9878743265
Zorgvliet,41,500,11.995676964206872,5997.838482103436
Stadhoudersplantsoen,42,1960,14.528071467645372,28475.02007658493
Sweelinckplein en omgeving,43,5810,12.070433286770939,70129.21739613915
Bloemenbuurt-West,50,2340,12.415493832366373,29052.255567737313
Bloemenbuurt-Oost,51,6460,12.276701081309344,79307.48898525836
Bomenbuurt,52,5865,12.615676354059568,73990.94181655937
Vogelwijk,9,5350,14.093884904137003,75402.28423713296
Bosjes van Pex,81,400,10.696243962128055,4278.497584851222
Bohemen en Meer en Bos,92,4485,12.189903040041887,54671.71513458787
Ockenburgh,90,795,12.825136813420956,10195.98376666966
Kijkduin,91,1550,11.406868078279468,17680.645521333176
Kraayenstein,97,5875,12.362673350865489,72630.70593633475
Houtwijk,86,12820,10.789437788292568,138320.59244591073
Kom Loosduinen,95,4975,12.156306906520728,60477.62685994062
Waldeck-Zuid,6,2035,12.268439122575076,24966.27361444028
Nieuw Waldeck,40,7210,12.92943125394963,93221.19934097683
Rosenburg,82,2910,11.69034414831539,34018.90147159778
Componistenbuurt,93,1825,12.25853253722652,22371.821880438398
Waldeck-Noord,94,3150,13.070118203442746,41170.87234084465
Vruchtenbuurt,53,7165,12.015192119501641,86088.85153622927
Eykenduinen,83,2635,11.256526424441585,29660.947128403575
Heesterbuurt,54,6805,5.530597823798751,37635.7181909505
Valkenboskwartier,55,11435,4.722442383557397,54001.12865597884
Rond de Energiecentrale,10,5955,6.872441433853054,40925.388738594935
