"TIME","GEO","CROPS","STRUCPRO","Value","Flag and Footnotes"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","288 842.20",""
"2011","European Union - 27 countries (from 2020)","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","270 306.93",""
"2011","European Union - 28 countries (2013-2020)","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","291 667.02",""
"2011","Belgium","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","2 796.99",""
"2011","Bulgaria","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","7 704.04",""
"2011","Czechia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","8 284.81",""
"2011","Denmark","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","8 691.25",""
"2011","Germany (until 1990 former territory of the FRG)","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","41 960.40",""
"2011","Estonia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","771.20",""
"2011","Ireland","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","2 383.02",""
"2011","Greece","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","4 997.15",""
"2011","Spain","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","22 094.52",""
"2011","France","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","63 083.33",""
"2011","Croatia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","2 824.82",""
"2011","Italy","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","17 923.47",""
"2011","Cyprus","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","70.20",""
"2011","Latvia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","1 412.00",""
"2011","Lithuania","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","3 225.90",""
"2011","Luxembourg","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","147.64",""
"2011","Hungary","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","13 678.21",""
"2011","Malta","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","0.00",""
"2011","Netherlands","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","1 561.56",""
"2011","Austria","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","5 704.27",""
"2011","Poland","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","26 300.53",""
"2011","Portugal","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","1 166.30",""
"2011","Romania","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","20 842.16",""
"2011","Slovenia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","607.96",""
"2011","Slovakia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","3 714.10",""
"2011","Finland","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","3 714.71",""
"2011","Sweden","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","4 646.40",""
"2011","United Kingdom","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","21 360.09",""
"2011","Iceland","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","11.16",""
"2011","Norway","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","1 015.06",""
"2011","Switzerland","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","983.68",""
"2011","Montenegro","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","6.57",""
"2011","North Macedonia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","554.79",""
"2011","Albania","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","701.20",""
"2011","Serbia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","9 538.45",""
"2011","Turkey","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","35 202.00",""
"2011","Bosnia and Herzegovina","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","1 131.26","e"
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","435.00",""
"2012","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","280 594.93",""
"2012","European Union - 27 countries (from 2020)","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","263 856.19",""
"2012","European Union - 28 countries (2013-2020)","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","283 257.73",""
"2012","Belgium","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","2 829.41",""
"2012","Bulgaria","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","7 191.14",""
"2012","Czechia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","6 595.49",""
"2012","Denmark","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","9 350.40",""
"2012","Germany (until 1990 former territory of the FRG)","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","45 441.00",""
"2012","Estonia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","991.20",""
"2012","Ireland","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","1 995.96",""
"2012","Greece","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","4 471.42",""
"2012","Spain","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","17 543.12",""
"2012","France","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","67 403.75",""
"2012","Croatia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","2 662.80",""
"2012","Italy","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","18 958.76",""
"2012","Cyprus","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","90.75",""
"2012","Latvia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","2 124.50",""
"2012","Lithuania","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","4 656.60",""
"2012","Luxembourg","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","152.80",""
"2012","Hungary","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","10 372.74",""
"2012","Malta","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","0.00",""
"2012","Netherlands","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","1 708.37",""
"2012","Austria","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","4 875.88",""
"2012","Poland","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","28 045.94",""
"2012","Portugal","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","1 186.07",""
