"TIME","GEO","CROPS","STRUCPRO","Value","Flag and Footnotes"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Rye and winter cereal mixtures (maslin)","Harvested production in EU standard humidity (1000 t)","7 136.12",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Oats and spring cereal mixtures (mixed grain other than maslin)","Harvested production in EU standard humidity (1000 t)","11 242.08",""
"2011","European Union - 27 countries (from 2020)","Rye and winter cereal mixtures (maslin)","Harvested production in EU standard humidity (1000 t)","7 102.32",""
"2011","European Union - 27 countries (from 2020)","Oats and spring cereal mixtures (mixed grain other than maslin)","Harvested production in EU standard humidity (1000 t)","10 686.90",""
"2011","European Union - 28 countries (2013-2020)","Rye and winter cereal mixtures (maslin)","Harvested production in EU standard humidity (1000 t)","7 139.10",""
"2011","European Union - 28 countries (2013-2020)","Oats and spring cereal mixtures (mixed grain other than maslin)","Harvested production in EU standard humidity (1000 t)","11 320.20",""
"2011","Belgium","Rye and winter cereal mixtures (maslin)","Harvested production in EU standard humidity (1000 t)","2.38",""
"2011","Belgium","Oats and spring cereal mixtures (mixed grain other than maslin)","Harvested production in EU standard humidity (1000 t)","17.64",""
"2011","Bulgaria","Rye and winter cereal mixtures (maslin)","Harvested production in EU standard humidity (1000 t)","20.44",""
"2011","Bulgaria","Oats and spring cereal mixtures (mixed grain other than maslin)","Harvested production in EU standard humidity (1000 t)","30.59",""
"2011","Czechia","Rye and winter cereal mixtures (maslin)","Harvested production in EU standard humidity (1000 t)","118.61",""
"2011","Czechia","Oats and spring cereal mixtures (mixed grain other than maslin)","Harvested production in EU standard humidity (1000 t)","170.72",""
"2011","Denmark","Rye and winter cereal mixtures (maslin)","Harvested production in EU standard humidity (1000 t)","290.88",""
"2011","Denmark","Oats and spring cereal mixtures (mixed grain other than maslin)","Harvested production in EU standard humidity (1000 t)","222.19",""
"2011","Germany (until 1990 former territory of the FRG)","Rye and winter cereal mixtures (maslin)","Harvested production in EU standard humidity (1000 t)","2 520.90",""
"2011","Germany (until 1990 former territory of the FRG)","Oats and spring cereal mixtures (mixed grain other than maslin)","Harvested production in EU standard humidity (1000 t)","695.10",""
"2011","Estonia","Rye and winter cereal mixtures (maslin)","Harvested production in EU standard humidity (1000 t)","31.00",""
"2011","Estonia","Oats and spring cereal mixtures (mixed grain other than maslin)","Harvested production in EU standard humidity (1000 t)","71.60",""
"2011","Ireland","Rye and winter cereal mixtures (maslin)","Harvested production in EU standard humidity (1000 t)","0.00",""
"2011","Ireland","Oats and spring cereal mixtures (mixed grain other than maslin)","Harvested production in EU standard humidity (1000 t)","159.96",""
"2011","Greece","Rye and winter cereal mixtures (maslin)","Harvested production in EU standard humidity (1000 t)","38.26",""
"2011","Greece","Oats and spring cereal mixtures (mixed grain other than maslin)","Harvested production in EU standard humidity (1000 t)","111.99",""
"2011","Spain","Rye and winter cereal mixtures (maslin)","Harvested production in EU standard humidity (1000 t)","376.82",""
"2011","Spain","Oats and spring cereal mixtures (mixed grain other than maslin)","Harvested production in EU standard humidity (1000 t)","963.08",""
"2011","France","Rye and winter cereal mixtures (maslin)","Harvested production in EU standard humidity (1000 t)","122.98",""
"2011","France","Oats and spring cereal mixtures (mixed grain other than maslin)","Harvested production in EU standard humidity (1000 t)","525.02",""
"2011","Croatia","Rye and winter cereal mixtures (maslin)","Harvested production in EU standard humidity (1000 t)","2.98",""
"2011","Croatia","Oats and spring cereal mixtures (mixed grain other than maslin)","Harvested production in EU standard humidity (1000 t)","78.12",""
"2011","Italy","Rye and winter cereal mixtures (maslin)","Harvested production in EU standard humidity (1000 t)","14.21",""
"2011","Italy","Oats and spring cereal mixtures (mixed grain other than maslin)","Harvested production in EU standard humidity (1000 t)","263.54",""
"2011","Cyprus","Rye and winter cereal mixtures (maslin)","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2011","Cyprus","Oats and spring cereal mixtures (mixed grain other than maslin)","Harvested production in EU standard humidity (1000 t)","0.74",""
"2011","Latvia","Rye and winter cereal mixtures (maslin)","Harvested production in EU standard humidity (1000 t)","64.00",""
