"TIME","GEO","SPECIES","FISHREG","UNIT","Value","Flag and Footnotes"
"2009","European Union - 27 countries (from 2020)","All aquatic organisms","Total fishing areas","Tonnes live weight","4 223 911.98",""
"2009","European Union - 27 countries (from 2020)","All aquatic organisms","Atlantic, Northwest","Tonnes live weight","45 147.8",""
"2009","European Union - 27 countries (from 2020)","All aquatic organisms","Atlantic, Northeast","Tonnes live weight","2 985 702.12",""
"2009","European Union - 27 countries (from 2020)","All aquatic organisms","Atlantic, Eastern Central","Tonnes live weight","475 540.1",""
"2009","European Union - 27 countries (from 2020)","All aquatic organisms","Mediterranean and Black Sea","Tonnes live weight","511 462.64",""
"2009","European Union - 28 countries (2013-2020)","All aquatic organisms","Total fishing areas","Tonnes live weight","4 804 323.76",""
"2009","European Union - 28 countries (2013-2020)","All aquatic organisms","Atlantic, Northwest","Tonnes live weight","45 764.4",""
"2009","European Union - 28 countries (2013-2020)","All aquatic organisms","Atlantic, Northeast","Tonnes live weight","3 549 807.08",""
"2009","European Union - 28 countries (2013-2020)","All aquatic organisms","Atlantic, Eastern Central","Tonnes live weight","489 688.21",""
"2009","European Union - 28 countries (2013-2020)","All aquatic organisms","Mediterranean and Black Sea","Tonnes live weight","511 462.64",""
"2009","Belgium","All aquatic organisms","Total fishing areas","Tonnes live weight","21 207.64",""
"2009","Belgium","All aquatic organisms","Atlantic, Northwest","Tonnes live weight",":",""
"2009","Belgium","All aquatic organisms","Atlantic, Northeast","Tonnes live weight","21 207.64",""
"2009","Belgium","All aquatic organisms","Atlantic, Eastern Central","Tonnes live weight",":",""
"2009","Belgium","All aquatic organisms","Mediterranean and Black Sea","Tonnes live weight",":",""
"2009","Bulgaria","All aquatic organisms","Total fishing areas","Tonnes live weight","7 391.07",""
"2009","Bulgaria","All aquatic organisms","Atlantic, Northwest","Tonnes live weight",":",""
"2009","Bulgaria","All aquatic organisms","Atlantic, Northeast","Tonnes live weight",":",""
"2009","Bulgaria","All aquatic organisms","Atlantic, Eastern Central","Tonnes live weight",":",""
"2009","Bulgaria","All aquatic organisms","Mediterranean and Black Sea","Tonnes live weight","7 391.07",""
"2009","Denmark","All aquatic organisms","Total fishing areas","Tonnes live weight","777 701.84",""
"2009","Denmark","All aquatic organisms","Atlantic, Northwest","Tonnes live weight","5 072",""
"2009","Denmark","All aquatic organisms","Atlantic, Northeast","Tonnes live weight","772 629.84",""
"2009","Denmark","All aquatic organisms","Atlantic, Eastern Central","Tonnes live weight",":",""
"2009","Denmark","All aquatic organisms","Mediterranean and Black Sea","Tonnes live weight",":",""
"2009","Germany (until 1990 former territory of the FRG)","All aquatic organisms","Total fishing areas","Tonnes live weight","195 018.53",""
"2009","Germany (until 1990 former territory of the FRG)","All aquatic organisms","Atlantic, Northwest","Tonnes live weight","1 878.4",""
"2009","Germany (until 1990 former territory of the FRG)","All aquatic organisms","Atlantic, Northeast","Tonnes live weight","193 140.13",""
"2009","Germany (until 1990 former territory of the FRG)","All aquatic organisms","Atlantic, Eastern Central","Tonnes live weight",":",""
"2009","Germany (until 1990 former territory of the FRG)","All aquatic organisms","Mediterranean and Black Sea","Tonnes live weight",":",""
"2009","Estonia","All aquatic organisms","Total fishing areas","Tonnes live weight","94 524.71",""
"2009","Estonia","All aquatic organisms","Atlantic, Northwest","Tonnes live weight","5 978.5",""
"2009","Estonia","All aquatic organisms","Atlantic, Northeast","Tonnes live weight","88 546.21",""
"2009","Estonia","All aquatic organisms","Atlantic, Eastern Central","Tonnes live weight",":",""
"2009","Estonia","All aquatic organisms","Mediterranean and Black Sea","Tonnes live weight",":",""
"2009","Ireland","All aquatic organisms","Total fishing areas","Tonnes live weight","268 994.27",""
"2009","Ireland","All aquatic organisms","Atlantic, Northwest","Tonnes live weight",":",""
"2009","Ireland","All aquatic organisms","Atlantic, Northeast","Tonnes live weight","256 819.27",""
"2009","Ireland","All aquatic organisms","Atlantic, Eastern Central","Tonnes live weight","12 175",""
"2009","Ireland","All aquatic organisms","Mediterranean and Black Sea","Tonnes live weight",":",""
"2009","Greece","All aquatic organisms","Total fishing areas","Tonnes live weight","81 821.36",""
"2009","Greece","All aquatic organisms","Atlantic, Northwest","Tonnes live weight",":",""
"2009","Greece","All aquatic organisms","Atlantic, Northeast","Tonnes live weight",":",""
"2009","Greece","All aquatic organisms","Atlantic, Eastern Central","Tonnes live weight","1 773.06",""
"2009","Greece","All aquatic organisms","Mediterranean and Black Sea","Tonnes live weight","80 048.3",""
"2009","Spain","All aquatic organisms","Total fishing areas","Tonnes live weight","685 552.89",""
"2009","Spain","All aquatic organisms","Atlantic, Northwest","Tonnes live weight","15 113.9",""
"2009","Spain","All aquatic organisms","Atlantic, Northeast","Tonnes live weight","328 978.32",""
"2009","Spain","All aquatic organisms","Atlantic, Eastern Central","Tonnes live weight","104 776.02",""
"2009","Spain","All aquatic organisms","Mediterranean and Black Sea","Tonnes live weight","105 820.23",""
"2009","France","All aquatic organisms","Total fishing areas","Tonnes live weight","429 549.95",""
"2009","France","All aquatic organisms","Atlantic, Northwest","Tonnes live weight",":",""
"2009","France","All aquatic organisms","Atlantic, Northeast","Tonnes live weight","320 966.6",""
"2009","France","All aquatic organisms","Atlantic, Eastern Central","Tonnes live weight","27 212.4",""
"2009","France","All aquatic organisms","Mediterranean and Black Sea","Tonnes live weight","19 044.87",""
"2009","Croatia","All aquatic organisms","Total fishing areas","Tonnes live weight","55 364.5",""
"2009","Croatia","All aquatic organisms","Atlantic, Northwest","Tonnes live weight",":",""
"2009","Croatia","All aquatic organisms","Atlantic, Northeast","Tonnes live weight",":",""
"2009","Croatia","All aquatic organisms","Atlantic, Eastern Central","Tonnes live weight",":",""
"2009","Croatia","All aquatic organisms","Mediterranean and Black Sea","Tonnes live weight","55 364.5",""
"2009","Italy","All aquatic organisms","Total fishing areas","Tonnes live weight","248 013.32",""
"2009","Italy","All aquatic organisms","Atlantic, Northwest","Tonnes live weight",":",""
"2009","Italy","All aquatic organisms","Atlantic, Northeast","Tonnes live weight",":",""
"2009","Italy","All aquatic organisms","Atlantic, Eastern Central","Tonnes live weight","2 987.3",""
"2009","Italy","All aquatic organisms","Mediterranean and Black Sea","Tonnes live weight","239 563.62",""
"2009","Cyprus","All aquatic organisms","Total fishing areas","Tonnes live weight","1 391",""
"2009","Cyprus","All aquatic organisms","Atlantic, Northwest","Tonnes live weight",":",""
"2009","Cyprus","All aquatic organisms","Atlantic, Northeast","Tonnes live weight",":",""
"2009","Cyprus","All aquatic organisms","Atlantic, Eastern Central","Tonnes live weight",":",""
"2009","Cyprus","All aquatic organisms","Mediterranean and Black Sea","Tonnes live weight","1 391",""
"2009","Latvia","All aquatic organisms","Total fishing areas","Tonnes live weight","162 884.6",""
"2009","Latvia","All aquatic organisms","Atlantic, Northwest","Tonnes live weight","1 669.9",""
"2009","Latvia","All aquatic organisms","Atlantic, Northeast","Tonnes live weight","79 931.9",""
"2009","Latvia","All aquatic organisms","Atlantic, Eastern Central","Tonnes live weight","81 282.8",""
"2009","Latvia","All aquatic organisms","Mediterranean and Black Sea","Tonnes live weight",":",""
"2009","Lithuania","All aquatic organisms","Total fishing areas","Tonnes live weight","150 094.6",""
