"TIME","GEO","CROPS","STRUCPRO","Value","Flag and Footnotes"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2011","European Union - 27 countries (from 2020)","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2011","European Union - 28 countries (2013-2020)","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Belgium","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Bulgaria","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Czechia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","112.14",""
"2011","Denmark","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","43.22",""
"2011","Germany (until 1990 former territory of the FRG)","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","1 089.71",""
"2011","Estonia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","2.20",""
"2011","Ireland","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","21.15",""
"2011","Greece","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","1 400.73",""
"2011","Spain","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2011","France","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","3 373.88",""
"2011","Croatia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","155.12",""
"2011","Italy","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Cyprus","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","26.85",""
"2011","Latvia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","8.90",""
"2011","Lithuania","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","52.99",""
"2011","Luxembourg","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Hungary","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Malta","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","2.41",""
"2011","Netherlands","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","718.00",""
"2011","Austria","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","427.77",""
"2011","Poland","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","2 784.00","e"
"2011","Portugal","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","636.23",""
"2011","Romania","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","1 432.48",""
"2011","Slovenia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Slovakia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","36.75",""
"2011","Finland","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","0.00",""
"2011","Sweden","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","24.61",""
"2011","United Kingdom","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Iceland","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","0.00",""
"2011","Norway","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Switzerland","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Montenegro","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","6.60",""
"2011","North Macedonia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","201.23",""
"2011","Albania","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","176.20",""
"2011","Serbia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","1 315.88",""
"2011","Turkey","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Bosnia and Herzegovina","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","299.18","e"
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","24.60",""
"2012","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2012","European Union - 27 countries (from 2020)","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2012","European Union - 28 countries (2013-2020)","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Belgium","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Bulgaria","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Czechia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","138.48",""
"2012","Denmark","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Germany (until 1990 former territory of the FRG)","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","1 110.05",""
"2012","Estonia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","1.60",""
"2012","Ireland","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","12.77",""
"2012","Greece","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","1 530.96",""
"2012","Spain","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2012","France","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","2 793.57",""
"2012","Croatia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","62.86",""
"2012","Italy","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Cyprus","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","25.60",""
"2012","Latvia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","10.90",""
"2012","Lithuania","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","73.68",""
"2012","Luxembourg","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Hungary","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Malta","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","1.63",""
"2012","Netherlands","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Austria","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","353.25",""
"2012","Poland","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","3 151.40",""
"2012","Portugal","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","488.64",""
"2012","Romania","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","1 082.69",""
"2012","Slovenia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Slovakia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Finland","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Sweden","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","26.43",""
"2012","United Kingdom","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Iceland","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","0.00",""
"2012","Norway","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Switzerland","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Montenegro","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","5.35",""
"2012","North Macedonia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","204.85",""
"2012","Albania","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","194.95",""
"2012","Serbia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","903.61",""
"2012","Turkey","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Bosnia and Herzegovina","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","207.69","e"
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","29.20",""
"2013","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2013","European Union - 27 countries (from 2020)","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2013","European Union - 28 countries (2013-2020)","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2013","Belgium","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2013","Bulgaria","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2013","Czechia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","151.99",""
"2013","Denmark","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2013","Germany (until 1990 former territory of the FRG)","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","968.62",""
"2013","Estonia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","3.00",""
"2013","Ireland","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","16.12",""
"2013","Greece","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","1 427.96",""
"2013","Spain","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2013","France","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","3 162.86",""
"2013","Croatia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","177.49",""
"2013","Italy","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2013","Cyprus","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","24.25",""
"2013","Latvia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","17.20",""
"2013","Lithuania","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","66.33",""
"2013","Luxembourg","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2013","Hungary","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2013","Malta","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","1.40",""
"2013","Netherlands","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2013","Austria","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","338.30",""
"2013","Poland","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","3 375.60","e"
"2013","Portugal","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","635.87",""
"2013","Romania","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","1 244.05",""
"2013","Slovenia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2013","Slovakia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2013","Finland","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2013","Sweden","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","30.34",""
"2013","United Kingdom","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2013","Iceland","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","0.00",""
"2013","Norway","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2013","Switzerland","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2013","Montenegro","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","7.04",""
"2013","North Macedonia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","196.11",""
"2013","Albania","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2013","Serbia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","1 511.78",""
"2013","Turkey","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2013","Bosnia and Herzegovina","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","381.48","e"
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","48.60",""
"2014","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2014","European Union - 27 countries (from 2020)","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2014","European Union - 28 countries (2013-2020)","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2014","Belgium","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2014","Bulgaria","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2014","Czechia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","151.00",""
"2014","Denmark","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2014","Germany (until 1990 former territory of the FRG)","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","1 316.43",""
"2014","Estonia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","1.90",""
"2014","Ireland","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","20.15",""
"2014","Greece","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","1 736.63",""
"2014","Spain","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2014","France","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","3 104.97",""
"2014","Croatia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","125.76",""
"2014","Italy","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2014","Cyprus","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","23.84",""
"2014","Latvia","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","11.50",""
"2014","Lithuania","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","60.65",""
"2014","Luxembourg","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)",":",""
"2014","Hungary","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","1 034.41",""
"2014","Malta","Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)","Harvested production in EU standard humidity (1000 t)","1.29",""
