Name,BUURTCODE,Population,Consumptionpercapita,Total Consumption
Belgisch Park,71,8205,33.45369371671323,274487.5569456321
Westbroekpark,73,880,65.56473240723614,57696.9645183678
Duttendel,74,1075,64.04381731277562,68847.10361123379
Nassaubuurt,48,1625,67.90249486602181,110341.55415728544
Uilennest,75,2100,62.15396654714622,130523.32974900705
Duinzigt,76,2495,65.24393238157909,162783.61129203983
Waalsdorp,77,3810,65.85095630947552,250892.14353910173
Arendsdorp,78,1305,71.20939458504486,92928.25993348354
Van Hoytemastraat en omgeving,79,2360,102.04926929528233,240836.2755368663
Archipelbuurt,46,6100,65.0499754393886,396804.8501802705
Van Stolkpark en Scheveningse Bosjes,5,760,59.29013797087849,45060.50485786765
Oud Scheveningen,1,2920,82.70293166483874,241492.56046132912
Vissershaven,2,3560,47.62866683124278,169558.0539192243
Scheveningen Badplaats,3,5390,80.28387163230366,432730.0680981167
Visserijbuurt,4,3860,52.29722188460813,201867.2764745874
Rijslag,72,1610,46.319499887601054,74574.3948190377
Duindorp,100,5955,46.14024813848816,274765.177664697
Statenkwartier,7,9665,49.01555368657707,473735.3263807674
Geuzenkwartier,8,4390,45.21941658152616,198513.23879289985
Zorgvliet,41,500,48.47941114924343,24239.705574621716
Stadhoudersplantsoen,42,1960,99.08302024384868,194202.71967794342
Sweelinckplein en omgeving,43,5810,98.97271269761335,575031.4607731336
Bloemenbuurt-West,50,2340,58.58793895766943,137095.77716094645
Bloemenbuurt-Oost,51,6460,44.71079931791389,288831.7635937237
Bomenbuurt,52,5865,94.78949766856817,555940.4038261523
Vogelwijk,9,5350,48.83543402714716,261269.5720452373
Bosjes van Pex,81,400,43.3703052338053,17348.122093522117
Bohemen en Meer en Bos,92,4485,53.94527325676981,241944.5505566126
Ockenburgh,90,795,33.45576399246251,26597.332374007692
Kijkduin,91,1550,60.0549378565332,93085.15367762645
Kraayenstein,97,5875,53.000236579993945,311376.38990746444
Houtwijk,86,12820,52.24780746566807,669816.8917098646
Kom Loosduinen,95,4975,57.21342882300463,284636.808394448
Waldeck-Zuid,6,2035,55.16259029704212,112255.87125448072
Nieuw Waldeck,40,7210,54.36366068227357,391961.99351919245
Rosenburg,82,2910,56.42887527789598,164208.0270586773
Componistenbuurt,93,1825,55.19999138810864,100739.98428329827
Waldeck-Noord,94,3150,62.690037557765294,197473.61830696068
Vruchtenbuurt,53,7165,47.32378084252742,339074.88973670895
Eykenduinen,83,2635,72.149036941555,190112.71234099742
Heesterbuurt,54,6805,94.70429388355363,644462.7198775825
Valkenboskwartier,55,11435,72.02599496176015,823617.2523877273
Rond de Energiecentrale,10,5955,66.0780788436113,393494.9595137053
Koningsplein en omgeving,44,7575,93.49028868479715,708188.9367873385
