"TIME","GEO","DAIRYPROD","MILKITEM","Value","Flag and Footnotes"
"2009","European Union - 27 countries (from 2020)","Fresh products","Products obtained (1 000 t)",":","c"
"2009","European Union - 27 countries (from 2020)","Fresh products","Fat content (t)",":",""
"2009","European Union - 27 countries (from 2020)","Fresh products","Protein content (t)",":",""
"2009","European Union - 27 countries (from 2020)","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)",":",""
"2009","European Union - 27 countries (from 2020)","Fresh products","Utilization of whole milk (1 000 t)",":",""
"2009","European Union - 27 countries (from 2020)","Manufactured products","Products obtained (1 000 t)",":","c"
"2009","European Union - 27 countries (from 2020)","Manufactured products","Fat content (t)",":",""
"2009","European Union - 27 countries (from 2020)","Manufactured products","Protein content (t)",":",""
"2009","European Union - 27 countries (from 2020)","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)",":",""
"2009","European Union - 27 countries (from 2020)","Manufactured products","Utilization of whole milk (1 000 t)",":","c"
"2009","European Union - 28 countries (2013-2020)","Fresh products","Products obtained (1 000 t)",":","c"
"2009","European Union - 28 countries (2013-2020)","Fresh products","Fat content (t)",":",""
"2009","European Union - 28 countries (2013-2020)","Fresh products","Protein content (t)",":",""
"2009","European Union - 28 countries (2013-2020)","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)",":",""
"2009","European Union - 28 countries (2013-2020)","Fresh products","Utilization of whole milk (1 000 t)",":",""
"2009","European Union - 28 countries (2013-2020)","Manufactured products","Products obtained (1 000 t)",":","c"
"2009","European Union - 28 countries (2013-2020)","Manufactured products","Fat content (t)",":",""
"2009","European Union - 28 countries (2013-2020)","Manufactured products","Protein content (t)",":",""
"2009","European Union - 28 countries (2013-2020)","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)",":",""
"2009","European Union - 28 countries (2013-2020)","Manufactured products","Utilization of whole milk (1 000 t)",":","c"
"2009","Belgium","Fresh products","Products obtained (1 000 t)",":","c"
"2009","Belgium","Fresh products","Fat content (t)","59 133.20",""
"2009","Belgium","Fresh products","Protein content (t)",":",""
"2009","Belgium","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)","-152.43",""
"2009","Belgium","Fresh products","Utilization of whole milk (1 000 t)","1 447.37",""
"2009","Belgium","Manufactured products","Products obtained (1 000 t)",":","c"
"2009","Belgium","Manufactured products","Fat content (t)","112 306.31",""
"2009","Belgium","Manufactured products","Protein content (t)",":",""
"2009","Belgium","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)","-482.35",""
"2009","Belgium","Manufactured products","Utilization of whole milk (1 000 t)","2 745.54",""
"2009","Bulgaria","Fresh products","Products obtained (1 000 t)","217.28",""
"2009","Bulgaria","Fresh products","Fat content (t)","6 616.20",""
"2009","Bulgaria","Fresh products","Protein content (t)",":",""
"2009","Bulgaria","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)","22.85",""
"2009","Bulgaria","Fresh products","Utilization of whole milk (1 000 t)","4 183.59",""
"2009","Bulgaria","Manufactured products","Products obtained (1 000 t)",":","c"
"2009","Bulgaria","Manufactured products","Fat content (t)","20 122.00",""
"2009","Bulgaria","Manufactured products","Protein content (t)",":",""
"2009","Bulgaria","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)","-47.46",""
