"TIME","GEO","CROPS","STRUCPRO","Value","Flag and Footnotes"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","62 484.17",""
"2011","European Union - 27 countries (from 2020)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","56 635.70",""
"2011","European Union - 28 countries (2013-2020)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","62 651.70",""
"2011","Belgium","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","4 128.67",""
"2011","Bulgaria","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","232.31",""
"2011","Czechia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","805.33",""
"2011","Denmark","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","1 620.20",""
"2011","Germany (until 1990 former territory of the FRG)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","11 837.20",""
"2011","Estonia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","110.60",""
"2011","Ireland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","356.07",""
"2011","Greece","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","757.82",""
"2011","Spain","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","2 455.08",""
"2011","France","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","7 440.22",""
"2011","Croatia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","167.52",""
"2011","Italy","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","1 536.85",""
"2011","Cyprus","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","126.08",""
"2011","Latvia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","246.80",""
"2011","Lithuania","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","581.00",""
"2011","Luxembourg","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","19.68",""
"2011","Hungary","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","600.12",""
"2011","Malta","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","18.92",""
"2011","Netherlands","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","7 333.00",""
"2011","Austria","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","816.07",""
"2011","Poland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","9 111.00",""
"2011","Portugal","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","389.80",""
"2011","Romania","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","4 076.57",""
"2011","Slovenia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","96.18",""
"2011","Slovakia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","217.30",""
"2011","Finland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","673.30",""
"2011","Sweden","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","882.00",""
"2011","United Kingdom","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","6 016.00",""
"2011","Iceland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","7.20",""
"2011","Norway","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","296.00",""
"2011","Switzerland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","515.00",""
"2011","Montenegro","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","21.22",""
"2011","North Macedonia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","193.86",""
"2011","Albania","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","230.10",""
"2011","Serbia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","891.51",""
"2011","Turkey","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","4 648.00",""
"2011","Bosnia and Herzegovina","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","412.70","e"
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","87.00",""
"2012","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","53 847.58",""
"2012","European Union - 27 countries (from 2020)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","49 445.85",""
"2012","European Union - 28 countries (2013-2020)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","53 998.85",""
"2012","Belgium","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","2 811.50",""
"2012","Bulgaria","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","151.30",""
"2012","Czechia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","661.80",""
"2012","Denmark","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","1 664.20",""
"2012","Germany (until 1990 former territory of the FRG)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","10 665.60",""
"2012","Estonia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","102.00",""
"2012","Ireland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","232.02",""
"2012","Greece","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","578.82",""
"2012","Spain","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","2 192.28",""
"2012","France","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","6 376.06",""
"2012","Croatia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","151.28",""
"2012","Italy","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","1 491.25",""
"2012","Cyprus","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","82.20",""
"2012","Latvia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","238.80",""
"2012","Lithuania","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","542.40",""
