"TIME","GEO","CROPS","STRUCPRO","Value","Flag and Footnotes"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)",":",""
"2011","European Union - 27 countries (from 2020)","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)",":",""
"2011","European Union - 28 countries (2013-2020)","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Belgium","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)",":","z"
"2011","Bulgaria","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","454.30",""
"2011","Czechia","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","207.40",""
"2011","Denmark","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","293.24",""
"2011","Germany (until 1990 former territory of the FRG)","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","3 531.62",""
"2011","Estonia","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","58.00",""
"2011","Ireland","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","135.48",""
"2011","Greece","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","3 370.45",""
"2011","Spain","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)",":",""
"2011","France","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","6 102.93",""
"2011","Croatia","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","154.89",""
"2011","Italy","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","13 350.52",""
"2011","Cyprus","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","106.83",""
"2011","Latvia","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","91.90",""
"2011","Lithuania","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","293.00",""
"2011","Luxembourg","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","1.25",""
"2011","Hungary","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Malta","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","62.68",""
"2011","Netherlands","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Austria","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","703.69",""
"2011","Poland","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","4 305.00",""
"2011","Portugal","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","1 976.83",""
"2011","Romania","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","2 888.11",""
"2011","Slovenia","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Slovakia","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","109.47",""
"2011","Finland","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","242.45",""
"2011","Sweden","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","339.31",""
"2011","United Kingdom","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Iceland","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","0.00",""
"2011","Norway","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Switzerland","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Montenegro","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","29.27",""
"2011","North Macedonia","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","710.07",""
"2011","Albania","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Serbia","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","1 023.60",""
"2011","Turkey","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","40 603.00",""
"2011","Bosnia and Herzegovina","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","276.20","e"
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","162.10",""
"2012","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)",":",""
"2012","European Union - 27 countries (from 2020)","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)",":",""
"2012","European Union - 28 countries (2013-2020)","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Belgium","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)",":","z"
"2012","Bulgaria","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","381.80",""
"2012","Czechia","Fresh vegetables (including melons)","Harvested production in EU standard humidity (1000 t)","169.44",""
