Name,BUURTCODE,Population,Male,Female,0 to 15 year,15 to 25 year,25 to 45 year,45 to 65 year,65 or older,Primary,Secondary,Tertiary,Activity rate,Income
Belgisch Park,71,8205,0.49116392443631934,0.5088360755636807,0.15173674588665448,0.1480804387568556,0.21633150517976843,0.28275441803778184,0.2017062766605728,0.17,0.38,0.45,0.544,42500.0
Westbroekpark,73,880,0.44886363636363635,0.5511363636363636,0.11363636363636363,0.09659090909090909,0.10795454545454546,0.23295454545454544,0.44886363636363635,0.13,0.25,0.62,0.405,66400.0
Duttendel,74,1075,0.4604651162790698,0.5395348837209303,0.14418604651162792,0.08372093023255814,0.13488372093023257,0.2930232558139535,0.3488372093023256,0.13,0.25,0.62,0.494,73600.0
Nassaubuurt,48,1625,0.48,0.5169230769230769,0.19384615384615383,0.08923076923076922,0.2553846153846154,0.26153846153846155,0.20307692307692307,0.1,0.23,0.66,0.604,76900.0
Uilennest,75,2100,0.45476190476190476,0.5452380952380952,0.14523809523809525,0.05476190476190476,0.25952380952380955,0.2571428571428571,0.2833333333333333,0.1,0.23,0.66,0.624,52300.0
Duinzigt,76,2495,0.4148296593186373,0.5831663326653307,0.09218436873747494,0.06212424849699399,0.12224448897795591,0.20240480961923848,0.5210420841683366,0.1,0.23,0.66,0.482,52200.0
Waalsdorp,77,3810,0.479002624671916,0.520997375328084,0.23228346456692914,0.08923884514435695,0.2047244094488189,0.2782152230971129,0.19553805774278216,0.1,0.23,0.66,0.599,71300.0
Arendsdorp,78,1305,0.47509578544061304,0.524904214559387,0.20689655172413793,0.0842911877394636,0.19923371647509577,0.24904214559386972,0.26053639846743293,0.1,0.23,0.66,0.626,74600.0
Van Hoytemastraat en omgeving,79,2360,0.4851694915254237,0.5148305084745762,0.2309322033898305,0.08050847457627118,0.2860169491525424,0.2584745762711864,0.1483050847457627,0.1,0.23,0.66,0.6579999999999999,61100.0
Archipelbuurt,46,6100,0.47540983606557374,0.5237704918032787,0.13852459016393442,0.09672131147540984,0.24918032786885247,0.3,0.21639344262295082,0.11,0.25,0.63,0.58,66900.0
Van Stolkpark en Scheveningse Bosjes,5,760,0.4605263157894737,0.5328947368421053,0.13815789473684212,0.09868421052631579,0.16447368421052633,0.26973684210526316,0.32894736842105265,0.14,0.13,0.74,0.507,77400.0
Oud Scheveningen,1,2920,0.5034246575342466,0.4965753424657534,0.13527397260273974,0.07534246575342465,0.3253424657534247,0.285958904109589,0.1780821917808219,0.26,0.39,0.35000000000000003,0.5820000000000001,29600.0
Vissershaven,2,3560,0.48314606741573035,0.5154494382022472,0.16151685393258428,0.08286516853932584,0.2654494382022472,0.273876404494382,0.21629213483146068,0.26,0.39,0.35000000000000003,0.5489999999999999,29500.0
Scheveningen Badplaats,3,5390,0.49814471243042674,0.5009276437847866,0.1391465677179963,0.10204081632653061,0.3163265306122449,0.27365491651205937,0.16883116883116883,0.26,0.39,0.35000000000000003,0.611,35500.0
Visserijbuurt,4,3860,0.47150259067357514,0.5284974093264249,0.15025906735751296,0.09715025906735751,0.266839378238342,0.26295336787564766,0.22279792746113988,0.26,0.39,0.35000000000000003,0.5539999999999999,32700.0
Rijslag,72,1610,0.4751552795031056,0.5248447204968945,0.13354037267080746,0.11490683229813664,0.2391304347826087,0.2639751552795031,0.2484472049689441,0.26,0.39,0.35000000000000003,0.594,39500.0
Duindorp,100,5955,0.5020990764063812,0.4979009235936188,0.18807724601175482,0.0948782535684299,0.2795969773299748,0.2963895885810244,0.1418975650713686,0.43,0.39,0.18,0.608,27300.0
Statenkwartier,7,9665,0.4800827728918779,0.519917227108122,0.18468701500258666,0.11226073460941542,0.23900672529746508,0.2902224521469219,0.17330574236937402,0.14,0.27,0.58,0.603,59700.0
Geuzenkwartier,8,4390,0.479498861047836,0.520501138952164,0.1548974943052392,0.10136674259681093,0.265375854214123,0.2767653758542141,0.20159453302961275,0.14,0.27,0.58,0.5770000000000001,31600.0
Zorgvliet,41,500,0.51,0.49,0.13,0.06,0.23,0.24,0.34,0.33,0.36,0.31,0.488,88000.0
Stadhoudersplantsoen,42,1960,0.4744897959183674,0.5255102040816326,0.1556122448979592,0.07397959183673469,0.32653061224489793,0.2372448979591837,0.20918367346938777,0.08,0.2,0.71,0.601,41800.0
Sweelinckplein en omgeving,43,5810,0.49311531841652323,0.5068846815834768,0.16953528399311532,0.10671256454388985,0.3407917383820998,0.2685025817555938,0.11617900172117039,0.08,0.2,0.71,0.594,44400.0
Bloemenbuurt-West,50,2340,0.46153846153846156,0.5384615384615384,0.16025641025641027,0.0876068376068376,0.17094017094017094,0.3311965811965812,0.25,0.19,0.36,0.45,0.636,39100.0
Bloemenbuurt-Oost,51,6460,0.4551083591331269,0.544891640866873,0.15944272445820434,0.08978328173374613,0.2801857585139319,0.2739938080495356,0.19659442724458204,0.19,0.36,0.45,0.64,34900.0
Bomenbuurt,52,5865,0.4629156010230179,0.5370843989769821,0.15942028985507245,0.08439897698209718,0.29411764705882354,0.2651321398124467,0.1977834612105712,0.19,0.36,0.45,0.643,35100.0
Vogelwijk,9,5350,0.4803738317757009,0.5186915887850467,0.21588785046728973,0.11682242990654206,0.14018691588785046,0.3280373831775701,0.19906542056074766,0.13,0.28,0.6,0.5820000000000001,60100.0
Bosjes van Pex,81,400,0.475,0.525,0.125,0.1375,0.175,0.3625,0.2,0.14,0.38,0.48,0.5710000000000001,41300.0
Bohemen en Meer en Bos,92,4485,0.44481605351170567,0.5551839464882943,0.09253065774804906,0.06131549609810479,0.16945373467112598,0.28651059085841696,0.39018952062430323,0.14,0.38,0.48,0.527,35800.0
Ockenburgh,90,795,0.5283018867924528,0.46540880503144655,0.1320754716981132,0.18238993710691823,0.1761006289308176,0.34591194968553457,0.16352201257861634,0.24,0.3,0.46,0.552,52000.0
Kijkduin,91,1550,0.4838709677419355,0.5129032258064516,0.0967741935483871,0.08709677419354839,0.11935483870967742,0.2967741935483871,0.4032258064516129,0.24,0.3,0.46,0.482,45500.0
Kraayenstein,97,5875,0.505531914893617,0.49361702127659574,0.16595744680851063,0.09276595744680852,0.24765957446808512,0.31063829787234043,0.1829787234042553,0.21,0.45,0.34,0.612,37200.0
Houtwijk,86,12820,0.49024960998439937,0.5097503900156006,0.16185647425897035,0.11154446177847113,0.22620904836193448,0.29875195007800315,0.20202808112324494,0.32,0.43,0.25,0.564,30000.0
Kom Loosduinen,95,4975,0.457286432160804,0.5417085427135678,0.11758793969849246,0.0763819095477387,0.22512562814070353,0.26834170854271355,0.31155778894472363,0.32,0.43,0.25,0.5479999999999999,26900.0
Waldeck-Zuid,6,2035,0.44717444717444715,0.5528255528255528,0.12776412776412777,0.07125307125307126,0.19164619164619165,0.2727272727272727,0.3366093366093366,0.3,0.43,0.27,0.463,26900.0
Nieuw Waldeck,40,7210,0.4764216366158114,0.5235783633841886,0.1650485436893204,0.10124826629680998,0.24826629680998613,0.2766990291262136,0.20943134535367544,0.3,0.43,0.27,0.507,24700.0
Rosenburg,82,2910,0.46735395189003437,0.5309278350515464,0.09450171821305842,0.06357388316151202,0.20618556701030927,0.26804123711340205,0.36769759450171824,0.3,0.43,0.27,0.499,28600.0
Componistenbuurt,93,1825,0.4520547945205479,0.547945205479452,0.10684931506849316,0.07671232876712329,0.18356164383561643,0.2876712328767123,0.3506849315068493,0.3,0.43,0.27,0.5539999999999999,37000.0
Waldeck-Noord,94,3150,0.4158730158730159,0.5825396825396826,0.05873015873015873,0.03650793650793651,0.15079365079365079,0.2111111111111111,0.5428571428571428,0.3,0.43,0.27,0.483,32100.0
Vruchtenbuurt,53,7165,0.47313328681088623,0.5268667131891137,0.1884159106769016,0.09839497557571528,0.27285415212840197,0.27983251919050944,0.16050244242847173,0.17,0.36,0.47000000000000003,0.672,38500.0
Eykenduinen,83,2635,0.47248576850094876,0.5275142314990512,0.1555977229601518,0.08918406072106262,0.2846299810246679,0.30740037950664134,0.16318785578747627,0.17,0.36,0.47000000000000003,0.677,34300.0
Heesterbuurt,54,6805,0.4834680382072006,0.5165319617927994,0.16311535635562086,0.1080088170462895,0.3828067597354886,0.2417340191036003,0.10433504775900074,0.26,0.37,0.37,0.623,27900.0
Valkenboskwartier,55,11435,0.49934411893310016,0.5006558810668998,0.1464801049409707,0.12111937035417578,0.3909051158723218,0.2439877568867512,0.09707039790118059,0.26,0.37,0.37,0.644,28200.0
Rond de Energiecentrale,10,5955,0.5046179680940386,0.49538203190596136,0.1351805205709488,0.12510495382031905,0.3963056255247691,0.235936188077246,0.10831234256926953,0.22,0.28,0.5,0.601,27000.0
Koningsplein en omgeving,44,7575,0.4957095709570957,0.5042904290429043,0.14521452145214522,0.10561056105610561,0.42178217821782177,0.23234323432343235,0.09504950495049505,0.22,0.28,0.5,0.66,33800.0
Zeeheldenkwartier,45,11845,0.5048543689320388,0.49472351203039255,0.12452511608273534,0.12874630645842128,0.391304347826087,0.24905023216547068,0.10679611650485436,0.19,0.3,0.51,0.604,35700.0
