Name,Type,code,Population,food,Amount per day,BUURTCODE
Belgisch Park,Buurt,BU05180271,8205,01. Potatoes and other tubers,571320.5,71
Belgisch Park,Buurt,BU05180271,8205,0100. Unclassified and other tubers,5396.0,71
Belgisch Park,Buurt,BU05180271,8205,0101. Potatoes,565651.3,71
Belgisch Park,Buurt,BU05180271,8205,02. Vegetables,1120356.6,71
Belgisch Park,Buurt,BU05180271,8205,0200. Unclass.,96257.6,71
Belgisch Park,Buurt,BU05180271,8205,0201. Leafy vegetables (exc. cabbages),165028.7,71
Belgisch Park,Buurt,BU05180271,8205,0202. Fruiting vegetables,422806.6,71
Belgisch Park,Buurt,BU05180271,8205,0203. Root vegetables,106473.7,71
Belgisch Park,Buurt,BU05180271,8205,0204. Cabbages,156692.8,71
Belgisch Park,Buurt,BU05180271,8205,0205. Mushrooms,25448.8,71
Belgisch Park,Buurt,BU05180271,8205,0206. Grain and pod vegetables,22126.0,71
Belgisch Park,Buurt,BU05180271,8205,0207. Leek,101766.7,71
Belgisch Park,Buurt,BU05180271,8205,0208. Stalk vegetables,23500.6,71
Belgisch Park,Buurt,BU05180271,8205,03. Legumes,38872.5,71
Belgisch Park,Buurt,BU05180271,8205,0301. Legumes,38872.5,71
Belgisch Park,Buurt,BU05180271,8205,04. Fruits,1111054.5,71
Belgisch Park,Buurt,BU05180271,8205,0400. Unclass.,3517.7,71
Belgisch Park,Buurt,BU05180271,8205,0401. Fruits,1018059.3,71
Belgisch Park,Buurt,BU05180271,8205,040101. Fruits,973587.8,71
Belgisch Park,Buurt,BU05180271,8205,040102. Fruit compote,44694.7,71
Belgisch Park,Buurt,BU05180271,8205,0402. Nuts and seeds (+ nut spread),84378.5,71
Belgisch Park,Buurt,BU05180271,8205,040201. Nuts,50830.399999999994,71
Belgisch Park,Buurt,BU05180271,8205,040202. Peanut butter,33767.1,71
Belgisch Park,Buurt,BU05180271,8205,0403. Olives,5390.9,71
Belgisch Park,Buurt,BU05180271,8205,05. Dairy products and substitutes,2858484.6,71
Belgisch Park,Buurt,BU05180271,8205,0500. Unclass. and mixed dairy products,14286.6,71
Belgisch Park,Buurt,BU05180271,8205,0501. Milk,1578428.4,71
Belgisch Park,Buurt,BU05180271,8205,050101. Non-fermented milk and milk bev.,1166102.2,71
Belgisch Park,Buurt,BU05180271,8205,050102. Milk (fermented and bev),412294.6,71
Belgisch Park,Buurt,BU05180271,8205,0502. MilkSubstitutes,81436.6,71
Belgisch Park,Buurt,BU05180271,8205,0503. Yoghurt,466261.3,71
Belgisch Park,Buurt,BU05180271,8205,0504. Fromage blanc,95971.3,71
Belgisch Park,Buurt,BU05180271,8205,0505. Cheeses (incl. spread cheeses),274210.0,71
Belgisch Park,Buurt,BU05180271,8205,0506. Cream desserts,211263.5,71
Belgisch Park,Buurt,BU05180271,8205,0507. Dairy and non-dairy creams,56394.0,71
Belgisch Park,Buurt,BU05180271,8205,050700. Unclassified creams,30962.3,71
Belgisch Park,Buurt,BU05180271,8205,050701. Dairy creams and creamers,19644.5,71
Belgisch Park,Buurt,BU05180271,8205,050702. Non-dairy creams and creamers,5724.3,71
Belgisch Park,Buurt,BU05180271,8205,0508. Ice cream,80250.1,71
Belgisch Park,Buurt,BU05180271,8205,050800. Combined Icecream and sorbet,1681.1000000000001,71
Belgisch Park,Buurt,BU05180271,8205,050801. Milkbased Icecream,64305.0,71
Belgisch Park,Buurt,BU05180271,8205,050802. Ice cream substitutes,158.5,71
Belgisch Park,Buurt,BU05180271,8205,050803. Sorbet/water ice,14013.0,71
Belgisch Park,Buurt,BU05180271,8205,06. Cereals and cereal products,1604898.8,71
Belgisch Park,Buurt,BU05180271,8205,0601. Flour,16478.4,71
Belgisch Park,Buurt,BU05180271,8205,"0602. Pasta,Rice,OtherGrain",398088.9,71
Belgisch Park,Buurt,BU05180271,8205,0603. Bread,1069488.9,71
Belgisch Park,Buurt,BU05180271,8205,060301. Bread,1024733.8,71
Belgisch Park,Buurt,BU05180271,8205,060302. Crispbread,44627.6,71
Belgisch Park,Buurt,BU05180271,8205,0604. Breakfast cereals,66526.2,71
Belgisch Park,Buurt,BU05180271,8205,0605. Dough and pastry,54291.7,71
Belgisch Park,Buurt,BU05180271,8205,"07. Meat,meat products and substitutes",791351.7000000001,71
Belgisch Park,Buurt,BU05180271,8205,0700. Unclass. and combined meat prod.,16599.4,71
Belgisch Park,Buurt,BU05180271,8205,0701. Domestic mammals,243425.8,71
Belgisch Park,Buurt,BU05180271,8205,070100. Unclass.,30637.0,71
Belgisch Park,Buurt,BU05180271,8205,070101. Beef,101193.5,71
Belgisch Park,Buurt,BU05180271,8205,070102. Veal,3592.2,71
Belgisch Park,Buurt,BU05180271,8205,070103. Pork,100883.4,71
Belgisch Park,Buurt,BU05180271,8205,070104. Mutton/Lamb,5596.0,71
Belgisch Park,Buurt,BU05180271,8205,070105. Horse,801.4000000000001,71
Belgisch Park,Buurt,BU05180271,8205,070107. Rabbit,624.0,71
Belgisch Park,Buurt,BU05180271,8205,0702. Poultry,139673.2,71
Belgisch Park,Buurt,BU05180271,8205,070200. Unclassified and other poultry,123.0,71
Belgisch Park,Buurt,BU05180271,8205,070201. Chicken,132073.6,71
Belgisch Park,Buurt,BU05180271,8205,070202. Turkey,4330.3,71
Belgisch Park,Buurt,BU05180271,8205,070203. Duck,2846.2000000000003,71
Belgisch Park,Buurt,BU05180271,8205,0703. Game,428.0,71
Belgisch Park,Buurt,BU05180271,8205,0704. Processed meat,374892.0,71
Belgisch Park,Buurt,BU05180271,8205,070401. Hot processed meat,204112.9,71
Belgisch Park,Buurt,BU05180271,8205,070402. Cold processed meat,170479.3,71
Belgisch Park,Buurt,BU05180271,8205,0705. Offals,2198.3,71
Belgisch Park,Buurt,BU05180271,8205,0706. Meat substitutes,14434.0,71
Belgisch Park,Buurt,BU05180271,8205,070601. Hot meal substitutes,13475.1,71
Belgisch Park,Buurt,BU05180271,8205,070602. Cold meal substitutes,834.6,71
Belgisch Park,Buurt,BU05180271,8205,08. Fish,136867.8,71
Belgisch Park,Buurt,BU05180271,8205,0800. Unclass and combined fish products,278.5,71
Belgisch Park,Buurt,BU05180271,8205,0801. Fish,98472.3,71
Belgisch Park,Buurt,BU05180271,8205,0802. Crustaceans,12270.5,71
Belgisch Park,Buurt,BU05180271,8205,0803. Fish products,25486.1,71
Belgisch Park,Buurt,BU05180271,8205,0804. Amphibians and reptiles,187.6,71
Belgisch Park,Buurt,BU05180271,8205,09. Eggs and egg products,103401.9,71
Belgisch Park,Buurt,BU05180271,8205,0901. Eggs,103401.9,71
Belgisch Park,Buurt,BU05180271,8205,10. Fats and oils,180745.1,71
Belgisch Park,Buurt,BU05180271,8205,1000. Unclassified and combined fat,11989.6,71
Belgisch Park,Buurt,BU05180271,8205,1001. Vegetable oils,30796.4,71
Belgisch Park,Buurt,BU05180271,8205,1002. Butter,19597.1,71
Belgisch Park,Buurt,BU05180271,8205,1003. Margarines and cooking fats,117362.20000000001,71
Belgisch Park,Buurt,BU05180271,8205,1004. Other animal fats (incl fish oil),989.8000000000001,71
Belgisch Park,Buurt,BU05180271,8205,11. Sugar and confectionery,244804.2,71
Belgisch Park,Buurt,BU05180271,8205,1100. Unclass or combined confectionery,3161.2,71
Belgisch Park,Buurt,BU05180271,8205,"1101. Sugar,honey,jam,syrup,sweet sauce",91168.59999999999,71
Belgisch Park,Buurt,BU05180271,8205,110100. Unclassified and other types,244.6,71
Belgisch Park,Buurt,BU05180271,8205,110101. Sugar,34623.899999999994,71
Belgisch Park,Buurt,BU05180271,8205,110102. Jam,33474.3,71
Belgisch Park,Buurt,BU05180271,8205,110103. Honey,8359.7,71
Belgisch Park,Buurt,BU05180271,8205,110104. Other sweet spreads,8909.0,71
Belgisch Park,Buurt,BU05180271,8205,110105. Sweet sauce,1841.6,71
Belgisch Park,Buurt,BU05180271,8205,110106. Syrups (incl. can and beverages),3817.8,71
Belgisch Park,Buurt,BU05180271,8205,"1102. Chocolate,candy,paste,confetti",103278.70000000001,71
Belgisch Park,Buurt,BU05180271,8205,110200. Unclassified and other types,25884.4,71
Belgisch Park,Buurt,BU05180271,8205,110201. Chocolate tablet,28065.5,71
Belgisch Park,Buurt,BU05180271,8205,110202. Chocolate candy bars,13128.0,71
Belgisch Park,Buurt,BU05180271,8205,110203. Chocolate spread and choc.powder,27532.499999999996,71
Belgisch Park,Buurt,BU05180271,8205,110204. Chocolate confectionary,8926.0,71
Belgisch Park,Buurt,BU05180271,8205,1103. Confectionary non-chocolate,47215.4,71
Belgisch Park,Buurt,BU05180271,8205,12. Cakes and sweet biscuits,333018.2,71
Belgisch Park,Buurt,BU05180271,8205,1201. Cakes,194883.3,71
Belgisch Park,Buurt,BU05180271,8205,1202. Dry cakes,138158.3,71
Belgisch Park,Buurt,BU05180271,8205,13. Non-alcoholic beverages,14212735.700000001,71
Belgisch Park,Buurt,BU05180271,8205,1300. Unclass and combined non-alcoholic,46760.2,71
Belgisch Park,Buurt,BU05180271,8205,1301. Fruit and vegetable juices,464668.7,71
Belgisch Park,Buurt,BU05180271,8205,1302. Carbonated/soft/isotonic drinks,2760117.4000000004,71
Belgisch Park,Buurt,BU05180271,8205,"1303. Coffee,Tea and Herbal Teas",5972363.5,71
