Name,BUURTCODE,Population,food_consumed,Income per capita,Amount per capita
Belgisch Park,71.0,8205.0,25301251.4,33400.0,3083.6381962218156
Westbroekpark,73.0,880.0,2767445.1999999997,53000.0,3144.8240909090905
Duttendel,74.0,1075.0,3344662.9,55800.0,3111.314325581395
Nassaubuurt,48.0,1625.0,4915818.6000000015,56200.0,3025.1191384615395
Uilennest,75.0,2100.0,6530448.000000001,41600.0,3109.737142857143
Duinzigt,76.0,2495.0,7895935.3,44200.0,3164.7035270541082
Waalsdorp,77.0,3810.0,11398160.199999997,49100.0,2991.6430971128602
Arendsdorp,78.0,1305.0,3936874.7999999993,51600.0,3016.762298850574
Van Hoytemastraat en omgeving,79.0,2360.0,7067285.299999998,42500.0,2994.6124152542366
Archipelbuurt,46.0,6100.0,18936065.500000004,52000.0,3104.273032786886
Van Stolkpark en Scheveningse Bosjes,5.0,760.0,2379324.4999999995,55800.0,3130.690131578947
Oud Scheveningen,1.0,2920.0,9101416.1,24500.0,3116.923321917808
Vissershaven,2.0,3560.0,10939667.899999999,23800.0,3072.940421348314
Scheveningen Badplaats,3.0,5390.0,16709663.9,28800.0,3100.123172541744
Visserijbuurt,4.0,3860.0,11905001.3,26300.0,3084.197227979275
Rijslag,72.0,1610.0,4980880.100000001,31900.0,3093.7143478260873
Duindorp,100.0,5955.0,18007649.0,21200.0,3023.95449202351
Statenkwartier,7.0,9665.0,29351713.800000004,43300.0,3036.9077909984485
Geuzenkwartier,8.0,4390.0,13511520.099999998,25300.0,3077.7950113895213
Zorgvliet,41.0,500.0,1547596.3000000003,70100.0,3095.1926000000008
Stadhoudersplantsoen,42.0,1960.0,6071891.999999999,34000.0,3097.9040816326524
Sweelinckplein en omgeving,43.0,5810.0,17868873.4,35300.0,3075.5375903614454
Bloemenbuurt-West,50.0,2340.0,7214083.300000002,31300.0,3082.941581196582
Bloemenbuurt-Oost,51.0,6460.0,19948897.900000002,28100.0,3088.064690402477
Bomenbuurt,52.0,5865.0,18124139.499999996,28400.0,3090.2198635976124
Vogelwijk,9.0,5350.0,16333946.7,42600.0,3053.07414953271
Bosjes van Pex,81.0,400.0,1239857.7,34300.0,3099.64425
Bohemen en Meer en Bos,92.0,4485.0,14282982.8,31400.0,3184.6115496098105
Ockenburgh,90.0,795.0,2430440.0,39800.0,3057.1572327044023
Kijkduin,91.0,1550.0,4890694.000000001,38700.0,3155.286451612904
Kraayenstein,97.0,5875.0,18056842.3,30500.0,3073.5050723404256
Kerketuinen en Zichtenburg,85.0,50.0,162806.69999999998,,3256.1339999999996
Houtwijk,86.0,12820.0,39219373.49999999,24200.0,3059.233502340093
Kom Loosduinen,95.0,4975.0,15481990.100000001,23200.0,3111.9578090452264
Waldeck-Zuid,6.0,2035.0,6314406.6,22900.0,3102.902506142506
Nieuw Waldeck,40.0,7210.0,22057294.3,20000.0,3059.2641192787796
Rosenburg,82.0,2910.0,9151801.2,24700.0,3144.948865979381
Componistenbuurt,93.0,1825.0,5702903.3999999985,31700.0,3124.878575342465
Waldeck-Noord,94.0,3150.0,10044775.399999999,29300.0,3188.8175873015866
Vruchtenbuurt,53.0,7165.0,21880487.3,29900.0,3053.801437543615
Eykenduinen,83.0,2635.0,8161390.800000003,27400.0,3097.3020113852003
Heesterbuurt,54.0,6805.0,20905932.299999997,22400.0,3072.1428802351206
Valkenboskwartier,55.0,11435.0,35351830.0,22600.0,3091.5461303017055
Rond de Energiecentrale,10.0,5955.0,18571077.8,22000.0,3118.5689000839634
Koningsplein en omgeving,44.0,7575.0,23571091.5,27700.0,3111.6952475247526
Zeeheldenkwartier,45.0,11845.0,37106319.49999999,29200.0,3132.6567750105523
Willemspark,47.0,1490.0,4764963.2,47300.0,3197.961879194631
Haagse Bos,49.0,425.0,1355986.7000000002,40000.0,3190.556941176471
Landen,61.0,5155.0,15840887.299999997,21800.0,3072.9170320077587
Kampen,67.0,2455.0,7584907.7,22700.0,3089.5754378818738
Marlot,68.0,805.0,2387354.8,58400.0,2965.6581366459627
Burgen en Horsten,69.0,6285.0,19478228.6,25300.0,3099.1612728719174
Bezuidenhout-West,64.0,3580.0,10830166.099999998,21600.0,3025.1860614525135
Bezuidenhout-Midden,65.0,4285.0,13051611.900000002,37600.0,3045.883757292883
Bezuidenhout-Oost,66.0,9010.0,28089300.999999996,32200.0,3117.5694783573804
Huygenspark,18.0,7895.0,24112280.8,17300.0,3054.120430652312
Rivierenbuurt-Zuid,62.0,850.0,2665346.6999999997,18400.0,3135.7019999999998
Rivierenbuurt-Noord,63.0,3690.0,11370781.200000001,24600.0,3081.5125203252037
Kortenbos,11.0,7275.0,22783704.200000003,26600.0,3131.78064604811
Voorhout,12.0,2355.0,7513561.4,47000.0,3190.471932059448
Uilebomen,13.0,3180.0,9976933.299999999,28300.0,3137.400408805031
Zuidwal,14.0,6885.0,21756813.0,24000.0,3160.030936819172
Schildersbuurt-West,15.0,14115.0,41529578.0,12800.0,2942.2301098122566
Schildersbuurt-Noord,16.0,9985.0,29350217.3,12900.0,2939.430876314472
Schildersbuurt-Oost,17.0,7230.0,21190567.8,12200.0,2930.9222406639005
Transvaalkwartier-Noord,32.0,3945.0,11893812.799999999,13500.0,3014.908187579214
Transvaalkwartier-Midden,33.0,5005.0,14891722.2,14000.0,2975.369070929071
Transvaalkwartier-Zuid,34.0,7235.0,21633855.700000003,13600.0,2990.1666482377336
Rustenburg,30.0,6100.0,18518633.799999997,19200.0,3035.8416065573765
Oostbroek-Noord,31.0,4500.0,13612069.400000004,18300.0,3024.904311111112
Oostbroek-Zuid,35.0,8055.0,24171058.200000003,16700.0,3000.7521042830545
Leyenburg,84.0,14910.0,45872468.7,22800.0,3076.6243259557345
"Venen, Oorden en Raden",87.0,8585.0,25545595.1,16000.0,2975.6080489225396
"Zijden, Steden en Zichten",96.0,7850.0,23445790.0,17000.0,2986.724840764331
Dreven en Gaarden,98.0,10815.0,32272097.900000002,16900.0,2984.012750809062
De Uithof,99.0,1380.0,4246036.8,23800.0,3076.838260869565
Morgenstond-Zuid,80.0,5930.0,17889187.900000002,16700.0,3016.7264586846545
Morgenstond-West,88.0,7405.0,22263894.500000004,20300.0,3006.6029034436197
Morgenstond-Oost,89.0,5560.0,16884186.200000003,18500.0,3036.724136690648
Zuiderpark,36.0,160.0,485986.10000000003,19200.0,3037.413125
Moerwijk-Oost,20.0,3265.0,9793088.6,15000.0,2999.414578866769
Moerwijk-West,37.0,6240.0,18642224.599999998,14500.0,2987.535993589743
Moerwijk-Noord,38.0,6975.0,20900600.099999998,16300.0,2996.5018064516125
Moerwijk-Zuid,39.0,4600.0,13653267.600000003,17100.0,2968.101652173914
Groente- en Fruitmarkt,21.0,5315.0,15761321.000000002,14600.0,2965.4413922859835
Laakhaven-Oost,19.0,4050.0,12216597.5,17400.0,3016.443827160494
Laakhaven-West,22.0,5510.0,16572830.799999999,15400.0,3007.773284936479
Spoorwijk,23.0,4340.0,12864133.200000001,16300.0,2964.0859907834106
Laakkwartier-West,24.0,8085.0,24414514.299999997,17200.0,3019.729659863945
Laakkwartier-Oost,25.0,11240.0,34053327.900000006,17400.0,3029.6555071174384
Noordpolderbuurt,26.0,8345.0,25107630.499999996,14400.0,3008.703475134811
Binckhorst,60.0,1790.0,5714996.899999999,18100.0,3192.735698324022
Erasmus Veld,101.0,2155.0,6581286.3,25400.0,3053.9611600928074
Hoge Veld,102.0,8685.0,25390003.9,23800.0,2923.4316522740355
Parkbuurt oosteinde,103.0,3465.0,10486571.4,32500.0,3026.4275324675327
Lage Veld,104.0,4285.0,13001752.299999997,24100.0,3034.2479113185523
Zonne Veld,105.0,3440.0,10249990.2,24000.0,2979.648313953488
Vlietzoom-West,106.0,170.0,489777.29999999993,34800.0,2881.0429411764703
De Reef,110.0,110.0,342869.3,,3116.993636363636
Bosweide,108.0,2050.0,6012209.5,43900.0,2932.7851219512195
De Venen,111.0,1755.0,5143128.800000002,26400.0,2930.5577207977217
Morgenweide,112.0,7135.0,21038473.500000004,25600.0,2948.629782761038
Singels,113.0,5595.0,16671625.3,25200.0,2979.7364253798037
Waterbuurt,114.0,4775.0,14090409.899999999,24100.0,2950.871183246073
De Bras,115.0,5855.0,16868639.1,27100.0,2881.0656020495308
Vlietzoom-Oost,116.0,100.0,300961.8,39000.0,3009.618
De Rivieren,117.0,20.0,52700.40000000001,,2635.0200000000004
De Lanen,118.0,5255.0,15331085.6,25400.0,2917.4282778306374
De Velden,119.0,4220.0,12707096.500000002,27200.0,3011.1603080568725
De Vissen,120.0,8505.0,25662246.799999997,27000.0,3017.3129688418576
Rietbuurt,121.0,2755.0,7943284.300000001,26400.0,2883.2247912885664
