WIJKBUURTC,BUURTCODE,BUURTNAAM,WIJKCODE,OCE_ID,OPPERVLAKT,OMTREK
5046,46,Archipelbuurt,5,105,871291.1407,4071.464096
4078,78,Arendsdorp,4,105,553234.4574,3553.122216
2071,71,Belgisch Park,2,105,972968.4888,4611.330485
26065,65,Bezuidenhout-Midden,26,105,619019.5569,3503.85292
26066,66,Bezuidenhout-Oost,26,105,769144.644,3884.311871
26064,64,Bezuidenhout-West,26,105,538776.818,3487.283219
39060,60,Binckhorst,39,105,1455619.749,5332.209443
12051,51,Bloemenbuurt-Oost,12,105,611403.0497,3533.669183
12050,50,Bloemenbuurt-West,12,105,282151.1897,2945.995531
14092,92,Bohemen en Meer en Bos,14,105,805149.8614,3996.369707
12052,52,Bomenbuurt,12,105,530968.4165,3257.446572
14081,81,Bosjes van Pex,14,105,463566.8173,3142.534397
42108,108,Bosweide,42,105,736672.0133,3506.110193
25069,69,Burgen en Horsten,25,105,935367.6306,4062.105313
18093,93,Componistenbuurt,18,105,146683.3526,1849.371203
42115,115,De Bras,42,105,952133.8008,3988.598182
44118,118,De Lanen,44,105,698637.4067,3330.921897
41110,110,De Reef,41,105,620926.0781,3397.598099
43117,117,De Rivieren,43,105,1706348.787,7841.223315
33099,99,De Uithof,33,105,1492672.128,5232.65045
44119,119,De Velden,44,105,751997.9143,3715.398365
42111,111,De Venen,42,105,353617.1245,3563.03419
44120,120,De Vissen,44,105,1293634.774,4752.104262
33098,98,Dreven en Gaarden,33,105,995512.0804,4726.533789
8100,100,Duindorp,8,105,847246.6128,4043.474392
4076,76,Duinzigt,4,105,697440.4995,3544.182789
3074,74,Duttendel,3,105,1330447.993,6453.778583
40101,101,Erasmus Veld,40,105,762539.7719,4130.231416
19083,83,Eykenduinen,19,105,501321.3657,3220.729419
9008,8,Geuzenkwartier,9,105,339317.868,4640.066075
37021,21,Groente- en Fruitmarkt,37,105,495611.6246,3484.858304
24049,49,Haagse Bos,24,105,1277111.934,6098.921453
20054,54,Heesterbuurt,20,105,410936.9511,3204.666705
40102,102,Hoge Veld,40,105,1093566.243,4613.289159
17086,86,Houtwijk,17,105,1457137.192,6163.490088
27018,18,Huygenspark,27,105,465587.1363,3782.239325
25067,67,Kampen,25,105,608665.5386,3462.67956
17085,85,Kerketuinen en Zichtenburg,17,105,817793.163,4490.028009
15091,91,Kijkduin,15,105,1447217.291,5879.743233
17095,95,Kom Loosduinen,17,105,466894.9332,3730.303541
21044,44,Koningsplein en omgeving,21,105,427338.9729,2923.834245
28011,11,Kortenbos,28,105,630544.602,3935.679791
16097,97,Kraayenstein,16,105,3361338.496,8060.165597
38019,19,Laakhaven-Oost,38,105,337671.063,2741.958554
38022,22,Laakhaven-West,38,105,615537.7535,3997.868109
38025,25,Laakkwartier-Oost,38,105,558978.3842,3977.181127
38024,24,Laakkwartier-West,38,105,467295.6069,3251.908421
40104,104,Lage Veld,40,105,461201.3554,3052.161629
25061,61,Landen,25,105,625090.9304,3613.891232
32084,84,Leyenburg,32,105,1353530.214,5999.133401
25068,68,Marlot,25,105,922032.02,4827.349358
36038,38,Moerwijk-Noord,36,105,474346.0495,3796.12398
