Transport ,Total,Total,Total,Passenger car (driver),Passenger car (driver),Passenger car (driver),Passenger car (passenger),Passenger car (passenger),Passenger car (passenger),Train,Train,Train,Bus / tram / metro,Bus / tram / metro,Bus / tram / metro,Bike,Bike,Bike,walk,walk,walk,Other mode of transport,Other mode of transport,Other mode of transport
Subject ,Gemiddeld per persoon per dag |Verplaatsingen ,Gemiddeld per persoon per dag |Afstand ,Gemiddeld per persoon per dag |Reisduur,Gemiddeld per persoon per dag |Verplaatsingen ,Gemiddeld per persoon per dag |Afstand ,Gemiddeld per persoon per dag |Reisduur,Gemiddeld per persoon per dag |Verplaatsingen ,Gemiddeld per persoon per dag |Afstand ,Gemiddeld per persoon per dag |Reisduur,Gemiddeld per persoon per dag |Verplaatsingen ,Gemiddeld per persoon per dag |Afstand ,Gemiddeld per persoon per dag |Reisduur,Gemiddeld per persoon per dag |Verplaatsingen ,Gemiddeld per persoon per dag |Afstand ,Gemiddeld per persoon per dag |Reisduur,Gemiddeld per persoon per dag |Verplaatsingen ,Gemiddeld per persoon per dag |Afstand ,Gemiddeld per persoon per dag |Reisduur,Gemiddeld per persoon per dag |Verplaatsingen ,Gemiddeld per persoon per dag |Afstand ,Gemiddeld per persoon per dag |Reisduur,Gemiddeld per persoon per dag |Verplaatsingen ,Gemiddeld per persoon per dag |Afstand ,Gemiddeld per persoon per dag |Reisduur
Personal characteristics ,number,km,minutes,number,km,minutes,number,km,minutes,number,km,minutes,number,km,minutes,number,km,minutes,number,km,minutes,number,km,minutes
Age: 6 to 12 years old,3.04,18.4,65.47,.,.,.,0.94,13.48,20.49,.,.,.,.,.,.,1.03,2.49,20.32,0.87,1.24,19.16,.,.,.
Age: 12 to 18 years old,2.65,20.94,69.45,.,.,.,0.45,9.03,13.08,.,.,.,.,.,.,1.46,5.73,32.08,0.4,0.73,10.14,.,.,.
Age: 18 to 25 years old,2.65,35.04,83.06,0.62,11.42,17.77,.,.,.,0.21,9.72,16.76,0.29,4.7,13.47,0.76,2.9,14.4,0.43,1.1,10.58,.,.,.
Age: 25 to 35 years,2.77,49.32,88.93,1.25,29.47,38.9,0.12,3.58,5.22,0.18,7.43,11.78,0.11,1.68,4.55,0.52,2.24,10.16,0.39,1,10.44,0.19,3.93,7.89
Age: 35 to 50 years,2.9,48.61,88.12,1.48,34.25,46.29,0.07,1.55,2.09,0.08,3.36,5.75,0.1,1.17,4.24,0.51,2.19,10.76,0.42,0.95,10.18,0.23,5.13,8.81
Age: 50 to 65 years,2.71,45.77,86.32,1.37,30.74,42.79,0.1,2.69,3.41,0.08,3.5,6.34,0.09,1.26,3.73,0.52,3.36,13.98,0.4,0.97,11.19,0.16,3.26,4.87
Age: 65 to 75 years,2.44,36.15,78.77,1.03,22.38,30.84,.,.,.,.,.,.,.,.,.,0.64,3.63,20.91,0.49,0.99,13.81,.,.,.
Age: 75 years or older,1.87,18.66,56.37,0.77,12.17,21.53,.,.,.,.,.,.,.,.,.,0.48,2.85,16.31,0.4,0.8,11.65,.,.,.
