Name,Type,Code,Mode,Distance travelled,BUURTCODE
Belgisch Park,Buurt,BU05180271,Train.1,46337.81483459563,71
Westbroekpark,Buurt,BU05180373,Train.1,5144.810172483766,73
Duttendel,Buurt,BU05180374,Train.1,6038.023149501661,74
Nassaubuurt,Buurt,BU05180448,Train.1,8757.584835164835,48
Uilennest,Buurt,BU05180475,Train.1,11423.719901360544,75
Duinzigt,Buurt,BU05180476,Train.1,14607.146558116232,76
Waalsdorp,Buurt,BU05180477,Train.1,20243.327598425196,77
Arendsdorp,Buurt,BU05180478,Train.1,7085.085351669403,78
Van Hoytemastraat en omgeving,Buurt,BU05180479,Train.1,12425.925478208233,79
Archipelbuurt,Buurt,BU05180546,Train.1,33465.24365398126,46
Van Stolkpark en Scheveningse Bosjes,Buurt,BU05180605,Train.1,4265.535556860903,5
Oud Scheveningen,Buurt,BU05180701,Train.1,15663.041730675148,1
Vissershaven,Buurt,BU05180702,Train.1,19257.11740619984,2
Scheveningen Badplaats,Buurt,BU05180703,Train.1,29399.487702093822,3
Visserijbuurt,Buurt,BU05180704,Train.1,21264.66832716506,4
Rijslag,Buurt,BU05180772,Train.1,9055.913962954746,72
Duindorp,Buurt,BU05180800,Train.1,31650.87649784095,100
Statenkwartier,Buurt,BU05180907,Train.1,52485.76564426132,7
Geuzenkwartier,Buurt,BU05180908,Train.1,24052.459321103157,8
Zorgvliet,Buurt,BU05181041,Train.1,2764.8581357142857,41
Stadhoudersplantsoen,Buurt,BU05181142,Train.1,10646.933485787173,42
Sweelinckplein en omgeving,Buurt,BU05181143,Train.1,31318.32934103762,43
Bloemenbuurt-West,Buurt,BU05181250,Train.1,12738.63596153846,50
Bloemenbuurt-Oost,Buurt,BU05181251,Train.1,35143.325360459974,51
Bomenbuurt,Buurt,BU05181252,Train.1,31836.39932955791,52
Vogelwijk,Buurt,BU05181309,Train.1,28877.496727970625,9
Bosjes van Pex,Buurt,BU05181481,Train.1,2236.300955357143,81
Bohemen en Meer en Bos,Buurt,BU05181492,Train.1,25316.178972766364,92
Ockenburgh,Buurt,BU05181590,Train.1,4482.532987421384,90
Kijkduin,Buurt,BU05181591,Train.1,8856.879131336405,91
