Municipality,Households,Income
Aa and Hunze,11,31.1
Aalsmeer,12.9,35.3
Aalten,11.3,28.6
Achtkar plays,11.6,26.1
Alblasserdam,8.1,29.4
Albrandswaard,10.1,35.2
Alkmaar,50.9,29.1
Almelo,32.1,26.3
Almere,84.8,29.4
Alphen aan den Rijn,47.1,31.4
Alphen-Chaam,4.1,33
Altena,21.6,31.1
Ameland,1.7,.
Amersfoort,67.4,31.5
Amstelveen,41.7,33.5
Amsterdam,453.7,29.4
Apeldoorn,71.7,29.7
Appingedam,5.5,25.5
Arnhem,77.6,26.1
shafts,30.5,27.7
Asten,7,30.3
Baarle-Nassau,3,31.2
Baarn,11,37.4
Barendrecht,19,34.3
Barneveld,21.5,31.1
Brook (L.),7.3,30.4
Beekdaelen,16,30.3
Beemster,3.8,34.9
Beesel,5.8,28.5
Mountain and valley,15.5,29.6
Bergeijk,7.7,32.7
Bergen (L.),5.6,28.9
Bergen (NH.),13.6,37.3
Bergen op Zoom,29.4,29
Berkelland,18.6,29.3
Bernheze,12.1,31.9
Best,12.4,32.9
Beuningen,11,31.3
Beverwijk,18.8,28.7
De Bilt,19.1,36.2
Bladel,8.5,31.4
Blaricum,4.7,50.7
Bloemendaal,9.6,51.7
Bodegraven-Reeuwijk,13.8,34.7
Boekel,4,31.3
Borger-Odoorn,11.1,28.5
Borne,9.6,30.5
Borsele,9.5,30.6
Boxmeer,12.1,30.7
Boxtel,13.4,30.3
Breda,86.9,29.6
Brielle,7.6,33.8
Bronckhorst,15.5,32.8
Rumbling,9,30.7
Brunssum,13.6,26.3
Bunnik,6.4,35.2
Bunschoten,8,31.9
Neighbors,10.8,33
Capelle aan den IJssel,30.6,29.1
Castricum,15.5,35.5
Coevorden,15.3,28.7
Cranendonck,8.7,31.3
Cuijk,10.8,29.3
Culemborg,12.1,30.9
Dalfsen,11.2,31.2
Dantumadiel,7.7,26.5
Delft,54.1,24.3
Delfzijl,11.6,26.4
Deurne,13.5,30.1
Deventer,45.2,27.8
Diemen,13.5,28.1
Dinkelland,10.1,32.1
Doesburg,5.3,27.4
Doetinchem,25.3,28.6
Dongen,10.9,30.5
Dordrecht,54,
Drechterland,8,
