Regions,number
Aa and Hunze,11165
Aalburg,5109
Aalsmeer,12888
Aalten,11922
Achtkar plays,12075
Alblasserdam,8276
Albrandswaard,10333
Alkmaar,50830
Almelo,32988
Almere,82312
Alphen aan den Rijn,47099
Alphen-Chaam,4280
Altena,
Ameland,1712
Amersfoort,66530
Amstelveen,41782
Amsterdam,432715
Apeldoorn,71526
Appingedam,5925
Arnhem,74416
shafts,31424
Asten,6803
Baarle-Nassau,2832
Baarn,11564
Barendrecht,19184
Barneveld,21926
Bedum,4614
Brook (L.),7424
Beekdaelen,
Beemster,3836
Beesel,5946
Belling bet,
Mountain and valley,15518
Bergambacht,
Bergeijk,7810
Bergen (L.),5683
Bergen (NH.),15113
Bergen op Zoom,30047
Berkelland,19492
Bernheze,12301
Bernisse,
Best,12353
Beuningen,11043
Beverwijk,19189
it bildt,
De Bilt,19412
Inner mesh,12809
Bladel,8552
Blaricum,4865
Bloemendaal,9894
Boarnsterhim,
Bodegraven-Reeuwijk,14260
Boekel,4082
Ten Boer,3052
Borger-Odoorn,11608
Borne,9748
Borsele,9781
Boskoop,
Boxmeer,12206
Boxtel,13333
Breda,83253
Brielle,7918
Bronckhorst,16088
Rumbling,9279
Brunssum,14508
Bunnik,6371
Bunschoten,8251
Neighbors,10529
Bussum,
Capelle aan den IJssel,30748
Castricum,15814
Coevorden,15478
Cranendonck,8887
Crom rows,5635
Cuijk,10938
Culemborg,12177
Dalfsen,11511
Dantumadiel,8144
Delft,49855
Delfzijl,12241
Deurne,13644
Deventer,44707
Diemen,13136
Dinkelland,10774
Dirksland,
Doesburg,5279
Doetinchem,25628
Dongen,11075
Dongeradeel,11024
Dordrecht,55059
Dchterland,8202
Drimming,11708
Dronten,16901
Druten,7983
Pigeons,10678
Echt-Susteren,14532
Edam-Volendam,14915
Ede,48007
Eemnes,3812
Eemsmond,7410
Eersel,8071
Eijsden-Margraten,11181
Eindhoven,109468
Elburg,9274
Emmen,48923
Enkhuizen,8717
Enschede,73672
Epe,14243
Ermelo,10948
Etten-Leur,18732
Ferwerderradiel,3847
Franekeradeel,
The Frisian Lakes,
The Fryske Marren,23086
Gaasterlân-Sleat,
Geertruidenberg,9614
Geldermalsen,10940
Geldrop-Mierlo,17429
Gemert-Bakel,12683
Gennep,7387
Giessenlanden,5927
Gilze and Rijen,11199
Goedereede,
Goeree-Overflakkee,21374
Goes,18062
Goirle,10136
Gooise Lakes,26342
Gorinchem,16392
Gouda,32758
Digging current,
Graft-De Rijp,
Grave,5419
The Hague (municipality),256694
Groesbeek,
Groningen (municipality),100946
Great guest,5007
Gulpen-Wittem,6784
Haaksbergen,10315
Haaren,5805
Haarlem,74796
Haarlemmerliede and Spaarnwoude,2357
Haarlemmermeer,60622
Halderberge,13093
Hardenberg,24316
Harderwijk,19289
Hardinxveld-Giessendam,7247
Hair,8925
Hair cart game,
Harlingen,7621
Hattem,5284
Heemskerk,17439
Heemstede,12561
Lord,7815
Heerenveen,23367
Heerhugowaard,23216
Heerlen,45758
Heeze-Leende,6772
Heiloo,10528
den Helder,27988
Hellendoorn,14645
Hellevoetsluis,17923
Helmond,39798
Hendrik-Ido-Ambacht,12141
Hengelo (O.),38169
's-Hertogenbosch,71196
Heumen,7123
Heusden,18523
Hillegom,9681
Hilvarenbeek,6522
Hilversum,41942
Hoeksche Waard,
Hof van Twente,15054
Het Hogeland,
Hollands Kroon,20689
Hoogeveen,24867
Hoogezand-Sappemeer,
Hoorn,32783
Horst aan de Maas,17610
Houten,20032
Huizen,18833
Hulst,13384
IJsselstein,14344
Kaag en Braassem,11294
Kampen,21843
Kapelle,5317
Katwijk,26329
Kerkrade,23904
Koggenland,9291
Kollumerland en Nieuwkruisland,5524
Korendijk,4595
Krimpen aan den IJssel,12451
Krimpenerwaard,23569
Laarbeek,9318
Landerd,6126
Landgraaf,18128
Landsmeer,4835
Langedijk,11467
Lansingerland,23565
Laren (NH.),5269
Leek,8614
Leerdam,8875
Leeuwarden,60905
Leeuwarderadeel,
Leiden,58079
Leiderdorp,12118
Leidschendam-Voorburg,36481
Lelystad,32767
Lemsterland,
Leudal,15745
Leusden,12637
Liesveld,
Lingewaal,4594
Lingewaard,19646
Lisse,10049
Littenseradiel,
Lochem,14916
Loon op Zand,10209
Lopik,5581
Loppersum,4687
Losser,9712
Maasdonk,
Maasdriel,9830
Maasgouw,10678
Maassluis,15058
Maastricht,61955
De Marne,5208
Marum,4396
Medemblik,18774
Meerssen,8587
Meierijstad,33475
Menameradiel,
Menterwolde,
Meppel,15586
Middelburg (Z.),23349
Middelharnis,
Midden-Delfland,7836
Midden-Drenthe,14304
Midden-Groningen,28025
Mill en Sint Hubert,4531
Millingen aan de Rijn,
Moerdijk,16340
Molenlanden,
Molenwaard,11206
Montferland,15525
Montfoort,5730
Mook en Middelaar,3617
Muiden,
Naarden,
Neder-Betuwe,8625
Nederlek,
Nederweert,7337
Neerijnen,4898
Nieuwegein,28495
Nieuwkoop,11298
Nieuw-Lekkerland,
Nijkerk,16669
Nijmegen,79474
Nissewaard,38832
Noardeast-Fryslân,
Noord-Beveland,4394
Noordenveld,14649
Noordoostpolder,19786
Noordwijk,12389
Noordwijkerhout,7115
"Nuenen, Gerwen en Nederwetten",10131
Nunspeet,10611
Nuth,6956
Oegstgeest,10475
Oirschot,7728
Oisterwijk,11439
Oldambt,18382
Oldebroek,9202
Oldenzaal,14402
Olst-Wijhe,7613
Ommen,7289
Onderbanken,3655
Oost Gelre,12787
Oosterhout,24665
Oostflakkee,
Ooststellingwerf,11247
Oostzaan,4093
Opmeer,4747
Opsterland,13009
Oss,39505
Oud-Beijerland,10187
Oude IJsselstreek,17267
Ouder-Amstel,5897
Ouderkerk,
Oudewater,4315
Overbetuwe,19486
Papendrecht,14331
Peel en Maas,18151
Pekela,5755
Pijnacker-Nootdorp,20810
Purmerend,35751
Putten,9655
Raalte,15589
Reimerswaal,9049
Renkum,14763
Renswoude,1999
Reusel-De Mierden,5385
Rheden,21088
Rhenen,8034
Ridderkerk,21009
Rijnwaarden,
Rijnwoude,
Rijssen-Holten,14574
Rijswijk (ZH.),26233
Roerdalen,9449
Roermond,27276
De Ronde Venen,18145
Roosendaal,35103
Rotterdam,311336
Rozendaal,662
Rucphen,9605
Schagen,20103
Schermer,
Scherpenzeel,3921
Schiedam,36914
Schiermonnikoog,582
Schijndel,
Schinnen,5952
Schoonhoven,
Schouwen-Duiveland,16661
Simpelveld,5207
Sint Anthonis,4807
Sint-Michielsgestel,11985
Sint-Oedenrode,
Sittard-Geleen,46369
Skarsterlân,
Sliedrecht,10846
Slochteren,
Sluis,13960
Smallingerland,25454
Soest,20479
Someren,7964
Son en Breugel,7067
