Name,type,Water consumption,Household size,BUURTCODE
Belgisch Park,Buurt,71.41574446327778,1.9512485136741973,71
Westbroekpark,Buurt,78.99928386147978,1.9775280898876404,73
Duttendel,Buurt,81.4430037964879,2.3118279569892475,74
Nassaubuurt,Buurt,82.01852670121278,2.166666666666667,48
Uilennest,Buurt,74.15416321207164,1.834061135371179,75
Duinzigt,Buurt,74.20584499768782,1.750877192982456,76
Waalsdorp,Buurt,81.23026031782952,2.3591331269349847,77
Arendsdorp,Buurt,81.34631621131487,2.5096153846153846,78
Van Hoytemastraat en omgeving,Buurt,78.23507000261543,2.3024390243902437,79
Archipelbuurt,Buurt,77.39706822892505,1.812778603268945,46
Van Stolkpark en Scheveningse Bosjes,Buurt,80.7068898578361,2.2686567164179103,5
Oud Scheveningen,Buurt,66.25541396608676,1.7859327217125383,1
Vissershaven,Buurt,66.59025185794033,1.9777777777777779,2
Scheveningen Badplaats,Buurt,68.44423580972168,1.7936772046589018,3
Visserijbuurt,Buurt,67.94066518078918,1.8829268292682928,4
Rijslag,Buurt,69.86520153133861,1.7988826815642458,72
Duindorp,Buurt,66.16258536288561,2.093145869947276,100
Statenkwartier,Buurt,76.93142025681877,2.131201764057332,7
Geuzenkwartier,Buurt,68.38137962650839,2.0045662100456623,8
Zorgvliet,Buurt,83.71961334268086,1.923076923076923,41
Stadhoudersplantsoen,Buurt,70.14924439283907,1.7268722466960351,42
Sweelinckplein en omgeving,Buurt,72.27826041631546,1.9334442595673877,43
Bloemenbuurt-West,Buurt,71.82256948697943,2.1767441860465118,50
Bloemenbuurt-Oost,Buurt,68.88265722585987,1.9312406576980568,51
Bomenbuurt,Buurt,69.02984658827951,1.9135399673735727,52
Vogelwijk,Buurt,80.19271820270274,2.6161369193154034,9
Bosjes van Pex,Buurt,72.38916617692172,2.0,81
Bohemen en Meer en Bos,Buurt,68.8296433790858,1.718390804597701,92
Ockenburgh,Buurt,76.40115592476656,2.741379310344828,90
Kijkduin,Buurt,74.53039211572481,2.0,91
Kraayenstein,Buurt,72.43888562859502,2.322134387351779,97
Kerketuinen en Zichtenburg,Buurt,69.88881545512149,10.0,85
Houtwijk,Buurt,68.74927434299684,2.2974910394265233,86
Kom Loosduinen,Buurt,64.7258241888105,1.8058076225045372,95
Waldeck-Zuid,Buurt,65.2964052997939,1.7543103448275863,6
Nieuw Waldeck,Buurt,65.5429032959585,2.105109489051095,40
Rosenburg,Buurt,65.53976630147008,1.8774193548387097,82
Componistenbuurt,Buurt,69.70681712075813,1.7718446601941746,93
Waldeck-Noord,Buurt,66.14351986525567,1.563275434243176,94
Vruchtenbuurt,Buurt,71.85727635372827,2.2602523659305995,53
Eykenduinen,Buurt,69.26738246121322,1.996212121212121,83
Heesterbuurt,Buurt,64.8723243577388,1.821954484605087,54
Valkenboskwartier,Buurt,64.98833394548235,1.8608624898291295,55
Rond de Energiecentrale,Buurt,64.6955960424715,1.810030395136778,10
Koningsplein en omgeving,Buurt,67.76199647098454,1.759581881533101,44
Zeeheldenkwartier,Buurt,67.73885006427773,1.7117052023121389,45
Willemspark,Buurt,74.05581986489148,1.6021505376344085,47
Haagse Bos,Buurt,69.68680588104449,1.6346153846153846,49
Landen,Buurt,63.8734998811996,1.7868284228769498,61
Kampen,Buurt,63.61507432371498,1.6476510067114094,67
Marlot,Buurt,84.80654105767027,2.596774193548387,68
Burgen en Horsten,Buurt,65.81398426904886,1.7629733520336606,69
Bezuidenhout-West,Buurt,63.74796893709617,1.6689976689976689,64
Bezuidenhout-Midden,Buurt,72.87241222438769,1.859002169197397,65
Bezuidenhout-Oost,Buurt,69.07488627647614,1.7178265014299332,66
Huygenspark,Buurt,59.18939494332158,1.4868173258003767,18
Rivierenbuurt-Zuid,Buurt,59.10203139505681,1.3821138211382114,62
Rivierenbuurt-Noord,Buurt,65.90069893957599,1.7869249394673123,63
Kortenbos,Buurt,65.6062204476938,1.6275167785234899,11
Voorhout,Buurt,71.61089441350737,1.4186746987951806,12
Uilebomen,Buurt,67.24267782971617,1.7142857142857144,13
Zuidwal,Buurt,63.435518807661715,1.5249169435215948,14
Schildersbuurt-West,Buurt,61.38228573955924,2.354462051709758,15
Schildersbuurt-Noord,Buurt,60.95470305054508,2.2718998862343573,16
Schildersbuurt-Oost,Buurt,61.293674936073934,2.5235602094240837,17
Transvaalkwartier-Noord,Buurt,60.396806577005314,2.098404255319149,32
Transvaalkwartier-Midden,Buurt,61.962629678503,2.389021479713604,33
Transvaalkwartier-Zuid,Buurt,62.1318937332518,2.469283276450512,34
Rustenburg,Buurt,64.11215626581067,1.986970684039088,30
Oostbroek-Noord,Buurt,63.496458851288835,2.0408163265306123,31
Oostbroek-Zuid,Buurt,62.95379224139404,2.0840879689521348,35
Leyenburg,Buurt,65.80572092359526,1.9238709677419354,84
"Venen, Oorden en Raden",Buurt,62.56192528953901,2.159748427672956,87
"Zijden, Steden en Zichten",Buurt,63.3289404541908,2.10455764075067,96
Dreven en Gaarden,Buurt,63.25388671059823,2.187057633973711,98
De Uithof,Buurt,64.94236677468804,1.7468354430379747,99
Morgenstond-Zuid,Buurt,61.76947222055927,1.9067524115755627,80
Morgenstond-West,Buurt,65.54675377268434,2.134005763688761,88
Morgenstond-Oost,Buurt,61.659522434853315,1.7320872274143302,89
Zuiderpark,Buurt,58.61533679995471,1.3333333333333333,36
Moerwijk-Oost,Buurt,59.70944576894884,1.8818443804034581,20
Moerwijk-West,Buurt,59.95195719462234,1.9591836734693877,37
Moerwijk-Noord,Buurt,62.01484478267393,2.0188133140376268,38
Moerwijk-Zuid,Buurt,61.97272820957213,1.9287211740041927,39
Groente- en Fruitmarkt,Buurt,63.532252952859565,2.460648148148148,21
Laakhaven-Oost,Buurt,60.817666367662966,1.712473572938689,19
Laakhaven-West,Buurt,60.02892390495712,1.7745571658615136,22
Spoorwijk,Buurt,64.33262726290248,2.417827298050139,23
Laakkwartier-West,Buurt,63.309140255549195,2.0704225352112675,24
Laakkwartier-Oost,Buurt,62.19263999449167,1.9396031061259706,25
Noordpolderbuurt,Buurt,60.4918699445805,1.9892729439809296,26
Binckhorst,Buurt,58.94686713541921,7.782608695652174,60
Erasmus Veld,Buurt,71.52692617726275,2.835526315789474,101
Hoge Veld,Buurt,72.22420595052505,2.8198051948051948,102
Parkbuurt oosteinde,Buurt,76.89168232391248,2.805668016194332,103
Lage Veld,Buurt,71.33573029134229,2.5891238670694867,104
Zonne Veld,Buurt,72.8578750012521,2.927659574468085,105
Vlietzoom-West,Buurt,72.64429376709761,2.0,106
Vliegeniersbuurt,Buurt,69.97621653994192,2.1977001224622583,107
De Reef,Buurt,69.97621653994192,1.0,110
Bosweide,Buurt,83.30697251961313,3.106060606060606,108
Tedingerbuurt,Buurt,70.12868437022831,2.1977001224622583,109
De Venen,Buurt,70.83240164701354,2.3245033112582782,111
Morgenweide,Buurt,72.15196427584785,2.5945454545454547,112
Singels,Buurt,72.47160977895355,2.6516587677725116,113
Waterbuurt,Buurt,71.28158556057703,2.630853994490358,114
De Bras,Buurt,75.60888103964977,3.1061007957559683,115
Vlietzoom-Oost,Buurt,76.17275021648867,2.2222222222222223,116
De Rivieren,Buurt,70.35291550673767,4.0,117
De Lanen,Buurt,74.67447396455884,3.0730994152046787,118
De Velden,Buurt,73.63585956021852,2.74025974025974,119
De Vissen,Buurt,73.52670898785294,2.802306425041186,120
Rietbuurt,Buurt,74.76195610850147,2.9783783783783786,121
