Name,type,Water consumption,Household size,BUURTCODE,water_per_capita,GWP per capita
Belgisch Park,Buurt,71.41574446,1.951248514,71,36.60002504,6.364744355
Westbroekpark,Buurt,78.99928386,1.97752809,73,39.9485015,6.947044411
Duttendel,Buurt,81.4430038,2.311827957,74,35.2288342,6.126294267
Nassaubuurt,Buurt,82.0185267,2.166666667,48,37.85470463,6.582933135
Uilennest,Buurt,74.15416321,1.834061135,75,40.4316747,7.031068231
Duinzigt,Buurt,74.205845,1.750877193,76,42.38209584,7.370246467
Waalsdorp,Buurt,81.23026032,2.359133127,77,34.43224945,5.98776818
Arendsdorp,Buurt,81.34631621,2.509615385,78,32.4138578,5.636769872
Van Hoytemastraat en omgeving,Buurt,78.23507,2.302439024,79,33.97921473,5.908985441
Archipelbuurt,Buurt,77.39706823,1.812778603,46,42.69526797,7.424707099
Van Stolkpark en Scheveningse Bosjes,Buurt,80.70688986,2.268656716,5,35.5747475,6.186448591
Oud Scheveningen,Buurt,66.25541397,1.785932722,1,37.09849378,6.451428068
Vissershaven,Buurt,66.59025186,1.977777778,2,33.66922847,5.85507883
Scheveningen Badplaats,Buurt,68.44423581,1.793677205,3,38.15861384,6.635782947
Visserijbuurt,Buurt,67.94066518,1.882926829,4,36.08247762,6.274742858
Rijslag,Buurt,69.86520153,1.798882682,72,38.83810893,6.753947142
Duindorp,Buurt,66.16258536,2.09314587,100,31.60916127,5.496833145
Statenkwartier,Buurt,76.93142026,2.131201764,7,36.09767107,6.277384999
Geuzenkwartier,Buurt,68.38137963,2.00456621,8,34.11280669,5.932217084
Zorgvliet,Buurt,83.71961334,1.923076923,41,43.53419894,7.570597195
Stadhoudersplantsoen,Buurt,70.14924439,1.726872247,42,40.62213897,7.064189967
Sweelinckplein en omgeving,Buurt,72.27826042,1.93344426,43,37.38316223,6.500931912
Bloemenbuurt-West,Buurt,71.82256949,2.176744186,50,32.9954112,5.737902007
Bloemenbuurt-Oost,Buurt,68.88265723,1.931240658,51,35.66756787,6.202590052
Bomenbuurt,Buurt,69.02984659,1.913539967,52,36.07442111,6.273341831
Vogelwijk,Buurt,80.1927182,2.616136919,9,30.65310443,5.330574861
Bosjes van Pex,Buurt,72.38916618,2,81,36.19458309,6.294237999
Bohemen en Meer en Bos,Buurt,68.82964338,1.718390805,92,40.05470886,6.96551387
Ockenburgh,Buurt,76.40115592,2.74137931,90,27.86960405,4.846524144
Kijkduin,Buurt,74.53039212,2,91,37.26519606,6.480417594
Kraayenstein,Buurt,72.43888563,2.322134387,97,31.19495841,5.424803267
Houtwijk,Buurt,68.74927434,2.297491039,86,29.92363111,5.20371945
Kom Loosduinen,Buurt,64.72582419,1.805807623,95,35.84314485,6.23312289
Waldeck-Zuid,Buurt,65.2964053,1.754310345,6,37.22055536,6.472654576
Nieuw Waldeck,Buurt,65.5429033,2.105109489,40,31.1351517,5.414402881
Rosenburg,Buurt,65.5397663,1.877419355,82,34.90949751,6.070761618
Componistenbuurt,Buurt,69.70681712,1.77184466,93,39.34138172,6.841466281
Waldeck-Noord,Buurt,66.14351987,1.563275434,94,42.31085477,7.357857645
Vruchtenbuurt,Buurt,71.85727635,2.260252366,53,31.79170496,5.528577493
Eykenduinen,Buurt,69.26738246,1.996212121,83,34.69940981,6.034227366
Heesterbuurt,Buurt,64.87232436,1.821954485,54,35.60589735,6.191865549
Valkenboskwartier,Buurt,64.98833395,1.86086249,55,34.92377019,6.073243636
Rond de Energiecentrale,Buurt,64.69559604,1.810030395,10,35.742823,6.21567692
Koningsplein en omgeving,Buurt,67.76199647,1.759581882,44,38.51028314,6.696938239
Zeeheldenkwartier,Buurt,67.73885006,1.711705202,45,39.57389974,6.881901165
Willemspark,Buurt,74.05581986,1.602150538,47,46.22276005,8.038137973
Haagse Bos,Buurt,69.68680588,1.634615385,49,42.6319283,7.413692332
Landen,Buurt,63.87349988,1.786828423,61,35.74685687,6.216378409
Kampen,Buurt,63.61507432,1.647651007,67,38.60955631,6.714201842
Marlot,Buurt,84.80654106,2.596774194,68,32.65841954,5.679299158
Burgen en Horsten,Buurt,65.81398427,1.762973352,69,37.33124167,6.491902927
Bezuidenhout-West,Buurt,63.74796894,1.668997669,64,38.19536128,6.642173326
Bezuidenhout-Midden,Buurt,72.87241222,1.859002169,65,39.19974567,6.816835771
Bezuidenhout-Oost,Buurt,69.07488628,1.717826501,66,40.21063025,6.9926286
Huygenspark,Buurt,59.18939494,1.486817326,18,39.80946006,6.922865104
Rivierenbuurt-Zuid,Buurt,59.1020314,1.382113821,62,42.76205801,7.436321888
Rivierenbuurt-Noord,Buurt,65.90069894,1.786924939,63,36.87938843,6.413325648
Kortenbos,Buurt,65.60622045,1.627516779,11,40.31062617,7.010017891
Voorhout,Buurt,71.61089441,1.418674699,12,50.47731836,8.778005662
Uilebomen,Buurt,67.24267783,1.714285714,13,39.2248954,6.82120931
Zuidwal,Buurt,63.43551881,1.524916944,14,41.59932715,7.234122991
Schildersbuurt-West,Buurt,61.38228574,2.354462052,15,26.07062012,4.533680839
Schildersbuurt-Noord,Buurt,60.95470305,2.271899886,16,26.82983675,4.66570861
Schildersbuurt-Oost,Buurt,61.29367494,2.523560209,17,24.28857243,4.223782746
Transvaalkwartier-Noord,Buurt,60.39680658,2.098404255,32,28.7822551,5.005234162
Transvaalkwartier-Midden,Buurt,61.96262968,2.38902148,33,25.93640543,4.510340904
Transvaalkwartier-Zuid,Buurt,62.13189373,2.469283276,34,25.16191412,4.375656865
Rustenburg,Buurt,64.11215627,1.986970684,30,32.26628192,5.611106427
Oostbroek-Noord,Buurt,63.49645885,2.040816327,31,31.11326484,5.410596755
Oostbroek-Zuid,Buurt,62.95379224,2.084087969,35,30.20687859,5.252976186
Leyenburg,Buurt,65.80572092,1.923870968,84,34.20485159,5.948223691
"Venen, Oorden en Raden",Buurt,62.56192529,2.159748428,87,28.96722808,5.037400962
"Zijden, Steden en Zichten",Buurt,63.32894045,2.104557641,96,30.09133094,5.232882451
Dreven en Gaarden,Buurt,63.25388671,2.187057634,98,28.92191121,5.02952036
De Uithof,Buurt,64.94236677,1.746835443,99,37.17715199,6.465106732
Morgenstond-Zuid,Buurt,61.76947222,1.906752412,80,32.3951195,5.63351128
Morgenstond-West,Buurt,65.54675377,2.134005764,88,30.7153593,5.341400982
Morgenstond-Oost,Buurt,61.65952243,1.732087227,89,35.59839335,6.190560603
Zuiderpark,Buurt,58.6153368,1.333333333,36,43.9615026,7.644905302
Moerwijk-Oost,Buurt,59.70944577,1.88184438,20,31.72921544,5.517710565
Moerwijk-West,Buurt,59.95195719,1.959183673,37,30.60047815,5.321423151
Moerwijk-Noord,Buurt,62.01484478,2.018813314,38,30.71846433,5.341940948
Moerwijk-Zuid,Buurt,61.97272821,1.928721174,39,32.13151234,5.587669997
Groente- en Fruitmarkt,Buurt,63.53225295,2.460648148,21,25.81931635,4.489979113
Laakhaven-Oost,Buurt,60.81766637,1.712473573,19,35.51451382,6.175973953
Laakhaven-West,Buurt,60.0289239,1.774557166,22,33.82755149,5.882611205
Spoorwijk,Buurt,64.33262726,2.417827298,23,26.60761888,4.627064923
Laakkwartier-West,Buurt,63.30914026,2.070422535,24,30.57788407,5.31749404
Laakkwartier-Oost,Buurt,62.19263999,1.939603106,25,32.06462178,5.576037727
Noordpolderbuurt,Buurt,60.49186994,1.989272944,26,30.40903468,5.288131131
Binckhorst,Buurt,58.94686714,7.782608696,60,7.574178459,1.317149634
Erasmus Veld,Buurt,71.52692618,2.835526316,101,25.22527327,4.386675021
Hoge Veld,Buurt,72.22420595,2.819805195,102,25.61318991,4.454133725
Parkbuurt oosteinde,Buurt,76.89168232,2.805668016,103,27.40583771,4.765875178
Lage Veld,Buurt,71.33573029,2.589123867,104,27.55207319,4.791305528
Zonne Veld,Buurt,72.857875,2.927659574,105,24.88604742,4.327683646
Vlietzoom-West,Buurt,72.64429377,2,106,36.32214688,6.316421343
Bosweide,Buurt,83.30697252,3.106060606,108,26.8207814,4.664133885
De Venen,Buurt,70.83240165,2.324503311,111,30.47205883,5.29909103
Morgenweide,Buurt,72.15196428,2.594545455,112,27.80909625,4.836001838
Singels,Buurt,72.47160978,2.651658768,113,27.33066964,4.75280345
Waterbuurt,Buurt,71.28158556,2.630853994,114,27.09446655,4.711727734
De Bras,Buurt,75.60888104,3.106100796,115,24.34205649,4.233083624
Vlietzoom-Oost,Buurt,76.17275022,2.222222222,116,34.2777376,5.960898568
De Lanen,Buurt,74.67447396,3.073099415,118,24.29940066,4.225665775
De Velden,Buurt,73.63585956,2.74025974,119,26.87185396,4.673015404
De Vissen,Buurt,73.52670899,2.802306425,120,26.23792613,4.562775355
Rietbuurt,Buurt,74.76195611,2.978378378,121,25.10156421,4.365162016
