Method,Type,Parameter,Score
CML 2001 (obsolete),resources,depletion of abiotic resources,1.2744198760408026e-06
CML 2001 (obsolete),acidification potential,average European,8.216832392946588e-07
CML 2001 (obsolete),acidification potential,generic,8.042046159815632e-07
CML 2001 (obsolete),climate change,GWP 100a,0.0001725065483838446
CML 2001 (obsolete),climate change,GWP 20a,0.00018594413434481477
CML 2001 (obsolete),climate change,GWP 500a,0.0001666708587734965
CML 2001 (obsolete),climate change,lower limit of net GWP,0.0001734306130935395
CML 2001 (obsolete),climate change,upper limit of net GWP,0.0001736985214880843
CML 2001 (obsolete),eutrophication potential,average European,4.684472217421589e-07
CML 2001 (obsolete),eutrophication potential,generic,5.824316482993918e-07
CML 2001 (obsolete),freshwater aquatic ecotoxicity,FAETP 100a,0.0001234464939138007
CML 2001 (obsolete),freshwater aquatic ecotoxicity,FAETP 20a,0.00011643888722706654
CML 2001 (obsolete),freshwater aquatic ecotoxicity,FAETP 500a,0.00012353777218944144
CML 2001 (obsolete),freshwater aquatic ecotoxicity,FAETP infinite,0.00012459610699285052
CML 2001 (obsolete),freshwater sediment ecotoxicity,FSETP 100a,0.0002700320382830136
CML 2001 (obsolete),freshwater sediment ecotoxicity,FSETP 20a,0.0002510734185394634
CML 2001 (obsolete),freshwater sediment ecotoxicity,FSETP 500a,0.00027024629334561904
CML 2001 (obsolete),freshwater sediment ecotoxicity,FSETP infinite,0.00027168547440458606
CML 2001 (obsolete),human toxicity,HTP 100a,4.4297693878111286e-05
CML 2001 (obsolete),human toxicity,HTP 20a,4.4104084242803214e-05
CML 2001 (obsolete),human toxicity,HTP 500a,4.4776745024033283e-05
CML 2001 (obsolete),human toxicity,HTP infinite,0.00013290652005758949
CML 2001 (obsolete),ionising radiation,ionising radiation,1.9522858720728946e-12
CML 2001 (obsolete),land use,competition,2.012017550815559e-05
CML 2001 (obsolete),malodours air,malodours air,1.5261399889333702
CML 2001 (obsolete),marine aquatic ecotoxicity,MAETP 100a,0.00043045931641625274
CML 2001 (obsolete),marine aquatic ecotoxicity,MAETP 20a,6.1459738402144e-05
CML 2001 (obsolete),marine aquatic ecotoxicity,MAETP 500a,0.002317396466535209
CML 2001 (obsolete),marine aquatic ecotoxicity,MAETP infinite,0.32027194585520596
CML 2001 (obsolete),marine sediment ecotoxicity,MSETP 100a,0.00046671378962031304
CML 2001 (obsolete),marine sediment ecotoxicity,MSETP 20a,0.00010502707840883469
CML 2001 (obsolete),marine sediment ecotoxicity,MSETP 500a,0.002068036838466098
CML 2001 (obsolete),marine sediment ecotoxicity,MSETP infinite,0.16558002892407653
CML 2001 (obsolete),photochemical oxidation (summer smog),EBIR,1.0397934853066957e-08
CML 2001 (obsolete),photochemical oxidation (summer smog),MIR,5.545630176511656e-09
CML 2001 (obsolete),photochemical oxidation (summer smog),MOIR,8.667915750568909e-09
CML 2001 (obsolete),photochemical oxidation (summer smog),high NOx POCP,3.232585532558741e-08
CML 2001 (obsolete),photochemical oxidation (summer smog),low NOx POCP,9.277576747893802e-09
CML 2001 (obsolete),stratospheric ozone depletion,ODP 10a,1.2363840061519881e-11
CML 2001 (obsolete),stratospheric ozone depletion,ODP 15a,1.162880445640555e-11
CML 2001 (obsolete),stratospheric ozone depletion,ODP 20a,1.1011906682440967e-11
CML 2001 (obsolete),stratospheric ozone depletion,ODP 25a,1.0584653764173149e-11
CML 2001 (obsolete),stratospheric ozone depletion,ODP 30a,1.013590493709486e-11
CML 2001 (obsolete),stratospheric ozone depletion,ODP 40a,9.279327629907882e-12
CML 2001 (obsolete),stratospheric ozone depletion,ODP 5a,1.3092256854531214e-11
CML 2001 (obsolete),stratospheric ozone depletion,ODP steady state,2.0021728657598352e-11
CML 2001 (obsolete),terrestrial ecotoxicity,TAETP 100a,4.218971372070238e-08
CML 2001 (obsolete),terrestrial ecotoxicity,TAETP 20a,1.7657719639136848e-08
CML 2001 (obsolete),terrestrial ecotoxicity,TAETP 500a,1.3612045176570727e-07
CML 2001 (obsolete),terrestrial ecotoxicity,TAETP infinite,7.08500375803676e-07
CML 2001 w/o LT (obsolete),resources w/o LT,depletion of abiotic resources w/o LT,1.2744198760408026e-06
CML 2001 w/o LT (obsolete),acidification potential w/o LT,average European w/o LT,8.216331407897774e-07
CML 2001 w/o LT (obsolete),acidification potential w/o LT,generic w/o LT,8.041136246176351e-07
CML 2001 w/o LT (obsolete),climate change w/o LT,GWP 100a w/o LT,0.00017250650447422485
CML 2001 w/o LT (obsolete),climate change w/o LT,GWP 20a w/o LT,0.00018594409061632546
CML 2001 w/o LT (obsolete),climate change w/o LT,GWP 500a w/o LT,0.00016667083437998817
CML 2001 w/o LT (obsolete),climate change w/o LT,lower limit of net GWP w/o LT,0.00017343057514246612
CML 2001 w/o LT (obsolete),climate change w/o LT,upper limit of net GWP w/o LT,0.00017369847857528307
CML 2001 w/o LT (obsolete),eutrophication potential w/o LT,average European w/o LT,4.6844455507077605e-07
CML 2001 w/o LT (obsolete),eutrophication potential w/o LT,generic w/o LT,1.0891832506868431e-07
CML 2001 w/o LT (obsolete),freshwater aquatic ecotoxicity w/o LT,FAETP 100a w/o LT,7.911817758153982e-07
CML 2001 w/o LT (obsolete),freshwater aquatic ecotoxicity w/o LT,FAETP 20a w/o LT,7.435065745455746e-07
CML 2001 w/o LT (obsolete),freshwater aquatic ecotoxicity w/o LT,FAETP 500a w/o LT,8.754239058861973e-07
CML 2001 w/o LT (obsolete),freshwater aquatic ecotoxicity w/o LT,FAETP infinite w/o LT,1.0739487547539119e-06
CML 2001 w/o LT (obsolete),freshwater sediment ecotoxicity w/o LT,FSETP 100a w/o LT,1.6949366693034716e-06
CML 2001 w/o LT (obsolete),freshwater sediment ecotoxicity w/o LT,FSETP 20a w/o LT,1.5780509291559324e-06
CML 2001 w/o LT (obsolete),freshwater sediment ecotoxicity w/o LT,FSETP 500a w/o LT,1.8943408882925231e-06
CML 2001 w/o LT (obsolete),freshwater sediment ecotoxicity w/o LT,FSETP infinite w/o LT,2.371698812248478e-06
CML 2001 w/o LT (obsolete),human toxicity w/o LT,HTP 100a w/o LT,3.573594316111483e-05
CML 2001 w/o LT (obsolete),human toxicity w/o LT,HTP 20a w/o LT,3.5693068725143074e-05
CML 2001 w/o LT (obsolete),human toxicity w/o LT,HTP 500a w/o LT,3.5840739923963756e-05
CML 2001 w/o LT (obsolete),human toxicity w/o LT,HTP infinite w/o LT,4.874773031398811e-05
CML 2001 w/o LT (obsolete),ionising radiation w/o LT,ionising radiation w/o LT,6.373473549142239e-13
CML 2001 w/o LT (obsolete),land use w/o LT,competition w/o LT,2.012017550815559e-05
CML 2001 w/o LT (obsolete),malodours air w/o LT,malodours air w/o LT,1.5248270339559094
CML 2001 w/o LT (obsolete),marine aquatic ecotoxicity w/o LT,MAETP 100a w/o LT,1.2504177616606472e-05
CML 2001 w/o LT (obsolete),marine aquatic ecotoxicity w/o LT,MAETP 20a w/o LT,2.358544024240697e-06
