Name,type,Water consumption,Household size,Average area,BUURTCODE
Belgisch Park,Buurt,71.41574446327778,1.9512485136741973,131.5629013079667,71
Westbroekpark,Buurt,78.99928386147978,1.9775280898876404,245.53661202185793,73
Duttendel,Buurt,81.4430037964879,2.3118279569892475,245.53661202185793,74
Nassaubuurt,Buurt,82.01852670121278,2.166666666666667,184.08652809853734,48
Uilennest,Buurt,74.15416321207164,1.834061135371179,184.08652809853734,75
Duinzigt,Buurt,74.20584499768782,1.750877192982456,184.08652809853734,76
Waalsdorp,Buurt,81.23026031782952,2.3591331269349847,184.08652809853734,77
Arendsdorp,Buurt,81.34631621131487,2.5096153846153846,184.08652809853734,78
Van Hoytemastraat en omgeving,Buurt,78.23507000261543,2.3024390243902437,184.08652809853734,79
Archipelbuurt,Buurt,77.39706822892505,1.812778603268945,157.2407132243685,46
Van Stolkpark en Scheveningse Bosjes,Buurt,80.7068898578361,2.2686567164179103,259.66567164179105,5
Oud Scheveningen,Buurt,66.25541396608676,1.7859327217125383,114.13602980308674,1
Vissershaven,Buurt,66.59025185794033,1.9777777777777779,114.13602980308674,2
Scheveningen Badplaats,Buurt,68.44423580972168,1.7936772046589018,114.13602980308674,3
Visserijbuurt,Buurt,67.94066518078918,1.8829268292682928,114.13602980308674,4
Rijslag,Buurt,69.86520153133861,1.7988826815642458,114.13602980308674,72
Duindorp,Buurt,66.16258536288561,2.093145869947276,88.49841827768014,100
Statenkwartier,Buurt,76.93142025681877,2.131201764057332,154.63182156133828,7
Geuzenkwartier,Buurt,68.38137962650839,2.0045662100456623,154.63182156133828,8
Zorgvliet,Buurt,83.71961334268086,1.923076923076923,282.62307692307695,41
Stadhoudersplantsoen,Buurt,70.14924439283907,1.7268722466960351,140.82364294330517,42
Sweelinckplein en omgeving,Buurt,72.27826041631546,1.9334442595673877,140.82364294330517,43
Bloemenbuurt-West,Buurt,71.82256948697943,2.1767441860465118,118.2775183455637,50
Bloemenbuurt-Oost,Buurt,68.88265722585987,1.9312406576980568,118.2775183455637,51
Bomenbuurt,Buurt,69.02984658827951,1.9135399673735727,118.2775183455637,52
Vogelwijk,Buurt,80.19271820270274,2.6161369193154034,178.49828850855747,9
Bosjes van Pex,Buurt,72.38916617692172,2.0,111.79928825622775,81
Bohemen en Meer en Bos,Buurt,68.8296433790858,1.718390804597701,111.79928825622775,92
Ockenburgh,Buurt,76.40115592476656,2.741379310344828,162.86478873239437,90
Kijkduin,Buurt,74.53039211572481,2.0,162.86478873239437,91
Kraayenstein,Buurt,72.43888562859502,2.322134387351779,165.89446640316206,97
Houtwijk,Buurt,68.74927434299684,2.2974910394265233,106.42470023980816,86
Kom Loosduinen,Buurt,64.7258241888105,1.8058076225045372,106.42470023980816,95
Waldeck-Zuid,Buurt,65.2964052997939,1.7543103448275863,105.64148067501361,6
Nieuw Waldeck,Buurt,65.5429032959585,2.105109489051095,105.64148067501361,40
Rosenburg,Buurt,65.53976630147008,1.8774193548387097,105.64148067501361,82
Componistenbuurt,Buurt,69.70681712075813,1.7718446601941746,105.64148067501361,93
Waldeck-Noord,Buurt,66.14351986525567,1.563275434243176,105.64148067501361,94
Vruchtenbuurt,Buurt,71.85727635372827,2.2602523659305995,121.32093541202673,53
Eykenduinen,Buurt,69.26738246121322,1.996212121212121,121.32093541202673,83
Heesterbuurt,Buurt,64.8723243577388,1.821954484605087,90.03127530364372,54
Valkenboskwartier,Buurt,64.98833394548235,1.8608624898291295,90.03127530364372,55
Rond de Energiecentrale,Buurt,64.6955960424715,1.810030395136778,96.43868421052632,10
Koningsplein en omgeving,Buurt,67.76199647098454,1.759581881533101,96.43868421052632,44
Zeeheldenkwartier,Buurt,67.73885006427773,1.7117052023121389,100.58468208092485,45
Willemspark,Buurt,74.05581986489148,1.6021505376344085,141.03548387096774,47
Haagse Bos,Buurt,69.68680588104449,1.6346153846153846,138.08846153846153,49
Landen,Buurt,63.8734998811996,1.7868284228769498,100.49727437916414,61
Kampen,Buurt,63.61507432371498,1.6476510067114094,100.49727437916414,67
Marlot,Buurt,84.80654105767027,2.596774193548387,100.49727437916414,68
Burgen en Horsten,Buurt,65.81398426904886,1.7629733520336606,100.49727437916414,69
Bezuidenhout-West,Buurt,63.74796893709617,1.6689976689976689,99.61454357916452,64
Bezuidenhout-Midden,Buurt,72.87241222438769,1.859002169197397,99.61454357916452,65
Bezuidenhout-Oost,Buurt,69.07488627647614,1.7178265014299332,99.61454357916452,66
Huygenspark,Buurt,59.18939494332158,1.4868173258003767,70.9146966854284,18
Rivierenbuurt-Zuid,Buurt,59.10203139505681,1.3821138211382114,70.9146966854284,62
Rivierenbuurt-Noord,Buurt,65.90069893957599,1.7869249394673123,70.9146966854284,63
Kortenbos,Buurt,65.6062204476938,1.6275167785234899,92.71539384246302,11
Voorhout,Buurt,71.61089441350737,1.4186746987951806,92.71539384246302,12
Uilebomen,Buurt,67.24267782971617,1.7142857142857144,92.71539384246302,13
Zuidwal,Buurt,63.435518807661715,1.5249169435215948,92.71539384246302,14
Schildersbuurt-West,Buurt,61.38228573955924,2.354462051709758,85.69883062995096,15
Schildersbuurt-Noord,Buurt,60.95470305054508,2.2718998862343573,85.69883062995096,16
Schildersbuurt-Oost,Buurt,61.293674936073934,2.5235602094240837,85.69883062995096,17
Transvaalkwartier-Noord,Buurt,60.396806577005314,2.098404255319149,85.38697539797396,32
Transvaalkwartier-Midden,Buurt,61.962629678503,2.389021479713604,85.38697539797396,33
Transvaalkwartier-Zuid,Buurt,62.1318937332518,2.469283276450512,85.38697539797396,34
Rustenburg,Buurt,64.11215626581067,1.986970684039088,77.31033351558229,30
Oostbroek-Noord,Buurt,63.496458851288835,2.0408163265306123,77.31033351558229,31
Oostbroek-Zuid,Buurt,62.95379224139404,2.0840879689521348,77.31033351558229,35
Leyenburg,Buurt,65.80572092359526,1.9238709677419354,89.07070967741936,84
"Venen, Oorden en Raden",Buurt,62.56192528953901,2.159748427672956,92.7189591078067,87
"Zijden, Steden en Zichten",Buurt,63.3289404541908,2.10455764075067,92.7189591078067,96
Dreven en Gaarden,Buurt,63.25388671059823,2.187057633973711,92.7189591078067,98
De Uithof,Buurt,64.94236677468804,1.7468354430379747,92.7189591078067,99
Morgenstond-Zuid,Buurt,61.76947222055927,1.9067524115755627,84.2989280245023,80
Morgenstond-West,Buurt,65.54675377268434,2.134005763688761,84.2989280245023,88
Morgenstond-Oost,Buurt,61.659522434853315,1.7320872274143302,84.2989280245023,89
Zuiderpark,Buurt,58.61533679995471,1.3333333333333333,61.141666666666666,36
Moerwijk-Oost,Buurt,59.70944576894884,1.8818443804034581,75.2715877437326,20
Moerwijk-West,Buurt,59.95195719462234,1.9591836734693877,75.2715877437326,37
Moerwijk-Noord,Buurt,62.01484478267393,2.0188133140376268,75.2715877437326,38
Moerwijk-Zuid,Buurt,61.97272820957213,1.9287211740041927,75.2715877437326,39
Groente- en Fruitmarkt,Buurt,63.532252952859565,2.460648148148148,84.22407407407407,21
Laakhaven-Oost,Buurt,60.817666367662966,1.712473572938689,75.54133207368918,19
Laakhaven-West,Buurt,60.02892390495712,1.7745571658615136,75.54133207368918,22
