Name,Detergent
Belgisch Park,102.6930869
Westbroekpark,120.6808526
Duttendel,125.0222794
Nassaubuurt,115.8143359
Uilennest,116.7697143
Duinzigt,118.9629139
Waalsdorp,123.6758145
Arendsdorp,118.5975615
Van Hoytemastraat en omgeving,117.419369
Archipelbuurt,127.176628
Van Stolkpark en Scheveningse Bosjes,125.7911391
Oud Scheveningen,104.572916
Vissershaven,127.5113165
Scheveningen Badplaats,105.8565484
Visserijbuurt,116.3976452
Rijslag,114.9087012
Duindorp,101.0815094
Statenkwartier,121.6834217
Geuzenkwartier,129.8845842
Zorgvliet,106.0178451
Stadhoudersplantsoen,120.9098133
Sweelinckplein en omgeving,122.7508326
Bloemenbuurt-West,124.9762448
Bloemenbuurt-Oost,127.167969
Bomenbuurt,115.7990539
Vogelwijk,119.9570716
Bosjes van Pex,103.055015
Bohemen en Meer en Bos,126.3419624
Ockenburgh,85.33576399
Kijkduin,126.3337652
Kraayenstein,94.11213805
Houtwijk,116.2080042
Kom Loosduinen,117.4804249
Waldeck-Zuid,124.8387861
Nieuw Waldeck,120.433287
Rosenburg,117.4855078
Componistenbuurt,124.509912
Waldeck-Noord,118.1452395
Vruchtenbuurt,121.5154645
Eykenduinen,125.6262837
Heesterbuurt,125.3671178
Valkenboskwartier,113.3466068
Rond de Energiecentrale,94.41595945
Koningsplein en omgeving,114.7776575
Zeeheldenkwartier,72.5179581
Willemspark,101.6325934
Haagse Bos,120.1856523
Landen,118.920907
Kampen,120.4204071
Marlot,94.37323345
Burgen en Horsten,123.070332
Bezuidenhout-West,110.6213623
Bezuidenhout-Midden,116.5887353
Bezuidenhout-Oost,115.2810229
Huygenspark,109.286543
Rivierenbuurt-Zuid,101.2836831
Rivierenbuurt-Noord,96.82479419
Kortenbos,71.61438102
Voorhout,90.8430958
Uilebomen,99.11709143
Zuidwal,93.36198436
Schildersbuurt-West,86.71616402
Schildersbuurt-Noord,97.92270022
Schildersbuurt-Oost,99.26899456
Transvaalkwartier-Noord,108.3533949
Transvaalkwartier-Midden,110.8354246
Transvaalkwartier-Zuid,102.6645463
Rustenburg,105.9205245
Oostbroek-Noord,95.61401108
Oostbroek-Zuid,98.69935437
Leyenburg,114.0360447
"Venen, Oorden en Raden",124.2139842
"Zijden, Steden en Zichten",124.5843384
Dreven en Gaarden,123.3549879
De Uithof,122.4639231
Morgenstond-Zuid,107.6931942
Morgenstond-West,122.6603454
Morgenstond-Oost,108.5078331
Moerwijk-Oost,112.1453505
Moerwijk-West,112.9734485
Moerwijk-Noord,110.1383125
Moerwijk-Zuid,109.3344922
Groente- en Fruitmarkt,110.3887516
Laakhaven-Oost,116.2650454
Laakhaven-West,93.8328915
Spoorwijk,92.12729583
Laakkwartier-West,94.79857032
Laakkwartier-Oost,94.37849736
Noordpolderbuurt,94.57642289
Binckhorst,77.03906173
Erasmus Veld,99.53734693
Hoge Veld,115.3389481
Parkbuurt oosteinde,77.67847046
Lage Veld,89.25128634
Zonne Veld,91.35771488
Vlietzoom-West,100.8497204
Bosweide,89.60020532
De Venen,101.5334214
Morgenweide,86.11992526
Singels,94.40192445
Waterbuurt,85.25471453
De Bras,95.36921568
Vlietzoom-Oost,84.99013126
De Lanen,105.9849473
De Velden,93.15845891
De Vissen,107.7948663
Rietbuurt,103.7159409
