Name,Personalcare
Belgisch Park,147.9147356
Westbroekpark,143.1508568
Duttendel,137.8130492
Nassaubuurt,143.2098833
Uilennest,141.4787498
Duinzigt,142.9402425
Waalsdorp,139.8056018
Arendsdorp,144.308794
Van Hoytemastraat en omgeving,141.2057961
Archipelbuurt,138.2061191
Van Stolkpark en Scheveningse Bosjes,138.8329003
Oud Scheveningen,128.579972
Vissershaven,102.8788667
Scheveningen Badplaats,122.7995456
Visserijbuurt,115.9604109
Rijslag,145.0168228
Duindorp,145.0569383
Statenkwartier,139.1687861
Geuzenkwartier,112.1100065
Zorgvliet,150.162148
Stadhoudersplantsoen,134.7690898
Sweelinckplein en omgeving,130.5380841
Bloemenbuurt-West,134.6379462
Bloemenbuurt-Oost,119.0598361
Bomenbuurt,116.9326849
Vogelwijk,138.8501229
Bosjes van Pex,142.884456
Bohemen en Meer en Bos,123.966467
Ockenburgh,147.0637687
Kijkduin,140.5047731
Kraayenstein,137.8548963
Houtwijk,110.1810581
Kom Loosduinen,106.9241105
Waldeck-Zuid,107.3164711
Nieuw Waldeck,102.0625434
Rosenburg,107.2377206
Componistenbuurt,129.6421404
Waldeck-Noord,116.7054792
Vruchtenbuurt,134.1696028
Eykenduinen,116.8670769
Heesterbuurt,114.3610352
Valkenboskwartier,107.9236252
Rond de Energiecentrale,120.6981068
Koningsplein en omgeving,106.2668566
Zeeheldenkwartier,130.7058056
Willemspark,134.5293552
Haagse Bos,139.755492
Landen,113.4269557
Kampen,109.0006378
Marlot,152.9600233
Burgen en Horsten,113.5495581
Bezuidenhout-West,142.4344715
Bezuidenhout-Midden,128.4190967
Bezuidenhout-Oost,131.5276344
Huygenspark,138.770334
Rivierenbuurt-Zuid,141.0876752
Rivierenbuurt-Noord,125.2660743
Kortenbos,123.9831634
Voorhout,142.2916742
Uilebomen,129.2964846
Zuidwal,128.374052
Schildersbuurt-West,152.5012758
Schildersbuurt-Noord,149.7043283
Schildersbuurt-Oost,149.5937601
Transvaalkwartier-Noord,151.5778936
Transvaalkwartier-Midden,145.2734301
Transvaalkwartier-Zuid,146.6282163
Rustenburg,142.4072623
Oostbroek-Noord,142.2131044
Oostbroek-Zuid,143.3632915
Leyenburg,129.125593
"Venen, Oorden en Raden",143.4270464
"Zijden, Steden en Zichten",143.3556477
Dreven en Gaarden,140.591174
De Uithof,123.8506175
Morgenstond-Zuid,144.0095534
Morgenstond-West,139.4251297
Morgenstond-Oost,143.9856023
Moerwijk-Oost,144.2410545
Moerwijk-West,142.0255723
Moerwijk-Noord,144.4170607
Moerwijk-Zuid,144.005024
Groente- en Fruitmarkt,145.3368953
Laakhaven-Oost,149.7085899
Laakhaven-West,146.256432
Spoorwijk,145.3537759
Laakkwartier-West,144.8879603
Laakkwartier-Oost,145.6160518
Noordpolderbuurt,146.1702849
Binckhorst,150.0147089
Erasmus Veld,117.1727004
Hoge Veld,102.9704613
Parkbuurt oosteinde,154.0982998
Lage Veld,114.7822812
Zonne Veld,128.662866
Vlietzoom-West,145.5158937
Bosweide,153.1668332
De Venen,118.0397097
Morgenweide,129.3907655
Singels,126.9075088
Waterbuurt,114.604464
De Bras,144.7927825
Vlietzoom-Oost,149.1730754
De Lanen,142.339179
De Velden,147.3642233
De Vissen,131.1256797
Rietbuurt,144.6849374
