Name,Clothes
Belgisch Park,17.36411822
Westbroekpark,17.0810502
Duttendel,16.93649117
Nassaubuurt,14.74630719
Uilennest,16.73650914
Duinzigt,16.97967541
Waalsdorp,14.81244404
Arendsdorp,14.76519194
Van Hoytemastraat en omgeving,14.68742178
Archipelbuurt,17.22437518
Van Stolkpark en Scheveningse Bosjes,16.97310429
Oud Scheveningen,16.68993118
Vissershaven,17.08888195
Scheveningen Badplaats,16.63756197
Visserijbuurt,16.66656527
Rijslag,17.28432255
Duindorp,14.42207938
Statenkwartier,15.25581173
Geuzenkwartier,16.4105625
Zorgvliet,16.98242406
Stadhoudersplantsoen,16.82342373
Sweelinckplein en omgeving,17.15963706
Bloemenbuurt-West,17.1132497
Bloemenbuurt-Oost,16.42353056
Bomenbuurt,16.11196786
Vogelwijk,14.94959
Bosjes van Pex,17.6516202
Bohemen en Meer en Bos,17.24843988
Ockenburgh,17.52649058
Kijkduin,17.40333691
Kraayenstein,17.33665199
Houtwijk,17.13964791
Kom Loosduinen,16.93291946
Waldeck-Zuid,17.12212546
Nieuw Waldeck,16.76031267
Rosenburg,16.92667975
Componistenbuurt,17.3861983
Waldeck-Noord,16.67235982
Vruchtenbuurt,15.25224674
Eykenduinen,16.59562922
Heesterbuurt,16.13998686
Valkenboskwartier,15.90407268
Rond de Energiecentrale,16.12084446
Koningsplein en omgeving,16.05316433
Zeeheldenkwartier,16.40290105
Willemspark,17.36462048
Haagse Bos,16.98298548
Landen,16.57270885
Kampen,16.66991915
Marlot,14.7839858
Burgen en Horsten,16.54161535
Bezuidenhout-West,16.08973317
Bezuidenhout-Midden,16.77116996
Bezuidenhout-Oost,17.03520014
Huygenspark,16.60745937
Rivierenbuurt-Zuid,16.6917852
Rivierenbuurt-Noord,16.10892604
Kortenbos,16.36011377
Voorhout,17.16660891
Uilebomen,16.48592579
Zuidwal,16.38986153
Schildersbuurt-West,13.05121568
Schildersbuurt-Noord,13.63535205
Schildersbuurt-Oost,13.63308741
Transvaalkwartier-Noord,13.70265491
Transvaalkwartier-Midden,13.16711208
Transvaalkwartier-Zuid,12.84794455
Rustenburg,16.01651248
Oostbroek-Noord,15.96875293
Oostbroek-Zuid,13.53386691
Leyenburg,16.68021454
"Venen, Oorden en Raden",14.06329835
"Zijden, Steden en Zichten",14.35737034
Dreven en Gaarden,14.11064208
De Uithof,16.23516299
Morgenstond-Zuid,13.96336546
Morgenstond-West,14.46764261
Morgenstond-Oost,16.08783873
Moerwijk-Oost,13.86125467
Moerwijk-West,13.85718545
Moerwijk-Noord,13.95631491
Moerwijk-Zuid,13.32131165
Groente- en Fruitmarkt,13.47709384
Laakhaven-Oost,16.62730876
Laakhaven-West,15.63530405
Spoorwijk,13.55401872
Laakkwartier-West,15.63554159
Laakkwartier-Oost,15.98423617
Noordpolderbuurt,15.55639653
Binckhorst,16.26191112
Erasmus Veld,16.75918615
Hoge Veld,13.86728798
Parkbuurt oosteinde,16.64036376
Lage Veld,16.36790021
Zonne Veld,13.73956802
Vlietzoom-West,17.2236699
Bosweide,13.98492685
De Venen,13.66593346
Morgenweide,14.35654423
Singels,13.8707262
Waterbuurt,14.35350006
De Bras,14.56237161
Vlietzoom-Oost,17.35504791
De Lanen,14.48593927
De Velden,14.37117945
De Vissen,14.74886126
Rietbuurt,14.32274223
