Name,Paper
Belgisch Park,35.6265477
Westbroekpark,39.38494672
Duttendel,35.6100212
Nassaubuurt,36.06304572
Uilennest,35.40438237
Duinzigt,39.38494672
Waalsdorp,36.02738744
Arendsdorp,37.17421999
Van Hoytemastraat en omgeving,36.74877209
Archipelbuurt,38.82645818
Van Stolkpark en Scheveningse Bosjes,35.11225095
Oud Scheveningen,34.22805911
Vissershaven,25.25311053
Scheveningen Badplaats,34.17530518
Visserijbuurt,33.95130358
Rijslag,39.57417523
Duindorp,28.64955062
Statenkwartier,36.2666518
Geuzenkwartier,33.92058838
Zorgvliet,40.19180911
Stadhoudersplantsoen,35.43561412
Sweelinckplein en omgeving,33.67175802
Bloemenbuurt-West,38.62346262
Bloemenbuurt-Oost,34.88226506
Bomenbuurt,33.25476687
Vogelwijk,39.15534199
Bosjes van Pex,42.26713182
Bohemen en Meer en Bos,38.80894732
Ockenburgh,42.8344143
Kijkduin,41.93807776
Kraayenstein,39.06623608
Houtwijk,32.81904832
Kom Loosduinen,34.47757047
Waldeck-Zuid,34.46334429
Nieuw Waldeck,28.28993365
Rosenburg,34.34861846
Componistenbuurt,39.45804294
Waldeck-Noord,38.75440379
Vruchtenbuurt,36.29050468
Eykenduinen,38.3920542
Heesterbuurt,21.36153172
Valkenboskwartier,21.56366446
Rond de Energiecentrale,32.40262755
Koningsplein en omgeving,34.03332839
Zeeheldenkwartier,39.95764619
Willemspark,39.49574215
Haagse Bos,39.51487067
Landen,22.66469521
Kampen,23.39613212
Marlot,36.77699273
Burgen en Horsten,25.50484011
Bezuidenhout-West,23.2573191
Bezuidenhout-Midden,35.08073214
Bezuidenhout-Oost,38.94368859
Huygenspark,33.97456532
Rivierenbuurt-Zuid,34.11434971
Rivierenbuurt-Noord,23.63968399
Kortenbos,38.71650304
Voorhout,40.26535819
Uilebomen,39.0927443
Zuidwal,32.8857636
Schildersbuurt-West,29.59268361
Schildersbuurt-Noord,29.38144495
Schildersbuurt-Oost,29.1803165
Transvaalkwartier-Noord,28.1803004
Transvaalkwartier-Midden,25.77255146
Transvaalkwartier-Zuid,27.57078413
Rustenburg,24.31027814
Oostbroek-Noord,24.30565876
Oostbroek-Zuid,25.76586938
Leyenburg,27.56443039
"Venen, Oorden en Raden",25.70537247
"Zijden, Steden en Zichten",26.55397717
Dreven en Gaarden,27.16836795
De Uithof,33.07661749
Morgenstond-Zuid,25.94333228
Morgenstond-West,23.63672373
Morgenstond-Oost,24.8901421
Moerwijk-Oost,26.18602908
Moerwijk-West,26.04330396
Moerwijk-Noord,25.94022274
Moerwijk-Zuid,24.55504394
Groente- en Fruitmarkt,27.14585816
Laakhaven-Oost,26.12438844
Laakhaven-West,25.28259309
Spoorwijk,26.71919834
Laakkwartier-West,24.25871672
Laakkwartier-Oost,24.19209241
Noordpolderbuurt,25.59731902
Binckhorst,35.44706942
Erasmus Veld,38.31639386
Hoge Veld,34.99800884
Parkbuurt oosteinde,40.14758571
Lage Veld,38.87855941
Zonne Veld,39.31999178
Vlietzoom-West,39.01635585
Bosweide,40.25468768
De Venen,35.82150497
Morgenweide,37.02588185
Singels,39.47997275
Waterbuurt,34.89118231
De Bras,40.0553574
Vlietzoom-Oost,42.91225725
De Lanen,36.834972
De Velden,40.10426821
De Vissen,40.00093157
Rietbuurt,37.85816293
