Name,car km per capita
Belgisch Park,19.97303625
Westbroekpark,18.42279242
Duttendel,19.29336056
Nassaubuurt,19.88847996
Uilennest,20.26964053
Duinzigt,18.30611826
Waalsdorp,19.11903412
Arendsdorp,18.95982292
Van Hoytemastraat en omgeving,19.98840286
Archipelbuurt,20.72097168
Van Stolkpark en Scheveningse Bosjes,19.19880646
Oud Scheveningen,21.77772847
Vissershaven,20.47654917
Scheveningen Badplaats,21.3397898
Visserijbuurt,20.36366248
Rijslag,20.18663139
Duindorp,20.78544598
Statenkwartier,20.02757826
Geuzenkwartier,20.50504686
Zorgvliet,20.2893055
Stadhoudersplantsoen,20.8475945
Sweelinckplein en omgeving,21.25945306
Bloemenbuurt-West,19.89517156
Bloemenbuurt-Oost,20.44788577
Bomenbuurt,20.59972147
Vogelwijk,18.99874397
Bosjes van Pex,20.56614078
Bohemen en Meer en Bos,19.98415535
Ockenburgh,20.43409909
Kijkduin,19.68621407
Kraayenstein,20.79563946
Kerketuinen en Zichtenburg,31.47435
Houtwijk,20.28787189
Kom Loosduinen,20.18671152
Waldeck-Zuid,19.73456473
Nieuw Waldeck,20.19877288
Rosenburg,20.30996384
Componistenbuurt,20.11421113
Waldeck-Noord,19.11054607
Vruchtenbuurt,20.26549273
Eykenduinen,21.04906243
Heesterbuurt,21.391906
Valkenboskwartier,21.75102756
Rond de Energiecentrale,21.88143525
Koningsplein en omgeving,22.02052799
Zeeheldenkwartier,22.05130801
Willemspark,22.19024445
Haagse Bos,21.36752727
Landen,20.64538701
Kampen,21.29044095
Marlot,19.02198233
Burgen en Horsten,20.56415428
Bezuidenhout-West,19.83722174
Bezuidenhout-Midden,21.15645689
Bezuidenhout-Oost,22.23980139
Huygenspark,19.91291839
Rivierenbuurt-Zuid,22.247109
Rivierenbuurt-Noord,21.735702
Kortenbos,21.9985035
Voorhout,23.04327027
Uilebomen,22.72466484
Zuidwal,22.67744089
Schildersbuurt-West,20.05435916
Schildersbuurt-Noord,19.84347022
Schildersbuurt-Oost,19.63060636
Transvaalkwartier-Noord,20.33719957
Transvaalkwartier-Midden,19.69538175
Transvaalkwartier-Zuid,20.19861015
Rustenburg,21.36940679
Oostbroek-Noord,21.50142998
Oostbroek-Zuid,20.93247309
Leyenburg,20.89829534
"Venen, Oorden en Raden",19.89902033
"Zijden, Steden en Zichten",20.31894703
Dreven en Gaarden,19.66121985
De Uithof,18.92226208
Morgenstond-Zuid,21.00480511
Morgenstond-West,20.27394391
Morgenstond-Oost,21.15564668
Zuiderpark,18.62003979
Moerwijk-Oost,20.77928251
Moerwijk-West,20.28759445
Moerwijk-Noord,20.6678885
Moerwijk-Zuid,20.40366609
Groente- en Fruitmarkt,20.23447834
Laakhaven-Oost,20.16949251
Laakhaven-West,20.54496296
Spoorwijk,20.13659308
Laakkwartier-West,21.25639742
Laakkwartier-Oost,21.27528713
Noordpolderbuurt,20.67866227
Binckhorst,27.09233
Erasmus Veld,19.95858871
Hoge Veld,19.26559376
Parkbuurt oosteinde,20.47955632
Lage Veld,20.39894908
Zonne Veld,20.29756925
Vlietzoom-West,20.23867409
De Reef,24.11047727
Bosweide,19.53456387
De Venen,20.70782453
Morgenweide,20.07353889
Singels,20.29379395
Waterbuurt,20.25711127
De Bras,19.1985629
Vlietzoom-Oost,22.16854875
De Rivieren,23.9570625
De Lanen,19.5703855
De Velden,20.37740341
De Vissen,20.07175881
Rietbuurt,19.18935384
