Name,GWP footwear
Belgisch Park,6.589575619
Westbroekpark,7.453180042
Duttendel,7.464504372
Nassaubuurt,6.374992156
Uilennest,7.183060291
Duinzigt,7.119708842
Waalsdorp,6.004974086
Arendsdorp,6.037370641
Van Hoytemastraat en omgeving,6.011906866
Archipelbuurt,7.507200315
Van Stolkpark en Scheveningse Bosjes,7.115272835
Oud Scheveningen,6.495189608
Vissershaven,5.911515622
Scheveningen Badplaats,6.453424719
Visserijbuurt,6.441366075
Rijslag,5.991154546
Duindorp,5.957690653
Statenkwartier,7.093825858
Geuzenkwartier,7.23663235
Zorgvliet,6.278239406
Stadhoudersplantsoen,6.600554781
Sweelinckplein en omgeving,6.620493241
Bloemenbuurt-West,6.127468767
Bloemenbuurt-Oost,6.734950487
Bomenbuurt,6.719192797
Vogelwijk,6.525057731
Bosjes van Pex,6.674056271
Bohemen en Meer en Bos,6.450039599
Ockenburgh,7.934686075
Kijkduin,7.536990872
Kraayenstein,5.168572684
Houtwijk,5.787159596
Kom Loosduinen,6.470327564
Waldeck-Zuid,6.505051892
Nieuw Waldeck,5.881833205
Rosenburg,6.527625036
Componistenbuurt,6.569839205
Waldeck-Noord,6.436270701
Vruchtenbuurt,6.553367636
Eykenduinen,6.855617048
Heesterbuurt,5.920319102
Valkenboskwartier,6.548864896
Rond de Energiecentrale,8.024899942
Koningsplein en omgeving,7.682633146
Zeeheldenkwartier,8.034875027
Willemspark,7.719225926
Haagse Bos,6.452038077
Landen,5.900712353
Kampen,6.315262246
Marlot,4.844403328
Burgen en Horsten,6.584908926
Bezuidenhout-West,7.931122501
Bezuidenhout-Midden,7.111026042
Bezuidenhout-Oost,7.663657808
Huygenspark,6.436131064
Rivierenbuurt-Zuid,6.541516761
Rivierenbuurt-Noord,6.522041668
Kortenbos,7.138902379
Voorhout,7.073022135
Uilebomen,6.845307903
Zuidwal,7.075529909
Schildersbuurt-West,6.294500852
Schildersbuurt-Noord,6.348110099
Schildersbuurt-Oost,6.345010936
Transvaalkwartier-Noord,6.83060597
Transvaalkwartier-Midden,6.395236801
Transvaalkwartier-Zuid,6.254529614
Rustenburg,5.961268926
Oostbroek-Noord,5.939254302
Oostbroek-Zuid,5.593160618
Leyenburg,6.723655735
"Venen, Oorden en Raden",4.629324827
"Zijden, Steden en Zichten",4.871317589
Dreven en Gaarden,4.884232122
De Uithof,6.337817313
Morgenstond-Zuid,5.779131982
Morgenstond-West,5.15533221
Morgenstond-Oost,6.032406597
Moerwijk-Oost,4.886152961
Moerwijk-West,4.767858449
Moerwijk-Noord,4.895111057
Moerwijk-Zuid,4.938831611
Groente- en Fruitmarkt,4.615030431
Laakhaven-Oost,6.792557734
Laakhaven-West,6.024893561
Spoorwijk,4.75444044
Laakkwartier-West,6.120236324
Laakkwartier-Oost,6.086431553
Noordpolderbuurt,6.105598345
Binckhorst,7.956991043
Erasmus Veld,6.502580909
Hoge Veld,4.884525995
Parkbuurt oosteinde,5.735277975
Lage Veld,5.830064676
Zonne Veld,4.736251747
Vlietzoom-West,6.273286569
Bosweide,4.734707077
De Venen,4.871471776
Morgenweide,4.849068793
Singels,4.783372963
Waterbuurt,4.823084674
De Bras,4.817164039
Vlietzoom-Oost,6.591338678
De Lanen,4.899710296
De Velden,4.912528166
De Vissen,4.920455301
Rietbuurt,4.990746878
