Name,GWP personal care
Belgisch Park,75.84328066
Westbroekpark,73.40060183
Duttendel,70.663641
Nassaubuurt,73.43086767
Uilennest,72.54322895
Duinzigt,73.29260937
Waalsdorp,71.68532232
Arendsdorp,73.9943341
Van Hoytemastraat en omgeving,72.40327195
Archipelbuurt,70.86518756
Van Stolkpark en Scheveningse Bosjes,71.18656964
Oud Scheveningen,65.92938064
Vissershaven,52.75113892
Scheveningen Badplaats,62.96546701
Visserijbuurt,59.45870067
Rijslag,74.35737587
Duindorp,74.3779451
Statenkwartier,71.35879508
Geuzenkwartier,57.48440581
Zorgvliet,76.9956414
Stadhoudersplantsoen,69.10285081
Sweelinckplein en omgeving,66.93340262
Bloemenbuurt-West,69.03560691
Bloemenbuurt-Oost,61.04793098
Bomenbuurt,59.95723416
Vogelwijk,71.19540053
Bosjes van Pex,73.26400481
Bohemen en Meer en Bos,63.56380594
Ockenburgh,75.40694739
Kijkduin,72.0438224
Kraayenstein,70.68509807
Houtwijk,56.49533753
Kom Loosduinen,54.82533768
Waldeck-Zuid,55.02652056
Nieuw Waldeck,52.33256915
Rosenburg,54.98614124
Componistenbuurt,66.4740075
Waldeck-Noord,59.84073448
Vruchtenbuurt,68.79546381
Eykenduinen,59.92359368
Heesterbuurt,58.63862079
Valkenboskwartier,55.33783884
Rond de Energiecentrale,61.88795428
Koningsplein en omgeving,54.48833072
Zeeheldenkwartier,67.01940181
Willemspark,68.97992689
Haagse Bos,71.65962854
Landen,58.15967155
Kampen,55.89007702
Marlot,78.43025193
Burgen en Horsten,58.22253591
Bezuidenhout-West,73.03327529
Bezuidenhout-Midden,65.84689185
Bezuidenhout-Oost,67.44079454
Huygenspark,71.15448878
Rivierenbuurt-Zuid,72.34270546
Rivierenbuurt-Noord,64.23017959
Kortenbos,63.57236702
Voorhout,72.96005594
Uilebomen,66.29677246
Zuidwal,65.82379518
Schildersbuurt-West,78.19502916
Schildersbuurt-Noord,76.76089432
Schildersbuurt-Oost,76.70420051
Transvaalkwartier-Noord,77.72156496
Transvaalkwartier-Midden,74.48895131
Transvaalkwartier-Zuid,75.18361792
Rustenburg,73.01932373
Oostbroek-Noord,72.91976928
Oostbroek-Zuid,73.5095277
Leyenburg,66.20914782
"Venen, Oorden en Raden",73.54221803
"Zijden, Steden en Zichten",73.50560838
Dreven en Gaarden,72.08812447
De Uithof,63.50440414
Morgenstond-Zuid,73.84089851
Morgenstond-West,71.49023528
Morgenstond-Oost,73.8286176
Moerwijk-Oost,73.95960069
Moerwijk-West,72.8236122
Moerwijk-Noord,74.0498479
Moerwijk-Zuid,73.83857604
Groente- en Fruitmarkt,74.52149305
Laakhaven-Oost,76.7630795
Laakhaven-West,74.99298552
Spoorwijk,74.5301486
Laakkwartier-West,74.29130163
Laakkwartier-Oost,74.66463057
Noordpolderbuurt,74.94881357
Binckhorst,76.92004199
Erasmus Veld,60.08030214
Hoge Veld,52.79810401
Parkbuurt oosteinde,79.01390322
Lage Veld,58.85461467
Zonne Veld,65.97188454
Vlietzoom-West,74.61327448
Bosweide,78.53629373
De Venen,60.52486116
Morgenweide,66.345115
Singels,65.07182513
Waterbuurt,58.76343893
De Bras,74.24249925
Vlietzoom-Oost,76.48849442
De Lanen,72.98441405
De Velden,75.56100552
De Vissen,67.23469229
Rietbuurt,74.18720164
