Name,GWP clothes
Belgisch Park,208.7687933
Westbroekpark,205.3654665
Duttendel,203.6274333
Nassaubuurt,177.2948514
Uilennest,201.2230494
Duinzigt,204.1466374
Waalsdorp,178.0900147
Arendsdorp,177.5219027
Van Hoytemastraat en omgeving,176.5868721
Archipelbuurt,207.0886628
Van Stolkpark en Scheveningse Bosjes,204.0676328
Oud Scheveningen,200.6630426
Vissershaven,205.4596277
Scheveningen Badplaats,200.0334076
Visserijbuurt,200.3821143
Rijslag,207.80941
Duindorp,173.3966604
Statenkwartier,183.4206244
Geuzenkwartier,197.3041929
Zorgvliet,204.1796845
Stadhoudersplantsoen,202.2680235
Sweelinckplein en omgeving,206.3103164
Bloemenbuurt-West,205.7526012
Bloemenbuurt-Oost,197.460108
Bomenbuurt,193.7141895
Vogelwijk,179.7389205
Bosjes van Pex,212.2254296
Bohemen en Meer en Bos,207.3779927
Ockenburgh,210.7209962
Kijkduin,209.2403197
Kraayenstein,208.4385669
Houtwijk,206.0699868
Kom Loosduinen,203.5844907
Waldeck-Zuid,205.8593145
Nieuw Waldeck,201.5092392
Rosenburg,203.5094707
Componistenbuurt,209.0342622
Waldeck-Noord,200.4517821
Vruchtenbuurt,183.3777626
Eykenduinen,199.5292501
Heesterbuurt,194.051062
Valkenboskwartier,191.2146658
Rond de Energiecentrale,193.820913
Koningsplein en omgeving,193.0071948
Zeeheldenkwartier,197.2120794
Willemspark,208.7748321
Haagse Bos,204.1864345
Landen,199.2536785
Kampen,200.4224379
Marlot,177.7478612
Burgen en Horsten,198.8798414
Bezuidenhout-West,193.4468619
Bezuidenhout-Midden,201.6397764
Bezuidenhout-Oost,204.8142113
Huygenspark,199.671484
Rivierenbuurt-Zuid,200.6853334
Rivierenbuurt-Noord,193.6776178
Kortenbos,196.6976479
Voorhout,206.3941389
Uilebomen,198.2102858
Zuidwal,197.0553051
Schildersbuurt-West,156.9147661
Schildersbuurt-Noord,163.9378376
Schildersbuurt-Oost,163.91061
Transvaalkwartier-Noord,164.74702
Transvaalkwartier-Midden,158.3081885
Transvaalkwartier-Zuid,154.4708373
Rustenburg,192.5665295
Oostbroek-Noord,191.9923165
Oostbroek-Zuid,162.7176818
Leyenburg,200.5462194
"Venen, Oorden en Raden",169.0830361
"Zijden, Steden en Zichten",172.6186637
Dreven en Gaarden,169.6522498
De Uithof,195.1953646
Morgenstond-Zuid,167.8815429
Morgenstond-West,173.9444671
Morgenstond-Oost,193.4240851
Moerwijk-Oost,166.6538649
Moerwijk-West,166.6049407
Moerwijk-Noord,167.7967742
Moerwijk-Zuid,160.16213
Groente- en Fruitmarkt,162.0350992
Laakhaven-Oost,199.9101333
Laakhaven-West,187.9832606
Spoorwijk,162.959967
Laakkwartier-West,187.9861165
Laakkwartier-Oost,192.1784715
Noordpolderbuurt,187.0345555
Binckhorst,195.5169574
Erasmus Veld,201.4956951
Hoge Veld,166.7264034
Parkbuurt oosteinde,200.0670935
Lage Veld,196.7912642
Zonne Veld,165.1908263
Vlietzoom-West,207.0801832
Bosweide,168.1407756
De Venen,164.305518
Morgenweide,172.6087313
Singels,166.7677411
Waterbuurt,172.5721312
De Bras,175.0833939
Vlietzoom-Oost,208.6597411
De Lanen,174.1644479
De Velden,172.7846905
De Vissen,177.3255589
Rietbuurt,172.2023299
