Name,Gas
Bosweide,0
Morgenweide,0
Binckhorst,1.42677095
De Venen,3.582700855
De Bras,4.468625108
Waterbuurt,10.55170681
Hoge Veld,18.70483823
Uilebomen,59.91533332
Singels,60.71972832
Bezuidenhout-West,76.51059217
Spoorwijk,72.33270968
Erasmus Veld,86.15261252
De Lanen,92.13890012
De Velden,99.27818008
Duindorp,98.14127286
Lage Veld,100.7846721
De Vissen,102.0330958
Rietbuurt,98.79738657
Rivierenbuurt-Noord,104.0849539
Laakhaven-Oost,97.26281482
Morgenstond-West,101.4655179
Zonne Veld,103.3535465
Schildersbuurt-Oost,104.5031535
Parkbuurt oosteinde,119.7205079
Schildersbuurt-Noord,111.1915193
Houtwijk,120.8274571
Transvaalkwartier-Midden,112.7122558
Zuidwal,123.789037
Leyenburg,124.0914822
Moerwijk-Oost,120.9621807
Rond de Energiecentrale,131.8961276
Schildersbuurt-West,121.440904
Dreven en Gaarden,125.6592399
Moerwijk-Zuid,125.2187217
Kortenbos,138.1589443
Transvaalkwartier-Zuid,124.7876268
Laakhaven-West,128.2753829
Groente- en Fruitmarkt,127.4818589
Moerwijk-West,131.77325
Vissershaven,143.1667416
"Zijden, Steden en Zichten",131.9042038
Waldeck-Noord,159.8182857
Transvaalkwartier-Noord,129.6451813
Kom Loosduinen,147.5771819
Nieuw Waldeck,143.7378918
Kraayenstein,148.2360375
Rosenburg,155.2556701
Huygenspark,140.0306523
Waldeck-Zuid,153.491656
Landen,147.5911154
Willemspark,161.1384161
Morgenstond-Zuid,141.2202226
Morgenstond-Oost,144.2421583
"Venen, Oorden en Raden",141.3868375
Haagse Bos,168.1276236
Noordpolderbuurt,146.5258958
Burgen en Horsten,163.7597073
Geuzenkwartier,177.2592984
Moerwijk-Noord,154.0073061
Rustenburg,157.8724852
Zeeheldenkwartier,171.9081064
Vruchtenbuurt,174.4017641
Oud Scheveningen,174.0894247
Zorgvliet,183.32704
Heesterbuurt,169.1238736
Bloemenbuurt-Oost,178.2398266
Eykenduinen,180.7823909
Bloemenbuurt-West,186.1936752
Zuiderpark,214.446
Laakkwartier-West,166.2578504
Kampen,180.2760407
Stadhoudersplantsoen,199.3337959
Oostbroek-Noord,167.30952
Oostbroek-Zuid,167.8316872
Laakkwartier-Oost,170.3152562
Bohemen en Meer en Bos,205.1640401
De Uithof,195.4666087
Belgisch Park,194.907003
Kijkduin,212.364
Bosjes van Pex,199.872
Bezuidenhout-Oost,195.5354628
Bezuidenhout-Midden,197.112196
Bomenbuurt,197.2971594
Visserijbuurt,197.5562694
Componistenbuurt,205.2414685
Voorhout,201.5458514
Uilennest,219.4692381
Scheveningen Badplaats,201.1956215
Archipelbuurt,220.5145181
Valkenboskwartier,198.4069226
Arendsdorp,224.5475556
Sweelinckplein en omgeving,222.545852
Van Hoytemastraat en omgeving,221.8447458
Van Stolkpark en Scheveningse Bosjes,241.055421
Waalsdorp,228.2804619
Statenkwartier,225.3414051
Rijslag,219.1315776
Vogelwijk,232.3823327
Ockenburgh,231.8920252
Koningsplein en omgeving,224.0259485
Westbroekpark,270.9281363
Nassaubuurt,258.8086154
Duttendel,270.175814
Duinzigt,286.9738677
Vlietzoom-West,280.376
Rivierenbuurt-Zuid,255.0817412
Marlot,284.3589565
Vlietzoom-Oost,313.5492
