Name,Train
Belgisch Park,95.64621963
Westbroekpark,99.01421032
Duttendel,95.12554424
Nassaubuurt,91.27289647
Uilennest,92.12958107
Duinzigt,99.15295956
Waalsdorp,89.98451344
Arendsdorp,91.94866323
Van Hoytemastraat en omgeving,89.17181097
Archipelbuurt,92.91268304
Van Stolkpark en Scheveningse Bosjes,95.05409236
Oud Scheveningen,90.84564204
Vissershaven,91.61194955
Scheveningen Badplaats,92.37657212
Visserijbuurt,93.30010953
Rijslag,95.26146514
Duindorp,90.01498646
Statenkwartier,91.97091846
Geuzenkwartier,92.79099113
Zorgvliet,93.65127477
Stadhoudersplantsoen,91.99819669
Sweelinckplein en omgeving,91.29212147
Bloemenbuurt-West,92.19723874
Bloemenbuurt-Oost,92.13426599
Bomenbuurt,91.93201348
Vogelwijk,91.41481955
Bosjes van Pex,94.68498245
Bohemen en Meer en Bos,95.59750437
Ockenburgh,95.49204865
Kijkduin,96.77426127
Kraayenstein,90.80493694
Kerketuinen en Zichtenburg,81.33864817
Houtwijk,92.88855229
Kom Loosduinen,94.35287523
Waldeck-Zuid,94.48444116
Nieuw Waldeck,92.77346561
Rosenburg,95.10342443
Componistenbuurt,95.87328339
Waldeck-Noord,98.70820721
Vruchtenbuurt,91.02488525
Eykenduinen,90.95795506
Heesterbuurt,91.60764724
Valkenboskwartier,92.49528415
Rond de Energiecentrale,93.41881898
Koningsplein en omgeving,91.75390695
Zeeheldenkwartier,93.61414452
Willemspark,92.77201718
Haagse Bos,95.68913387
Landen,92.3962111
Kampen,91.5217462
Marlot,92.60889637
Burgen en Horsten,92.95568737
Bezuidenhout-West,100.7121982
Bezuidenhout-Midden,91.10785665
Bezuidenhout-Oost,91.81721234
Huygenspark,105.7447472
Rivierenbuurt-Zuid,101.954331
Rivierenbuurt-Noord,93.98694957
Kortenbos,93.8823917
Voorhout,96.28500674
Uilebomen,90.86420248
Zuidwal,94.70004036
Schildersbuurt-West,93.68326401
Schildersbuurt-Noord,93.20897629
Schildersbuurt-Oost,94.07915411
Transvaalkwartier-Noord,93.79611792
Transvaalkwartier-Midden,91.45507782
Transvaalkwartier-Zuid,92.5420759
Rustenburg,91.48115076
Oostbroek-Noord,91.75261516
Oostbroek-Zuid,92.40663943
Leyenburg,93.39618375
"Venen, Oorden en Raden",91.74862451
"Zijden, Steden en Zichten",90.5747454
Dreven en Gaarden,92.64685589
De Uithof,96.04837761
Morgenstond-Zuid,90.54042449
Morgenstond-West,91.58465499
Morgenstond-Oost,91.04259666
Zuiderpark,96.27048522
Moerwijk-Oost,91.00795989
Moerwijk-West,90.32485616
Moerwijk-Noord,91.51787177
Moerwijk-Zuid,91.10946478
Groente- en Fruitmarkt,93.15721977
Laakhaven-Oost,100.2345641
Laakhaven-West,95.55962865
Spoorwijk,91.46710799
Laakkwartier-West,92.27055603
Laakkwartier-Oost,93.15820036
Noordpolderbuurt,94.57377793
Binckhorst,95.05665473
Erasmus Veld,94.49027826
Hoge Veld,88.76564046
Parkbuurt oosteinde,91.68950047
Lage Veld,91.48361688
Zonne Veld,90.86178193
Vlietzoom-West,89.49999983
De Reef,122.3142114
Bosweide,90.75700757
De Venen,88.33946905
Morgenweide,90.28985941
Singels,91.32262172
Waterbuurt,90.03975082
De Bras,88.12268513
Vlietzoom-Oost,103.0268111
De Rivieren,95.26757064
De Lanen,87.49310671
De Velden,90.55319455
De Vissen,91.61812399
Rietbuurt,85.53680912
