Name,Household_size,GWP per capita,GWP per household
Belgisch Park,1.9,-274.3282766,-521.2237255
Westbroekpark,1.9,-263.7283523,-501.0838694
Duttendel,2.1,-283.7463851,-595.8674087
Nassaubuurt,2.2,-270.3097161,-594.6813754
Uilennest,1.8,-279.3050295,-502.7490531
Duinzigt,1.7,-295.7347372,-502.7490532
Waalsdorp,2.4,-275.9712928,-662.3311027
Arendsdorp,2.3,-259.3259389,-596.4496595
Van Hoytemastraat en omgeving,2.3,-269.274787,-619.3320101
Archipelbuurt,1.8,-278.4157812,-501.1484062
Van Stolkpark en Scheveningse Bosjes,2,-295.3767339,-590.7534678
Oud Scheveningen,1.8,-292.2720153,-526.0896275
Vissershaven,1.9,-266.0719848,-505.5367711
Scheveningen Badplaats,1.8,-293.4812916,-528.2663249
Visserijbuurt,1.9,-266.5531279,-506.450943
Rijslag,1.8,-280.8859274,-505.5946693
Duindorp,2.1,-386.8427276,-812.369728
Statenkwartier,2.1,-280.3366122,-588.7068856
Geuzenkwartier,2,-293.7760868,-587.5521736
Zorgvliet,1.9,-281.4205722,-534.6990872
Stadhoudersplantsoen,1.7,-294.79318,-501.148406
Sweelinckplein en omgeving,1.9,-269.2322768,-511.5413259
Bloemenbuurt-West,2.1,-286.5113884,-601.6739156
Bloemenbuurt-Oost,1.9,-267.1444418,-507.5744394
Bomenbuurt,1.9,-267.1444418,-507.5744394
Vogelwijk,2.6,-248.27049,-645.503274
Bosjes van Pex,2,-299.009196,-598.018392
Bohemen en Meer en Bos,1.7,-299.3626813,-508.9165582
Ockenburgh,2.2,-279.4388747,-614.7655243
Kijkduin,2,-294.0766043,-588.1532086
Kraayenstein,2.2,-285.5478881,-628.2053538
Houtwijk,2.2,-302.8462403,-666.2617287
Kom Loosduinen,1.7,-312.9552929,-532.0239979
Waldeck-Zuid,1.8,-291.4895412,-524.6811742
Nieuw Waldeck,2.1,-304.971585,-640.4403285
Rosenburg,1.7,-308.6359848,-524.6811742
Componistenbuurt,1.8,-291.4895412,-524.6811742
Waldeck-Noord,1.5,-349.7874495,-524.6811743
Vruchtenbuurt,2.2,-276.728279,-608.8022138
Eykenduinen,2,-297.7770883,-595.5541766
Heesterbuurt,1.8,-281.2765865,-506.2978557
Valkenboskwartier,1.8,-291.2635999,-524.2744798
Rond de Energiecentrale,1.8,-285.7526635,-514.3547943
Koningsplein en omgeving,1.8,-284.351591,-511.8328638
Zeeheldenkwartier,1.7,-301.5124781,-512.5712128
Willemspark,1.6,-327.2356971,-523.5771154
Haagse Bos,1.4,-372.2823656,-521.1953118
Landen,1.7,-294.1990414,-500.1383704
Kampen,1.6,-323.6736998,-517.8779197
Marlot,2.6,-272.3998458,-708.2395991
Burgen en Horsten,1.7,-303.0628777,-515.2068921
Bezuidenhout-West,1.7,-287.7880214,-489.2396364
Bezuidenhout-Midden,1.9,-263.8821577,-501.3760996
Bezuidenhout-Oost,1.7,-293.7420419,-499.3614712
Huygenspark,1.5,-315.3700643,-473.0550965
Rivierenbuurt-Zuid,1.4,-343.9023543,-481.463296
Rivierenbuurt-Noord,1.8,-299.2555038,-538.6599068
Kortenbos,1.6,-323.6041426,-517.7666282
Voorhout,1.4,-376.3717711,-526.9204795
Uilebomen,1.7,-309.9532233,-526.9204796
Zuidwal,1.5,-342.5899237,-513.8848856
Schildersbuurt-West,2.4,-370.0400377,-888.0960905
Schildersbuurt-Noord,2.3,-380.8897856,-876.0465069
Schildersbuurt-Oost,2.5,-345.8958762,-864.7396905
Transvaalkwartier-Noord,2.1,-350.8982088,-736.8862385
Transvaalkwartier-Midden,2.3,-370.1816844,-851.4178741
Transvaalkwartier-Zuid,2.4,-352.7557494,-846.6137986
Rustenburg,2,-410.8603959,-821.7207918
Oostbroek-Noord,2,-402.0155592,-804.0311184
Oostbroek-Zuid,2.1,-378.4957293,-794.8410315
Leyenburg,1.9,-317.7442791,-603.7141303
"Venen, Oorden en Raden",2.1,-364.0137498,-764.4288746
"Zijden, Steden en Zichten",2.1,-366.8459205,-770.3764331
Dreven en Gaarden,2.1,-353.6705501,-742.7081552
De Uithof,1.7,-414.9452302,-705.4068913
Morgenstond-Zuid,1.9,-374.768807,-712.0607333
Morgenstond-West,2.1,-387.3068619,-813.34441
Morgenstond-Oost,1.7,-419.4032933,-712.9855986
Moerwijk-Oost,1.8,-368.9848712,-664.1727682
Moerwijk-West,1.9,-327.7502193,-622.7254167
Moerwijk-Noord,2,-401.5628246,-803.1256492
Moerwijk-Zuid,1.9,-349.1512693,-663.3874117
Groente- en Fruitmarkt,2.5,-349.9116135,-874.7790338
Laakhaven-Oost,1.7,-404.1009014,-686.9715324
Laakhaven-West,1.8,-359.0776512,-646.3397722
Spoorwijk,2.4,-361.1323392,-866.7176141
Laakkwartier-West,2.1,-379.0292589,-795.9614437
Laakkwartier-Oost,1.9,-385.8862439,-733.1838634
Noordpolderbuurt,2,-397.3600216,-794.7200432
Binckhorst,1.3,-511.5333328,-664.9933326
Erasmus Veld,2.5,-290.0278291,-725.0695728
Hoge Veld,2.8,-255.7555225,-716.115463
Parkbuurt oosteinde,2.8,-269.7662605,-755.3455294
Lage Veld,2.6,-281.5083635,-731.9217451
Zonne Veld,2.9,-251.0459585,-728.0332797
Vlietzoom-West,2,-312.0959782,-624.1919564
