Name,BUURTCODE,Household_size,Food,Green_electricity,nongreen_electricity,Gas,Energy,Water,Car,Train,bustram,Public Transport,Mobility,GWP clothes,GWP household cleaning,GWP footwear,GWP_furniture,GWP_paper,GWP personal care,BoP,Waste per capita,Waste per house,Total per capita
Archipelbuurt,46,1.8,1867.502803,18.35932567,745.0247016,396.9261326,1160.31016,13.36447278,4508.033463,167.2428295,111.7281643,278.9709938,4787.004456,372.759593,114.1155883,13.51296057,422.7402323,100.6381796,127.5573376,1151.323891,637.9268929,1148.268407,10127.77419
Arendsdorp,78,2.3,2341.817935,20.96219987,877.9929803,516.4593779,1415.414558,12.96457071,5270.679662,211.4819254,143.1284209,354.6103463,5625.290007,408.3003762,135.9780341,13.88595247,598.6580353,123.1210166,170.1869684,1450.130383,594.18683,1366.629709,12212.24716
Belgisch Park,71,1.9,2007.883919,20.7424194,750.1598641,370.3233057,1141.225589,12.09301427,4586.719694,181.7278173,124.9820656,306.7098829,4893.429577,396.6607073,97.26575724,12.52019368,457.6668843,97.47423451,144.1022333,1205.69001,628.5612991,1194.266468,10454.58858
Bezuidenhout-Midden,65,1.9,1973.126079,20.5100489,723.6517177,374.5131724,1118.674939,12.95198796,4858.487025,173.1049276,115.2227212,288.3276488,5146.814673,383.1155752,110.4270206,13.51094948,455.4759652,95.98088313,125.1090945,1183.619488,604.6263765,1148.790115,10583.97728
Bezuidenhout-Oost,66,1.7,1783.83507,16.3145113,572.946742,332.4102868,921.6715402,11.88746862,4569.6647,156.089261,102.5806166,258.6698776,4828.334577,348.1841592,97.69490288,13.02821827,411.623789,95.33414967,114.6493507,1080.51457,673.0435584,1144.174049,9770.417275
Bezuidenhout-West,64,1.7,1749.01825,17.32108929,575.7030382,130.0680067,723.0921341,11.29169465,4076.000966,171.2107369,121.4289948,292.6397317,4368.640698,328.8596652,93.74607352,13.48290825,400.2512266,56.93391715,124.156568,1017.430359,659.401265,1120.98215,8990.455287
Binckhorst,60,1.3,1547.910156,2.139426471,82.00128769,1.854802235,85.9955164,1.712294524,4256.907547,123.5736511,84.49857527,208.0722264,4464.979774,254.1720446,49.92516395,10.34408836,256.2879999,66.35691395,99.99605459,737.0822654,1172.063122,1523.682058,8361.362064
Bloemenbuurt-Oost,51,1.9,1992.461142,19.10865919,667.3681773,338.6556705,1025.132507,11.7849211,4695.766791,175.0551054,116.5536741,291.6087795,4987.375571,375.1742052,120.4471418,12.79640593,409.9717087,95.43787721,115.9910689,1129.818408,612.1011639,1162.992211,10309.56476
Bloemenbuurt-West,50,2.1,2201.238866,19.35123393,725.0629044,391.0067179,1135.420856,12.04959421,5049.768769,193.6142014,129.2437403,322.8579417,5372.626711,432.0804625,130.8313819,12.86768441,483.2082276,116.797351,144.9747745,1320.759882,656.4761487,1378.599912,11420.69582
Bohemen en Meer en Bos,92,1.7,1801.40115,16.85348572,713.6180596,348.7788682,1079.250413,11.84137358,4106.191762,162.5157574,108.4258577,270.9416151,4377.133378,352.5425876,107.068496,10.96506732,396.5694465,95.00430304,108.0584701,1070.208371,685.9219844,1166.067373,9505.902059
Bomenbuurt,52,1.9,1996.466262,19.00948782,667.0962269,374.8646029,1060.970318,11.91934948,4730.635191,174.6708256,116.1165648,290.7873904,5021.422581,368.0569601,109.6790739,12.76646631,412.0809011,90.98504215,113.9187449,1107.487188,612.1011639,1162.992211,10361.25791
Bosjes van Pex,81,2,2097.038514,19.7407508,732.8751292,399.744,1152.35988,12.588476,4971.498456,189.3699649,128.1547282,317.5246931,5289.02315,424.4508592,102.7458499,13.34811254,481.6747072,121.7293396,146.5280096,1290.476878,685.1120527,1370.224105,11211.711
Bosweide,108,3.1,3216.48883,40.02849611,1221.562147,0,1261.590643,14.45881504,7319.306305,281.3467235,193.2424641,474.5891876,7793.895492,521.2364044,138.4636773,14.67759194,810.3586825,179.6969258,243.4625106,1907.895792,514.9094873,1596.219411,15790.54898
Burgen en Horsten,69,1.7,1808.725877,18.16651441,615.3672354,278.3915024,911.9252523,11.03623498,4225.365518,158.0246685,105.1820405,263.206709,4488.572227,338.0957304,104.2959529,11.19434517,417.4658613,62.43584859,98.97831105,1032.466049,694.4001489,1180.480253,9433.205893
Componistenbuurt,93,1.8,1919.875918,19.72959289,725.6538448,369.4346433,1114.818081,12.31463931,4376.027257,172.5719101,115.6406103,288.2125204,4664.239778,376.261672,111.722744,11.82571057,430.1135161,102.2752473,119.6532135,1151.852104,667.8824617,1202.188431,10065.28895
De Bras,115,3.1,3181.481702,31.44271038,884.0277784,13.85273783,929.3232266,13.12255923,7193.411811,273.1803239,185.4791249,458.6594488,7652.07126,542.7585211,147.3788174,14.93320852,798.3334213,178.8071154,230.1517477,1912.362832,521.4321636,1616.439707,15304.80129
De Lanen,118,3.1,3222.72461,31.96283136,919.8305607,285.6305904,1237.423982,13.0995639,7332.72813,271.2286308,182.9965416,454.2251724,7786.953302,539.9097885,163.7838384,15.18910192,811.5202184,164.431315,226.2516836,1921.085946,526.4182143,1631.896464,15813.18387
De Uithof,99,1.7,1823.955007,22.3441683,823.0422554,332.2932348,1177.679659,10.99068144,3888.002036,163.2822419,110.8122763,274.0945182,4162.096555,331.8321198,103.7820516,10.77428943,401.9525399,80.97155962,107.957487,1037.270047,950.7532952,1616.280602,9828.272551
De Velden,119,2.7,2850.385019,27.72657545,875.3274345,268.0510862,1171.105096,12.61714159,6649.930651,244.4936253,165.5494495,410.0430748,7059.973724,466.5186644,125.3866278,13.26382605,697.8217208,155.9253948,204.0147149,1662.930949,584.6583021,1578.577416,14335.58934
De Venen,111,2.3,2390.48576,38.69715401,1072.795935,8.240211967,1119.733301,12.18790937,5756.610177,203.1807788,135.4199774,338.6007562,6095.210933,377.9026914,116.4131444,11.20438508,600.6400223,118.6408245,139.2071807,1364.008248,681.2929619,1566.973812,12548.59996
De Vissen,120,2.7,2846.691257,28.20051491,900.7842684,275.4893587,1204.474142,12.31949346,6550.187062,247.3689348,167.9611333,415.3300681,6965.517129,478.779009,145.0865003,13.28522931,688.2759483,155.5236219,181.5336692,1662.483978,591.3775835,1596.719475,14288.20547
Dreven en Gaarden,98,2.1,2237.088015,18.3996289,499.5799838,263.8844038,781.8640164,10.56199276,4990.387427,194.5583974,132.5314398,327.0898372,5317.477263,356.2697246,129.1341691,10.25688746,249.8965751,82.15714469,151.3850614,979.0995623,810.3562024,1701.748025,11027.83887
Duindorp,100,2.1,2249.865956,25.67312828,741.8229842,206.096673,973.5927854,11.5433496,5275.737163,189.0314716,125.8937848,314.9252564,5590.66242,364.1329868,105.8171781,12.51115037,496.1105938,86.63624107,156.1936847,1221.401835,886.3627564,1861.361789,11908.42813
