"TIME","GEO","SEX","AGE","CITIZEN","UNIT","Value","Flag and Footnotes"
"1998Q1","European Union - 27 countries (from 2020)","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","European Union - 27 countries (from 2020)","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","European Union - 27 countries (from 2020)","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","European Union - 28 countries (2013-2020)","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","European Union - 28 countries (2013-2020)","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","European Union - 28 countries (2013-2020)","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","European Union - 15 countries (1995-2004)","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","European Union - 15 countries (1995-2004)","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","European Union - 15 countries (1995-2004)","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Euro area - 19 countries  (from 2015)","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Euro area - 19 countries  (from 2015)","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Euro area - 19 countries  (from 2015)","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Belgium","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Belgium","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Belgium","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Bulgaria","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Bulgaria","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Bulgaria","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Czechia","Total","From 15 to 64 years","Total","Percentage","72.0",""
"1998Q1","Czechia","Males","From 15 to 64 years","Total","Percentage","80.0",""
"1998Q1","Czechia","Females","From 15 to 64 years","Total","Percentage","64.0",""
"1998Q1","Denmark","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Denmark","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Denmark","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Germany (until 1990 former territory of the FRG)","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Germany (until 1990 former territory of the FRG)","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Estonia","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Estonia","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Estonia","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Ireland","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Ireland","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Ireland","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Greece","Total","From 15 to 64 years","Total","Percentage","62.9","b"
"1998Q1","Greece","Males","From 15 to 64 years","Total","Percentage","77.4","b"
"1998Q1","Greece","Females","From 15 to 64 years","Total","Percentage","48.7","b"
"1998Q1","Spain","Total","From 15 to 64 years","Total","Percentage","62.5",""
"1998Q1","Spain","Males","From 15 to 64 years","Total","Percentage","76.8",""
"1998Q1","Spain","Females","From 15 to 64 years","Total","Percentage","48.4",""
"1998Q1","France","Total","From 15 to 64 years","Total","Percentage","68.3",""
"1998Q1","France","Males","From 15 to 64 years","Total","Percentage","75.1",""
"1998Q1","France","Females","From 15 to 64 years","Total","Percentage","61.6",""
"1998Q1","Croatia","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Croatia","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Croatia","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Italy","Total","From 15 to 64 years","Total","Percentage","58.1",""
"1998Q1","Italy","Males","From 15 to 64 years","Total","Percentage","72.9",""
"1998Q1","Italy","Females","From 15 to 64 years","Total","Percentage","43.5",""
"1998Q1","Cyprus","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Cyprus","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Cyprus","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Latvia","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Latvia","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Latvia","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Lithuania","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Lithuania","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Lithuania","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Luxembourg","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Luxembourg","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Luxembourg","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Hungary","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Hungary","Males","From 15 to 64 years","Total","Percentage",":",""
