"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"2010","European Union - 27 countries (from 2020)","Percentage of total","Clothing","4.0",""
"2010","European Union - 27 countries (from 2020)","Current prices, million euro","Clothing","242 222.8",""
"2010","European Union - 27 countries (from 2020)","Chain linked volumes (2010), million euro","Clothing","242 222.8",""
"2010","European Union - 28 countries (2013-2020)","Percentage of total","Clothing","4.1",""
"2010","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing","292 397.6",""
"2010","European Union - 28 countries (2013-2020)","Chain linked volumes (2010), million euro","Clothing","292 397.6",""
"2010","European Union - 15 countries (1995-2004)","Percentage of total","Clothing","4.2",""
"2010","European Union - 15 countries (1995-2004)","Current prices, million euro","Clothing","274 968.1",""
"2010","European Union - 15 countries (1995-2004)","Chain linked volumes (2010), million euro","Clothing","274 968.1",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage of total","Clothing","4.2",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, million euro","Clothing","216 982.4",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Chain linked volumes (2010), million euro","Clothing","216 982.4",""
"2010","Euro area - 19 countries  (from 2015)","Percentage of total","Clothing","4.2",""
"2010","Euro area - 19 countries  (from 2015)","Current prices, million euro","Clothing","218 586.1",""
"2010","Euro area - 19 countries  (from 2015)","Chain linked volumes (2010), million euro","Clothing","218 586.1",""
"2010","Euro area - 12 countries (2001-2006)","Percentage of total","Clothing","4.2",""
"2010","Euro area - 12 countries (2001-2006)","Current prices, million euro","Clothing","214 170.5",""
"2010","Euro area - 12 countries (2001-2006)","Chain linked volumes (2010), million euro","Clothing","214 170.5",""
"2010","Belgium","Percentage of total","Clothing","3.8",""
"2010","Belgium","Current prices, million euro","Clothing","6 790.8",""
"2010","Belgium","Chain linked volumes (2010), million euro","Clothing","6 790.8",""
"2010","Bulgaria","Percentage of total","Clothing","2.1",""
"2010","Bulgaria","Current prices, million euro","Clothing","556.0",""
"2010","Bulgaria","Chain linked volumes (2010), million euro","Clothing","556.0",""
"2010","Czechia","Percentage of total","Clothing","2.4",""
"2010","Czechia","Current prices, million euro","Clothing","1 908.1",""
"2010","Czechia","Chain linked volumes (2010), million euro","Clothing","1 908.1",""
"2010","Denmark","Percentage of total","Clothing","3.7",""
"2010","Denmark","Current prices, million euro","Clothing","4 121.2",""
"2010","Denmark","Chain linked volumes (2010), million euro","Clothing","4 121.2",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage of total","Clothing","4.2",""
"2010","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Clothing","56 081.0",""
"2010","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Clothing","56 081.0",""
"2010","Estonia","Percentage of total","Clothing","4.9",""
"2010","Estonia","Current prices, million euro","Clothing","387.0",""
"2010","Estonia","Chain linked volumes (2010), million euro","Clothing","387.0",""
"2010","Ireland","Percentage of total","Clothing",":",""
"2010","Ireland","Current prices, million euro","Clothing","2 583.1",""
"2010","Ireland","Chain linked volumes (2010), million euro","Clothing",":",""
"2010","Greece","Percentage of total","Clothing","3.3",""
"2010","Greece","Current prices, million euro","Clothing","5 310.0",""
"2010","Greece","Chain linked volumes (2010), million euro","Clothing","5 310.0",""
"2010","Spain","Percentage of total","Clothing","3.8",""
"2010","Spain","Current prices, million euro","Clothing","24 293.0",""
"2010","Spain","Chain linked volumes (2010), million euro","Clothing","24 293.0",""
"2010","France","Percentage of total","Clothing","3.3",""
"2010","France","Current prices, million euro","Clothing","35 999.0",""
"2010","France","Chain linked volumes (2010), million euro","Clothing","35 999.0",""
"2010","Croatia","Percentage of total","Clothing","2.9",""
"2010","Croatia","Current prices, million euro","Clothing","891.6",""
"2010","Croatia","Chain linked volumes (2010), million euro","Clothing","891.6",""
"2010","Italy","Percentage of total","Clothing","5.4",""
"2010","Italy","Current prices, million euro","Clothing","52 857.9",""
"2010","Italy","Chain linked volumes (2010), million euro","Clothing","52 857.9",""
"2010","Cyprus","Percentage of total","Clothing","4.6",""
"2010","Cyprus","Current prices, million euro","Clothing","605.1",""
"2010","Cyprus","Chain linked volumes (2010), million euro","Clothing","605.1",""
"2010","Latvia","Percentage of total","Clothing","4.0",""
"2010","Latvia","Current prices, million euro","Clothing","444.4",""
"2010","Latvia","Chain linked volumes (2010), million euro","Clothing","444.4",""
"2010","Lithuania","Percentage of total","Clothing","4.3","b"
"2010","Lithuania","Current prices, million euro","Clothing","772.4","b"
"2010","Lithuania","Chain linked volumes (2010), million euro","Clothing","772.4","b"
"2010","Luxembourg","Percentage of total","Clothing","4.4",""
"2010","Luxembourg","Current prices, million euro","Clothing","645.2",""
"2010","Luxembourg","Chain linked volumes (2010), million euro","Clothing","645.2",""
"2010","Hungary","Percentage of total","Clothing","2.1",""
"2010","Hungary","Current prices, million euro","Clothing","1 111.7",""
"2010","Hungary","Chain linked volumes (2010), million euro","Clothing","1 111.7",""
"2010","Malta","Percentage of total","Clothing","3.5",""
"2010","Malta","Current prices, million euro","Clothing","152.9",""
"2010","Malta","Chain linked volumes (2010), million euro","Clothing","152.9",""
"2010","Netherlands","Percentage of total","Clothing","4.4",""
"2010","Netherlands","Current prices, million euro","Clothing","12 361.0",""
"2010","Netherlands","Chain linked volumes (2010), million euro","Clothing","12 361.0",""
"2010","Austria","Percentage of total","Clothing","5.0",""
"2010","Austria","Current prices, million euro","Clothing","7 916.7",""
"2010","Austria","Chain linked volumes (2010), million euro","Clothing","7 916.7",""
"2010","Poland","Percentage of total","Clothing","3.0",""
"2010","Poland","Current prices, million euro","Clothing","6 585.1",""
"2010","Poland","Chain linked volumes (2010), million euro","Clothing","6 585.1",""
"2010","Portugal","Percentage of total","Clothing","4.6",""
"2010","Portugal","Current prices, million euro","Clothing","5 537.9",""
"2010","Portugal","Chain linked volumes (2010), million euro","Clothing","5 537.9",""
"2010","Romania","Percentage of total","Clothing","2.5",""
"2010","Romania","Current prices, million euro","Clothing","1 961.4",""
"2010","Romania","Chain linked volumes (2010), million euro","Clothing","1 961.4",""
"2010","Slovenia","Percentage of total","Clothing","4.2",""
"2010","Slovenia","Current prices, million euro","Clothing","898.7",""
"2010","Slovenia","Chain linked volumes (2010), million euro","Clothing","898.7",""
"2010","Slovakia","Percentage of total","Clothing","3.0",""
"2010","Slovakia","Current prices, million euro","Clothing","1 155.1",""
"2010","Slovakia","Chain linked volumes (2010), million euro","Clothing","1 240.4",""
"2010","Finland","Percentage of total","Clothing","4.0",""
"2010","Finland","Current prices, million euro","Clothing","3 795.0",""
"2010","Finland","Chain linked volumes (2010), million euro","Clothing","3 795.0",""
"2010","Sweden","Percentage of total","Clothing","3.8",""
"2010","Sweden","Current prices, million euro","Clothing","6 501.5",""
"2010","Sweden","Chain linked volumes (2010), million euro","Clothing","6 501.5",""
"2010","United Kingdom","Percentage of total","Clothing","4.4",""
"2010","United Kingdom","Current prices, million euro","Clothing","50 174.9",""
"2010","United Kingdom","Chain linked volumes (2010), million euro","Clothing","50 174.9",""
"2010","Iceland","Percentage of total","Clothing","3.5",""
"2010","Iceland","Current prices, million euro","Clothing","178.1",""
"2010","Iceland","Chain linked volumes (2010), million euro","Clothing","178.1",""
"2010","Norway","Percentage of total","Clothing","4.6",""
"2010","Norway","Current prices, million euro","Clothing","5 787.9",""
"2010","Norway","Chain linked volumes (2010), million euro","Clothing","5 787.9",""
"2010","Switzerland","Percentage of total","Clothing",":",""
"2010","Switzerland","Current prices, million euro","Clothing",":","c"
"2010","Switzerland","Chain linked volumes (2010), million euro","Clothing",":",""
"2010","Montenegro","Percentage of total","Clothing",":",""
"2010","Montenegro","Current prices, million euro","Clothing",":","c"
"2010","Montenegro","Chain linked volumes (2010), million euro","Clothing",":",""
"2010","North Macedonia","Percentage of total","Clothing","2.8",""
"2010","North Macedonia","Current prices, million euro","Clothing","146.1",""
"2010","North Macedonia","Chain linked volumes (2010), million euro","Clothing",":",""
"2010","Albania","Percentage of total","Clothing",":",""
"2010","Albania","Current prices, million euro","Clothing",":",""
"2010","Albania","Chain linked volumes (2010), million euro","Clothing",":",""
"2010","Serbia","Percentage of total","Clothing","2.9",""
"2010","Serbia","Current prices, million euro","Clothing","686.9",""
"2010","Serbia","Chain linked volumes (2010), million euro","Clothing","686.9",""
"2010","Turkey","Percentage of total","Clothing",":","c"
"2010","Turkey","Current prices, million euro","Clothing",":","c"
"2010","Turkey","Chain linked volumes (2010), million euro","Clothing",":",""
"2010","Bosnia and Herzegovina","Percentage of total","Clothing",":",""
"2010","Bosnia and Herzegovina","Current prices, million euro","Clothing",":",""
"2010","Bosnia and Herzegovina","Chain linked volumes (2010), million euro","Clothing",":",""
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Percentage of total","Clothing",":",""
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Clothing","81.4",""
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Chain linked volumes (2010), million euro","Clothing",":",""
"2011","European Union - 27 countries (from 2020)","Percentage of total","Clothing","4.0",""
"2011","European Union - 27 countries (from 2020)","Current prices, million euro","Clothing","244 565.8",""
"2011","European Union - 27 countries (from 2020)","Chain linked volumes (2010), million euro","Clothing","243 400.2",""
"2011","European Union - 28 countries (2013-2020)","Percentage of total","Clothing","4.0",""
"2011","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing","296 673.3",""
"2011","European Union - 28 countries (2013-2020)","Chain linked volumes (2010), million euro","Clothing","294 509.9",""
"2011","European Union - 15 countries (1995-2004)","Percentage of total","Clothing","4.1",""
"2011","European Union - 15 countries (1995-2004)","Current prices, million euro","Clothing","278 487.2",""
"2011","European Union - 15 countries (1995-2004)","Chain linked volumes (2010), million euro","Clothing","275 986.2",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage of total","Clothing","4.1",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, million euro","Clothing","218 508.1",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Chain linked volumes (2010), million euro","Clothing","217 491.2",""
"2011","Euro area - 19 countries  (from 2015)","Percentage of total","Clothing","4.1",""
"2011","Euro area - 19 countries  (from 2015)","Current prices, million euro","Clothing","219 779.6",""
"2011","Euro area - 19 countries  (from 2015)","Chain linked volumes (2010), million euro","Clothing","218 760.3",""
"2011","Euro area - 12 countries (2001-2006)","Percentage of total","Clothing","4.1",""
"2011","Euro area - 12 countries (2001-2006)","Current prices, million euro","Clothing","215 330.3",""
"2011","Euro area - 12 countries (2001-2006)","Chain linked volumes (2010), million euro","Clothing","214 327.4",""
"2011","Belgium","Percentage of total","Clothing","4.0",""
"2011","Belgium","Current prices, million euro","Clothing","7 385.0",""
"2011","Belgium","Chain linked volumes (2010), million euro","Clothing","7 317.6",""
"2011","Bulgaria","Percentage of total","Clothing","2.0",""
"2011","Bulgaria","Current prices, million euro","Clothing","561.0",""
"2011","Bulgaria","Chain linked volumes (2010), million euro","Clothing","545.3",""
"2011","Czechia","Percentage of total","Clothing","2.3",""
"2011","Czechia","Current prices, million euro","Clothing","1 942.4",""
"2011","Czechia","Chain linked volumes (2010), million euro","Clothing","1 935.5",""
"2011","Denmark","Percentage of total","Clothing","3.5",""
"2011","Denmark","Current prices, million euro","Clothing","4 038.3",""
"2011","Denmark","Chain linked volumes (2010), million euro","Clothing","4 026.0",""
"2011","Germany (until 1990 former territory of the FRG)","Percentage of total","Clothing","4.1",""
"2011","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Clothing","57 934.0",""
"2011","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Clothing","57 255.1",""
"2011","Estonia","Percentage of total","Clothing","4.9",""
"2011","Estonia","Current prices, million euro","Clothing","423.8",""
"2011","Estonia","Chain linked volumes (2010), million euro","Clothing","406.5",""
"2011","Ireland","Percentage of total","Clothing",":",""
"2011","Ireland","Current prices, million euro","Clothing","2 470.7",""
"2011","Ireland","Chain linked volumes (2010), million euro","Clothing",":",""
"2011","Greece","Percentage of total","Clothing","2.9","p"
"2011","Greece","Current prices, million euro","Clothing","4 318.4","p"
"2011","Greece","Chain linked volumes (2010), million euro","Clothing","4 321.6","p"
"2011","Spain","Percentage of total","Clothing","3.6",""
"2011","Spain","Current prices, million euro","Clothing","23 111.0",""
"2011","Spain","Chain linked volumes (2010), million euro","Clothing","23 064.3",""
"2011","France","Percentage of total","Clothing","3.2",""
