"COICOP","GEO","UNIT","TIME","Value","Flag and Footnotes"
"Men's suit, wool (1 suit)","Bulgaria","Euro","2015",":",""
"Men's suit, wool (1 suit)","Czechia","Euro","2015","216.36",""
"Men's suit, wool (1 suit)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Men's suit, wool (1 suit)","Spain","Euro","2015",":",""
"Men's suit, wool (1 suit)","Croatia","Euro","2015","218.27","d"
"Men's suit, wool (1 suit)","Italy","Euro","2015","263.39","d"
"Men's suit, wool (1 suit)","Cyprus","Euro","2015","196.17",""
"Men's suit, wool (1 suit)","Lithuania","Euro","2015","220.10",""
"Men's suit, wool (1 suit)","Malta","Euro","2015","106.60",""
"Men's suit, wool (1 suit)","Netherlands","Euro","2015","227.56",""
"Men's suit, wool (1 suit)","Poland","Euro","2015",":",""
"Men's suit, wool (1 suit)","Romania","Euro","2015",":",""
"Men's suit, wool (1 suit)","Slovenia","Euro","2015","255.80",""
"Men's suit, wool (1 suit)","Slovakia","Euro","2015","203.23",""
"Men's suit, wool (1 suit)","Finland","Euro","2015",":",""
"Men's suit, wool (1 suit)","Norway","Euro","2015",":",""
"Men's suit, wool (1 suit)","Turkey","Euro","2015","114.31",""
"Men's trousers (1 piece)","Bulgaria","Euro","2015",":",""
"Men's trousers (1 piece)","Czechia","Euro","2015","44.01",""
"Men's trousers (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Men's trousers (1 piece)","Spain","Euro","2015",":",""
"Men's trousers (1 piece)","Croatia","Euro","2015",":",""
"Men's trousers (1 piece)","Italy","Euro","2015","69.20","d"
"Men's trousers (1 piece)","Cyprus","Euro","2015","60.77",""
"Men's trousers (1 piece)","Lithuania","Euro","2015","65.74",""
"Men's trousers (1 piece)","Malta","Euro","2015",":",""
"Men's trousers (1 piece)","Netherlands","Euro","2015","75.59",""
"Men's trousers (1 piece)","Poland","Euro","2015",":",""
"Men's trousers (1 piece)","Romania","Euro","2015",":",""
"Men's trousers (1 piece)","Slovenia","Euro","2015","76.99",""
"Men's trousers (1 piece)","Slovakia","Euro","2015","60.72",""
"Men's trousers (1 piece)","Finland","Euro","2015",":",""
"Men's trousers (1 piece)","Norway","Euro","2015",":",""
"Men's trousers (1 piece)","Turkey","Euro","2015","28.26",""
"Men's blue jeans (1 piece)","Bulgaria","Euro","2015","30.79",""
"Men's blue jeans (1 piece)","Czechia","Euro","2015","36.33",""
"Men's blue jeans (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Men's blue jeans (1 piece)","Spain","Euro","2015",":",""
"Men's blue jeans (1 piece)","Croatia","Euro","2015","42.72","d"
"Men's blue jeans (1 piece)","Italy","Euro","2015","60.85","d"
"Men's blue jeans (1 piece)","Cyprus","Euro","2015","46.12",""
"Men's blue jeans (1 piece)","Lithuania","Euro","2015","41.40",""
"Men's blue jeans (1 piece)","Malta","Euro","2015","32.39",""
"Men's blue jeans (1 piece)","Netherlands","Euro","2015","71.90",""
"Men's blue jeans (1 piece)","Poland","Euro","2015",":",""
"Men's blue jeans (1 piece)","Romania","Euro","2015",":",""
"Men's blue jeans (1 piece)","Slovenia","Euro","2015","50.49",""
"Men's blue jeans (1 piece)","Slovakia","Euro","2015","45.83",""
"Men's blue jeans (1 piece)","Finland","Euro","2015",":",""
"Men's blue jeans (1 piece)","Norway","Euro","2015","68.92",""
"Men's blue jeans (1 piece)","Turkey","Euro","2015","29.34",""
"Men's shirt (1 piece)","Bulgaria","Euro","2015","21.93","d"
"Men's shirt (1 piece)","Czechia","Euro","2015","21.72",""
"Men's shirt (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Men's shirt (1 piece)","Spain","Euro","2015",":",""
"Men's shirt (1 piece)","Croatia","Euro","2015","32.22","d"
"Men's shirt (1 piece)","Italy","Euro","2015","45.26","d"
"Men's shirt (1 piece)","Cyprus","Euro","2015","35.13",""
"Men's shirt (1 piece)","Lithuania","Euro","2015","23.57",""
"Men's shirt (1 piece)","Malta","Euro","2015","27.52",""
"Men's shirt (1 piece)","Netherlands","Euro","2015","47.23",""
"Men's shirt (1 piece)","Poland","Euro","2015","23.54",""
"Men's shirt (1 piece)","Romania","Euro","2015",":",""
"Men's shirt (1 piece)","Slovenia","Euro","2015","35.32","d"
"Men's shirt (1 piece)","Slovakia","Euro","2015","25.05",""
"Men's shirt (1 piece)","Finland","Euro","2015",":",""
"Men's shirt (1 piece)","Norway","Euro","2015","61.83",""
"Men's shirt (1 piece)","Turkey","Euro","2015","21.01",""
"Men's T-shirt, short sleeves (1 piece)","Bulgaria","Euro","2015","10.51",""
"Men's T-shirt, short sleeves (1 piece)","Czechia","Euro","2015","12.78",""
"Men's T-shirt, short sleeves (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Men's T-shirt, short sleeves (1 piece)","Spain","Euro","2015",":",""
"Men's T-shirt, short sleeves (1 piece)","Croatia","Euro","2015","13.25","d"
"Men's T-shirt, short sleeves (1 piece)","Italy","Euro","2015",":",""
"Men's T-shirt, short sleeves (1 piece)","Cyprus","Euro","2015","13.82",""
"Men's T-shirt, short sleeves (1 piece)","Lithuania","Euro","2015","11.49",""
"Men's T-shirt, short sleeves (1 piece)","Malta","Euro","2015","16.47",""
"Men's T-shirt, short sleeves (1 piece)","Netherlands","Euro","2015","28.10",""
"Men's T-shirt, short sleeves (1 piece)","Poland","Euro","2015",":",""
"Men's T-shirt, short sleeves (1 piece)","Romania","Euro","2015",":",""
"Men's T-shirt, short sleeves (1 piece)","Slovenia","Euro","2015","12.98","d"
"Men's T-shirt, short sleeves (1 piece)","Slovakia","Euro","2015","18.02",""
"Men's T-shirt, short sleeves (1 piece)","Finland","Euro","2015",":",""
"Men's T-shirt, short sleeves (1 piece)","Norway","Euro","2015","21.79",""
"Men's T-shirt, short sleeves (1 piece)","Turkey","Euro","2015","16.54",""
"Men's boxer briefs (1 piece)","Bulgaria","Euro","2015",":",""
"Men's boxer briefs (1 piece)","Czechia","Euro","2015","6.21",""
"Men's boxer briefs (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Men's boxer briefs (1 piece)","Spain","Euro","2015",":",""
"Men's boxer briefs (1 piece)","Croatia","Euro","2015","7.45","d"
"Men's boxer briefs (1 piece)","Italy","Euro","2015","8.10","d"
"Men's boxer briefs (1 piece)","Cyprus","Euro","2015","9.93",""
"Men's boxer briefs (1 piece)","Lithuania","Euro","2015","6.85",""
"Men's boxer briefs (1 piece)","Malta","Euro","2015","5.64",""
"Men's boxer briefs (1 piece)","Netherlands","Euro","2015","7.49",""
"Men's boxer briefs (1 piece)","Poland","Euro","2015","4.76","d"
"Men's boxer briefs (1 piece)","Romania","Euro","2015",":",""
"Men's boxer briefs (1 piece)","Slovenia","Euro","2015","10.56","d"
"Men's boxer briefs (1 piece)","Slovakia","Euro","2015","9.05",""
"Men's boxer briefs (1 piece)","Finland","Euro","2015",":",""
"Men's boxer briefs (1 piece)","Norway","Euro","2015",":",""
"Men's boxer briefs (1 piece)","Turkey","Euro","2015",":",""
"Ladies' top coat (1 piece)","Bulgaria","Euro","2015",":",""
"Ladies' top coat (1 piece)","Czechia","Euro","2015","150.17",""
"Ladies' top coat (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Ladies' top coat (1 piece)","Spain","Euro","2015",":",""
"Ladies' top coat (1 piece)","Croatia","Euro","2015","165.61","d"
"Ladies' top coat (1 piece)","Italy","Euro","2015","194.26","d"
"Ladies' top coat (1 piece)","Cyprus","Euro","2015","145.67",""
"Ladies' top coat (1 piece)","Lithuania","Euro","2015","189.99",""
"Ladies' top coat (1 piece)","Malta","Euro","2015","92.49",""
"Ladies' top coat (1 piece)","Netherlands","Euro","2015","127.41",""
"Ladies' top coat (1 piece)","Poland","Euro","2015",":",""
"Ladies' top coat (1 piece)","Romania","Euro","2015",":",""
"Ladies' top coat (1 piece)","Slovenia","Euro","2015",":",""
"Ladies' top coat (1 piece)","Slovakia","Euro","2015","134.23",""
"Ladies' top coat (1 piece)","Finland","Euro","2015",":",""
"Ladies' top coat (1 piece)","Norway","Euro","2015",":",""
"Ladies' top coat (1 piece)","Turkey","Euro","2015",":",""
"Ladies' blazer, woolmix (1 piece)","Bulgaria","Euro","2015",":",""
"Ladies' blazer, woolmix (1 piece)","Czechia","Euro","2015","57.82",""
"Ladies' blazer, woolmix (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Ladies' blazer, woolmix (1 piece)","Spain","Euro","2015",":",""
"Ladies' blazer, woolmix (1 piece)","Croatia","Euro","2015",":",""
"Ladies' blazer, woolmix (1 piece)","Italy","Euro","2015","106.18","d"
"Ladies' blazer, woolmix (1 piece)","Cyprus","Euro","2015",":",""
"Ladies' blazer, woolmix (1 piece)","Lithuania","Euro","2015","82.11",""
"Ladies' blazer, woolmix (1 piece)","Malta","Euro","2015","75.58",""
"Ladies' blazer, woolmix (1 piece)","Netherlands","Euro","2015","83.75","d"
"Ladies' blazer, woolmix (1 piece)","Poland","Euro","2015",":",""
"Ladies' blazer, woolmix (1 piece)","Romania","Euro","2015",":",""
"Ladies' blazer, woolmix (1 piece)","Slovenia","Euro","2015",":",""
"Ladies' blazer, woolmix (1 piece)","Slovakia","Euro","2015","91.09",""
"Ladies' blazer, woolmix (1 piece)","Finland","Euro","2015",":",""
"Ladies' blazer, woolmix (1 piece)","Norway","Euro","2015",":",""
"Ladies' blazer, woolmix (1 piece)","Turkey","Euro","2015","45.65",""
"Ladies' straight trousers, synthetic (1 piece)","Bulgaria","Euro","2015","22.35",""
"Ladies' straight trousers, synthetic (1 piece)","Czechia","Euro","2015","32.65",""
"Ladies' straight trousers, synthetic (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Ladies' straight trousers, synthetic (1 piece)","Spain","Euro","2015",":",""
"Ladies' straight trousers, synthetic (1 piece)","Croatia","Euro","2015",":",""
"Ladies' straight trousers, synthetic (1 piece)","Italy","Euro","2015","58.44","d"
"Ladies' straight trousers, synthetic (1 piece)","Cyprus","Euro","2015","30.85",""
"Ladies' straight trousers, synthetic (1 piece)","Lithuania","Euro","2015","41.47",""
"Ladies' straight trousers, synthetic (1 piece)","Malta","Euro","2015","25.66",""
"Ladies' straight trousers, synthetic (1 piece)","Netherlands","Euro","2015","60.39","d"
"Ladies' straight trousers, synthetic (1 piece)","Poland","Euro","2015",":",""
"Ladies' straight trousers, synthetic (1 piece)","Romania","Euro","2015",":",""
"Ladies' straight trousers, synthetic (1 piece)","Slovenia","Euro","2015","51.29",""
"Ladies' straight trousers, synthetic (1 piece)","Slovakia","Euro","2015","32.06",""
"Ladies' straight trousers, synthetic (1 piece)","Finland","Euro","2015",":",""
"Ladies' straight trousers, synthetic (1 piece)","Norway","Euro","2015",":",""
"Ladies' straight trousers, synthetic (1 piece)","Turkey","Euro","2015",":",""
"Ladies' jeans (1 piece)","Bulgaria","Euro","2015","25.88",""
"Ladies' jeans (1 piece)","Czechia","Euro","2015","34.76",""
"Ladies' jeans (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Ladies' jeans (1 piece)","Spain","Euro","2015",":",""
"Ladies' jeans (1 piece)","Croatia","Euro","2015","42.39","d"
"Ladies' jeans (1 piece)","Italy","Euro","2015",":",""
"Ladies' jeans (1 piece)","Cyprus","Euro","2015","24.16",""
"Ladies' jeans (1 piece)","Lithuania","Euro","2015","43.12",""
"Ladies' jeans (1 piece)","Malta","Euro","2015","27.92",""
"Ladies' jeans (1 piece)","Netherlands","Euro","2015","64.73",""
"Ladies' jeans (1 piece)","Poland","Euro","2015","29.21","d"
"Ladies' jeans (1 piece)","Romania","Euro","2015",":",""
"Ladies' jeans (1 piece)","Slovenia","Euro","2015",":",""
"Ladies' jeans (1 piece)","Slovakia","Euro","2015","41.66",""
"Ladies' jeans (1 piece)","Finland","Euro","2015",":",""
"Ladies' jeans (1 piece)","Norway","Euro","2015","67.04",""
"Ladies' jeans (1 piece)","Turkey","Euro","2015","25.25",""
"Ladies' skirt (1 piece)","Bulgaria","Euro","2015",":",""
"Ladies' skirt (1 piece)","Czechia","Euro","2015","33.83",""
"Ladies' skirt (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Ladies' skirt (1 piece)","Spain","Euro","2015",":",""
"Ladies' skirt (1 piece)","Croatia","Euro","2015",":",""
"Ladies' skirt (1 piece)","Italy","Euro","2015","54.58","d"
"Ladies' skirt (1 piece)","Cyprus","Euro","2015",":",""
"Ladies' skirt (1 piece)","Lithuania","Euro","2015","42.70",""
"Ladies' skirt (1 piece)","Malta","Euro","2015","26.80","d"
"Ladies' skirt (1 piece)","Netherlands","Euro","2015","51.42","d"
"Ladies' skirt (1 piece)","Poland","Euro","2015","35.68","d"
