Name,Consumptionpercapita,GWP clothes
Belgisch Park,17.36411822,208.7687933
Westbroekpark,17.0810502,205.3654665
Duttendel,16.93649117,203.6274333
Nassaubuurt,14.74630719,177.2948514
Uilennest,16.73650914,201.2230494
Duinzigt,16.97967541,204.1466374
Waalsdorp,14.81244404,178.0900147
Arendsdorp,14.76519194,177.5219027
Van Hoytemastraat en omgeving,14.68742178,176.5868721
Archipelbuurt,17.22437518,207.0886628
Van Stolkpark en Scheveningse Bosjes,16.97310429,204.0676328
Oud Scheveningen,16.68993118,200.6630426
Vissershaven,17.08888195,205.4596277
Scheveningen Badplaats,16.63756197,200.0334076
Visserijbuurt,16.66656527,200.3821143
Rijslag,17.28432255,207.80941
Duindorp,14.42207938,173.3966604
Statenkwartier,15.25581173,183.4206244
Geuzenkwartier,16.4105625,197.3041929
Zorgvliet,16.98242406,204.1796845
Stadhoudersplantsoen,16.82342373,202.2680235
Sweelinckplein en omgeving,17.15963706,206.3103164
Bloemenbuurt-West,17.1132497,205.7526012
Bloemenbuurt-Oost,16.42353056,197.460108
Bomenbuurt,16.11196786,193.7141895
Vogelwijk,14.94959,179.7389205
Bosjes van Pex,17.6516202,212.2254296
Bohemen en Meer en Bos,17.24843988,207.3779927
Ockenburgh,17.52649058,210.7209962
Kijkduin,17.40333691,209.2403197
Kraayenstein,17.33665199,208.4385669
Houtwijk,17.13964791,206.0699868
Kom Loosduinen,16.93291946,203.5844907
Waldeck-Zuid,17.12212546,205.8593145
Nieuw Waldeck,16.76031267,201.5092392
Rosenburg,16.92667975,203.5094707
Componistenbuurt,17.3861983,209.0342622
Waldeck-Noord,16.67235982,200.4517821
Vruchtenbuurt,15.25224674,183.3777626
Eykenduinen,16.59562922,199.5292501
Heesterbuurt,16.13998686,194.051062
Valkenboskwartier,15.90407268,191.2146658
Rond de Energiecentrale,16.12084446,193.820913
Koningsplein en omgeving,16.05316433,193.0071948
Zeeheldenkwartier,16.40290105,197.2120794
Willemspark,17.36462048,208.7748321
Haagse Bos,16.98298548,204.1864345
Landen,16.57270885,199.2536785
Kampen,16.66991915,200.4224379
Marlot,14.7839858,177.7478612
Burgen en Horsten,16.54161535,198.8798414
Bezuidenhout-West,16.08973317,193.4468619
Bezuidenhout-Midden,16.77116996,201.6397764
Bezuidenhout-Oost,17.03520014,204.8142113
Huygenspark,16.60745937,199.671484
Rivierenbuurt-Zuid,16.6917852,200.6853334
Rivierenbuurt-Noord,16.10892604,193.6776178
Kortenbos,16.36011377,196.6976479
Voorhout,17.16660891,206.3941389
Uilebomen,16.48592579,198.2102858
Zuidwal,16.38986153,197.0553051
Schildersbuurt-West,13.05121568,156.9147661
Schildersbuurt-Noord,13.63535205,163.9378376
Schildersbuurt-Oost,13.63308741,163.91061
Transvaalkwartier-Noord,13.70265491,164.74702
Transvaalkwartier-Midden,13.16711208,158.3081885
Transvaalkwartier-Zuid,12.84794455,154.4708373
Rustenburg,16.01651248,192.5665295
Oostbroek-Noord,15.96875293,191.9923165
Oostbroek-Zuid,13.53386691,162.7176818
Leyenburg,16.68021454,200.5462194
"Venen, Oorden en Raden",14.06329835,169.0830361
"Zijden, Steden en Zichten",14.35737034,172.6186637
Dreven en Gaarden,14.11064208,169.6522498
De Uithof,16.23516299,195.1953646
Morgenstond-Zuid,13.96336546,167.8815429
Morgenstond-West,14.46764261,173.9444671
Morgenstond-Oost,16.08783873,193.4240851
Moerwijk-Oost,13.86125467,166.6538649
Moerwijk-West,13.85718545,166.6049407
Moerwijk-Noord,13.95631491,167.7967742
Moerwijk-Zuid,13.32131165,160.16213
Groente- en Fruitmarkt,13.47709384,162.0350992
Laakhaven-Oost,16.62730876,199.9101333
Laakhaven-West,15.63530405,187.9832606
Spoorwijk,13.55401872,162.959967
Laakkwartier-West,15.63554159,187.9861165
Laakkwartier-Oost,15.98423617,192.1784715
Noordpolderbuurt,15.55639653,187.0345555
Binckhorst,16.26191112,195.5169574
Erasmus Veld,16.75918615,201.4956951
Hoge Veld,13.86728798,166.7264034
Parkbuurt oosteinde,16.64036376,200.0670935
Lage Veld,16.36790021,196.7912642
Zonne Veld,13.73956802,165.1908263
Vlietzoom-West,17.2236699,207.0801832
Bosweide,13.98492685,168.1407756
De Venen,13.66593346,164.305518
Morgenweide,14.35654423,172.6087313
Singels,13.8707262,166.7677411
Waterbuurt,14.35350006,172.5721312
De Bras,14.56237161,175.0833939
Vlietzoom-Oost,17.35504791,208.6597411
De Lanen,14.48593927,174.1644479
De Velden,14.37117945,172.7846905
De Vissen,14.74886126,177.3255589
Rietbuurt,14.32274223,172.2023299
