Name,BUURTCODE,Population,Consumptionpercapita,GWP_clothes
Belgisch Park,71,8205,17.36411822,31.50716472
Westbroekpark,73,880,17.0810502,30.99353826
Duttendel,74,1075,16.93649117,30.73123612
Nassaubuurt,48,1625,14.74630719,26.75715081
Uilennest,75,2100,16.73650914,30.36836906
Duinzigt,76,2495,16.97967541,30.80959386
Waalsdorp,77,3810,14.81244404,26.87715602
Arendsdorp,78,1305,14.76519194,26.79141715
Van Hoytemastraat en omgeving,79,2360,14.68742178,26.65030332
Archipelbuurt,46,6100,17.22437518,31.25360121
Van Stolkpark en Scheveningse Bosjes,5,760,16.97310429,30.79767057
Oud Scheveningen,1,2920,16.68993118,30.28385342
Vissershaven,2,3560,17.08888195,31.00774895
Scheveningen Badplaats,3,5390,16.63756197,30.18882958
Visserijbuurt,4,3860,16.66656527,30.24145602
Rijslag,72,1610,17.28432255,31.36237561
Duindorp,100,5955,14.42207938,26.16883996
Statenkwartier,7,9665,15.25581173,27.68164597
Geuzenkwartier,8,4390,16.4105625,29.77693939
Zorgvliet,41,500,16.98242406,30.81458129
Stadhoudersplantsoen,42,1960,16.82342373,30.52607544
Sweelinckplein en omgeving,43,5810,17.15963706,31.13613399
Bloemenbuurt-West,50,2340,17.1132497,31.0519642
Bloemenbuurt-Oost,51,6460,16.42353056,29.80046993
Bomenbuurt,52,5865,16.11196786,29.2351399
Vogelwijk,9,5350,14.94959,27.12600713
Bosjes van Pex,81,400,17.6516202,32.0288366
Bohemen en Meer en Bos,92,4485,17.24843988,31.29726657
Ockenburgh,90,795,17.52649058,31.80178911
Kijkduin,91,1550,17.40333691,31.57832698
Kraayenstein,97,5875,17.33665199,31.4573273
Houtwijk,86,12820,17.13964791,31.09986371
Kom Loosduinen,95,4975,16.93291946,30.72475527
Waldeck-Zuid,6,2035,17.12212546,31.06806926
Nieuw Waldeck,40,7210,16.76031267,30.41156052
Rosenburg,82,2910,16.92667975,30.71343333
Componistenbuurt,93,1825,17.3861983,31.547229
Waldeck-Noord,94,3150,16.67235982,30.25197021
Vruchtenbuurt,53,7165,15.25224674,27.67517731
Eykenduinen,83,2635,16.59562922,30.11274266
Heesterbuurt,54,6805,16.13998686,29.28598033
Valkenboskwartier,55,11435,15.90407268,28.85791443
Rond de Energiecentrale,10,5955,16.12084446,29.25124649
Koningsplein en omgeving,44,7575,16.05316433,29.128441
Zeeheldenkwartier,45,11845,16.40290105,29.76303771
Willemspark,47,1490,17.36462048,31.50807608
Haagse Bos,49,425,16.98298548,30.81559999
Landen,61,5155,16.57270885,30.07115369
Kampen,67,2455,16.66991915,30.24754162
Marlot,68,805,14.7839858,26.82551857
Burgen en Horsten,69,6285,16.54161535,30.01473459
Bezuidenhout-West,64,3580,16.08973317,29.19479509
Bezuidenhout-Midden,65,4285,16.77116996,30.43126105
Bezuidenhout-Oost,66,9010,17.03520014,30.9103434
Huygenspark,18,7895,16.60745937,30.13420846
Rivierenbuurt-Zuid,62,850,16.6917852,30.28721753
Rivierenbuurt-Noord,63,3690,16.10892604,29.22962053
Kortenbos,11,7275,16.36011377,29.68540027
Voorhout,12,2355,17.16660891,31.14878439
Uilebomen,13,3180,16.48592579,29.91368597
Zuidwal,14,6885,16.38986153,29.73937752
Schildersbuurt-West,15,14115,13.05121568,23.68140996
Schildersbuurt-Noord,16,9985,13.63535205,24.74132447
Schildersbuurt-Oost,17,7230,13.63308741,24.7372153
Transvaalkwartier-Noord,32,3945,13.70265491,24.86344541
Transvaalkwartier-Midden,33,5005,13.16711208,23.8917038
Transvaalkwartier-Zuid,34,7235,12.84794455,23.31257482
Rustenburg,30,6100,16.01651248,29.06193626
Oostbroek-Noord,31,4500,15.96875293,28.97527664
Oostbroek-Zuid,35,8055,13.53386691,24.55717985
Leyenburg,84,14910,16.68021454,30.26622259
"Venen, Oorden en Raden",87,8585,14.06329835,25.51783236
"Zijden, Steden en Zichten",96,7850,14.35737034,26.05142552
Dreven en Gaarden,98,10815,14.11064208,25.60373748
De Uithof,99,1380,16.23516299,29.45867727
Morgenstond-Zuid,80,5930,13.96336546,25.33650428
Morgenstond-West,88,7405,14.46764261,26.25151437
Morgenstond-Oost,89,5560,16.08783873,29.19135764
Moerwijk-Oost,20,3265,13.86125467,25.15122442
Moerwijk-West,37,6240,13.85718545,25.14384083
Moerwijk-Noord,38,6975,13.95631491,25.32371108
Moerwijk-Zuid,39,4600,13.32131165,24.17149868
Groente- en Fruitmarkt,21,5315,13.47709384,24.4541652
Laakhaven-Oost,19,4050,16.62730876,30.17022515
Laakhaven-West,22,5510,15.63530405,28.37023419
Spoorwijk,23,4340,13.55401872,24.59374527
Laakkwartier-West,24,8085,15.63554159,28.37066519
Laakkwartier-Oost,25,11240,15.98423617,29.00337096
Noordpolderbuurt,26,8345,15.55639653,28.22705661
Binckhorst,60,1790,16.26191112,29.50721171
Erasmus Veld,101,2155,16.75918615,30.40951645
Hoge Veld,102,8685,13.86728798,25.16217185
Parkbuurt oosteinde,103,3465,16.64036376,30.19391342
Lage Veld,104,4285,16.36790021,29.69952875
Zonne Veld,105,3440,13.73956802,24.93042419
Vlietzoom-West,106,170,17.2236699,31.25232147
Bosweide,108,2050,13.98492685,25.3756274
De Venen,111,1755,13.66593346,24.79681439
Morgenweide,112,7135,14.35654423,26.04992654
Singels,113,5595,13.8707262,25.1684105
Waterbuurt,114,4775,14.35350006,26.04440289
De Bras,115,5855,14.56237161,26.42339999
Vlietzoom-Oost,116,100,17.35504791,31.49070667
De Lanen,118,5255,14.48593927,26.28471363
De Velden,119,4220,14.37117945,26.07648212
De Vissen,120,8505,14.74886126,26.76178515
Rietbuurt,121,2755,14.32274223,25.98859286
