COICOP,GEO,UNIT,TIME,Value,Flag and Footnotes
All-purposes household cleaner (1 l),Bulgaria,Euro,2015,1.36,
All-purposes household cleaner (1 l),Czechia,Euro,2015,2.23,
All-purposes household cleaner (1 l),Germany (until 1990 former territory of the FRG),Euro,2015,:,
All-purposes household cleaner (1 l),Spain,Euro,2015,:,
All-purposes household cleaner (1 l),Croatia,Euro,2015,2.72,
All-purposes household cleaner (1 l),Italy,Euro,2015,2.2,
All-purposes household cleaner (1 l),Cyprus,Euro,2015,2.03,
All-purposes household cleaner (1 l),Lithuania,Euro,2015,2.06,
All-purposes household cleaner (1 l),Malta,Euro,2015,3.72,d
All-purposes household cleaner (1 l),Netherlands,Euro,2015,1.28,
All-purposes household cleaner (1 l),Poland,Euro,2015,:,
All-purposes household cleaner (1 l),Romania,Euro,2015,:,
All-purposes household cleaner (1 l),Slovenia,Euro,2015,1.76,d
All-purposes household cleaner (1 l),Slovakia,Euro,2015,2.51,
All-purposes household cleaner (1 l),Finland,Euro,2015,2.7,
All-purposes household cleaner (1 l),Norway,Euro,2015,2.71,
All-purposes household cleaner (1 l),Turkey,Euro,2015,1.44,
Cleaner for WC (1 l),Bulgaria,Euro,2015,1.9,
Cleaner for WC (1 l),Czechia,Euro,2015,2.27,d
Cleaner for WC (1 l),Germany (until 1990 former territory of the FRG),Euro,2015,:,
Cleaner for WC (1 l),Spain,Euro,2015,:,
Cleaner for WC (1 l),Croatia,Euro,2015,2.6,
Cleaner for WC (1 l),Italy,Euro,2015,2.58,
Cleaner for WC (1 l),Cyprus,Euro,2015,2.04,
Cleaner for WC (1 l),Lithuania,Euro,2015,2.58,
Cleaner for WC (1 l),Malta,Euro,2015,3.33,d
Cleaner for WC (1 l),Netherlands,Euro,2015,2.03,
Cleaner for WC (1 l),Poland,Euro,2015,2.69,d
Cleaner for WC (1 l),Romania,Euro,2015,2.32,
Cleaner for WC (1 l),Slovenia,Euro,2015,2.23,
Cleaner for WC (1 l),Slovakia,Euro,2015,2.52,
Cleaner for WC (1 l),Finland,Euro,2015,:,
Cleaner for WC (1 l),Norway,Euro,2015,4.47,
Cleaner for WC (1 l),Turkey,Euro,2015,:,
Cleaning liquid for windows (1 l),Bulgaria,Euro,2015,2.43,
Cleaning liquid for windows (1 l),Czechia,Euro,2015,3.35,
Cleaning liquid for windows (1 l),Germany (until 1990 former territory of the FRG),Euro,2015,:,
Cleaning liquid for windows (1 l),Spain,Euro,2015,:,
Cleaning liquid for windows (1 l),Croatia,Euro,2015,2.7,
Cleaning liquid for windows (1 l),Italy,Euro,2015,:,
Cleaning liquid for windows (1 l),Cyprus,Euro,2015,2.96,
Cleaning liquid for windows (1 l),Lithuania,Euro,2015,3.33,
Cleaning liquid for windows (1 l),Malta,Euro,2015,3.34,
Cleaning liquid for windows (1 l),Netherlands,Euro,2015,2.64,
Cleaning liquid for windows (1 l),Poland,Euro,2015,3.15,
Cleaning liquid for windows (1 l),Romania,Euro,2015,2.77,
Cleaning liquid for windows (1 l),Slovenia,Euro,2015,2.4,
Cleaning liquid for windows (1 l),Slovakia,Euro,2015,3.97,
Cleaning liquid for windows (1 l),Finland,Euro,2015,:,
Cleaning liquid for windows (1 l),Norway,Euro,2015,4.98,
Cleaning liquid for windows (1 l),Turkey,Euro,2015,:,
"Detergent for washing machine, powder, 70-90 g/wash (1 kg) ",Bulgaria,Euro,2015,3.18,
"Detergent for washing machine, powder, 70-90 g/wash (1 kg) ",Czechia,Euro,2015,2.45,
"Detergent for washing machine, powder, 70-90 g/wash (1 kg) ",Germany (until 1990 former territory of the FRG),Euro,2015,:,
"Detergent for washing machine, powder, 70-90 g/wash (1 kg) ",Spain,Euro,2015,:,
"Detergent for washing machine, powder, 70-90 g/wash (1 kg) ",Croatia,Euro,2015,3.16,
"Detergent for washing machine, powder, 70-90 g/wash (1 kg) ",Italy,Euro,2015,:,
"Detergent for washing machine, powder, 70-90 g/wash (1 kg) ",Cyprus,Euro,2015,3.03,
"Detergent for washing machine, powder, 70-90 g/wash (1 kg) ",Lithuania,Euro,2015,3.79,
"Detergent for washing machine, powder, 70-90 g/wash (1 kg) ",Malta,Euro,2015,3.4,d
"Detergent for washing machine, powder, 70-90 g/wash (1 kg) ",Netherlands,Euro,2015,2.76,
"Detergent for washing machine, powder, 70-90 g/wash (1 kg) ",Poland,Euro,2015,:,
"Detergent for washing machine, powder, 70-90 g/wash (1 kg) ",Romania,Euro,2015,3.06,
"Detergent for washing machine, powder, 70-90 g/wash (1 kg) ",Slovenia,Euro,2015,:,
"Detergent for washing machine, powder, 70-90 g/wash (1 kg) ",Slovakia,Euro,2015,3.01,
"Detergent for washing machine, powder, 70-90 g/wash (1 kg) ",Finland,Euro,2015,:,
"Detergent for washing machine, powder, 70-90 g/wash (1 kg) ",Norway,Euro,2015,:,
"Detergent for washing machine, powder, 70-90 g/wash (1 kg) ",Turkey,Euro,2015,2.1,
"Detergent for washing machine, powder, > 90 g/wash (1 kg) ",Bulgaria,Euro,2015,1.93,
"Detergent for washing machine, powder, > 90 g/wash (1 kg) ",Czechia,Euro,2015,:,
"Detergent for washing machine, powder, > 90 g/wash (1 kg) ",Germany (until 1990 former territory of the FRG),Euro,2015,:,
"Detergent for washing machine, powder, > 90 g/wash (1 kg) ",Spain,Euro,2015,:,
"Detergent for washing machine, powder, > 90 g/wash (1 kg) ",Croatia,Euro,2015,:,
"Detergent for washing machine, powder, > 90 g/wash (1 kg) ",Italy,Euro,2015,2.58,d
"Detergent for washing machine, powder, > 90 g/wash (1 kg) ",Cyprus,Euro,2015,:,
"Detergent for washing machine, powder, > 90 g/wash (1 kg) ",Lithuania,Euro,2015,:,
"Detergent for washing machine, powder, > 90 g/wash (1 kg) ",Malta,Euro,2015,2.93,d
"Detergent for washing machine, powder, > 90 g/wash (1 kg) ",Netherlands,Euro,2015,:,
"Detergent for washing machine, powder, > 90 g/wash (1 kg) ",Poland,Euro,2015,2.44,
"Detergent for washing machine, powder, > 90 g/wash (1 kg) ",Romania,Euro,2015,2.1,
"Detergent for washing machine, powder, > 90 g/wash (1 kg) ",Slovenia,Euro,2015,2.52,
"Detergent for washing machine, powder, > 90 g/wash (1 kg) ",Slovakia,Euro,2015,:,
"Detergent for washing machine, powder, > 90 g/wash (1 kg) ",Finland,Euro,2015,:,
"Detergent for washing machine, powder, > 90 g/wash (1 kg) ",Norway,Euro,2015,1.12,
