TIME,GEO,All-purposes household cleaner (1 l),Cleaner for WC (1 l),Cleaning liquid for windows (1 l),"Detergent for washing machine, powder, 70-90 g/wash (1 kg) ","Detergent for washing machine, powder, > 90 g/wash (1 kg) "
2010,European Union - 27 countries (from 2020),1.6219138755980864,2.265909090909091,2.897978468899522,3.792416267942585,2.3016866028708134
2010,European Union - 28 countries (2013-2020),1.6267942583732058,2.272727272727273,2.906698564593302,3.8038277511961724,2.308612440191388
2010,European Union - 15 countries (1995-2004),1.6544497607655504,2.3113636363636365,2.9561124401913883,3.8684928229665076,2.3478588516746415
2010,Euro area - 19 countries  (from 2015),1.6381818181818186,2.2886363636363636,2.927045454545455,3.8304545454545456,2.324772727272727
2010,Euro area - 12 countries (2001-2006),1.6398086124401914,2.290909090909091,2.9299521531100483,3.8342583732057416,2.3270813397129184
2010,Belgium,1.7195215311004788,2.4022727272727273,3.07238038277512,4.020645933014355,2.4402033492822968
2010,Bulgaria,1.36,1.90,2.43,3.18,1.93
2010,Czechia,2.23,2.27,3.35,2.45,2.241662679425837
2010,Denmark,1.973301435406699,2.756818181818182,3.5258253588516753,4.614043062200958,2.800346889952153
2010,Germany (until 1990 former territory of the FRG),1.5210526315789477,2.125,2.717763157894737,3.556578947368422,2.158552631578947
2010,Estonia,1.5291866028708136,2.1363636363636362,2.7322966507177036,3.5755980861244026,2.1700956937799045
2010,Ireland,1.5470813397129188,2.161363636363636,2.76427033492823,3.6174401913875602,2.1954904306220095
2010,Greece,1.5747368421052632,2.2,2.8136842105263162,3.682105263157895,2.234736842105263
2010,Spain,1.768325358851675,2.4704545454545457,3.1595813397129193,4.13476076555024,2.5094617224880382
2010,France,1.7471770334928234,2.440909090909091,3.1217942583732063,4.08531100478469,2.4794497607655503
2010,Croatia,2.72,2.60,2.70,3.16,2.3063038277511967
2010,Italy,2.20,2.58,3.1247009569377995,4.089114832535886,2.58
2010,Cyprus,2.03,2.04,2.96,3.03,2.698767942583732
2010,Latvia,1.413684210526316,1.9750000000000003,2.5259210526315794,3.3055263157894745,2.006184210526316
2010,Lithuania,2.06,2.58,3.33,3.79,2.0638995215311007
2010,Luxembourg,1.5812440191387562,2.2090909090909094,2.8253110047846897,3.6973205741626796,2.243971291866029
2010,Hungary,1.348612440191388,1.884090909090909,2.4096531100478473,3.153373205741627,1.9138397129186606
2010,Malta,3.72,3.33,3.34,3.40,2.93
2010,Netherlands,1.28,2.03,2.64,2.76,2.103145933014354
2010,Austria,1.5975119617224884,2.231818181818182,2.854377990430623,3.7353588516746417,2.2670574162679427
2010,Poland,1.3307177033492825,2.69,3.15,3.1115311004784694,2.44
2010,Portugal,1.493397129186603,2.0863636363636364,2.668349282296651,3.4919138755980863,2.1193062200956936
2010,Romania,1.3225837320574163,2.32,2.77,3.06,2.10
2010,Slovenia,1.76,2.23,2.40,4.00543062200957,2.52
2010,Slovakia,2.51,2.52,3.97,3.01,2.133157894736842
2010,Finland,2.70,2.4727272727272727,3.1624880382775125,4.138564593301435,2.5117703349282294
2010,Sweden,2.036746411483254,2.8454545454545457,3.639186602870814,4.762392344497608,2.890382775119617
2010,United Kingdom,1.665837320574163,2.3272727272727276,2.976459330143541,3.895119617224881,2.3640191387559812
2010,Iceland,2.5947368421052635,3.6250000000000004,4.6361842105263165,6.067105263157895,3.6822368421052634
2010,Norway,2.71,4.47,4.98,4.918349282296652,1.12
2010,Switzerland,1.8382775119617227,2.5681818181818183,3.2845693779904312,4.298325358851676,2.608732057416268
2010,Montenegro,1.3290909090909093,1.856818181818182,2.3747727272727275,3.1077272727272733,1.886136363636364
2010,North Macedonia,1.2428708133971293,1.7363636363636363,2.2207177033492824,2.906124401913876,1.7637799043062201
2010,Albania,1.5926315789473686,2.225,2.8456578947368425,3.7239473684210536,2.2601315789473686
2010,Serbia,1.4169377990430623,1.9795454545454545,2.5317344497607657,3.313133971291866,2.0108014354066985
2010,Turkey,1.44,2.2159090909090913,2.834031100478469,2.10,2.250897129186603
2010,Bosnia and Herzegovina,1.4885167464114835,2.0795454545454546,2.659629186602871,3.480502392344498,2.11238038277512
2010,Kosovo (under United Nations Security Council Resolution 1244/99),1.6267942583732058,2.272727272727273,2.906698564593302,3.8038277511961724,2.308612440191388
2011,European Union - 27 countries (from 2020),1.6151015531660695,2.2563918757467145,2.8858064516129036,3.776487455197133,2.2920191158900836
2011,European Union - 28 countries (2013-2020),1.6248506571087216,2.270011947431302,2.903225806451613,3.7992831541218637,2.3058542413381122
2011,European Union - 15 countries (1995-2004),1.6557228195937876,2.313142174432497,2.9583870967741936,3.8714695340501795,2.3496654719235366
2011,Euro area - 19 countries  (from 2015),1.6329749103942652,2.2813620071684584,2.9177419354838707,3.818279569892473,2.317383512544803
2011,Euro area - 12 countries (2001-2006),1.6345997610513738,2.2836320191158896,2.9206451612903224,3.822078853046595,2.319689366786141
2011,Belgium,1.7369653524492235,2.426642771804062,3.1035483870967746,4.061433691756273,2.464958183990442
2011,Bulgaria,1.36,1.90,2.43,3.18,1.93
2011,Czechia,2.23,2.27,3.35,2.45,2.206702508960573
2011,Denmark,1.9595698924731182,2.7376344086021502,3.501290322580645,4.581935483870967,2.780860215053763
2011,Germany (until 1990 former territory of the FRG),1.5159856630824373,2.117921146953405,2.7087096774193546,3.544731182795699,2.1513620071684585
2011,Estonia,1.5127359617682197,2.113381123058542,2.7029032258064514,3.537132616487455,2.1467502986857823
2011,Ireland,1.494862604540024,2.0884109916367977,2.670967741935484,3.4953405017921146,2.1213859020310633
2011,Greece,1.5663560334528077,2.1882915173237754,2.7987096774193554,3.6625089605734766,2.22284348864994
2011,Spain,1.7499641577060931,2.4448028673835123,3.1267741935483873,4.091827956989248,2.4834050179211467
2011,France,1.7142174432497015,2.3948626045400236,3.0629032258064517,4.0082437275985665,2.432676224611708
2011,Croatia,2.72,2.60,2.70,3.16,2.3035483870967743
2011,Italy,2.20,2.58,3.1441935483870966,4.114623655913978,2.58
2011,Cyprus,2.03,2.04,2.96,3.03,2.6794026284348864
2011,Latvia,1.3697491039426524,1.9136200716845877,2.44741935483871,3.202795698924731,1.9438351254480284
2011,Lithuania,2.06,2.58,3.33,3.79,2.0406810035842295
