"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"2010","European Union - 27 countries (from 2020)","Percentage of total","Footwear","1.0",""
"2010","European Union - 27 countries (from 2020)","Current prices, million euro","Footwear","58 304.9",""
"2010","European Union - 27 countries (from 2020)","Chain linked volumes (2010), million euro","Footwear","58 304.9",""
"2010","European Union - 28 countries (2013-2020)","Percentage of total","Footwear","0.9",""
"2010","European Union - 28 countries (2013-2020)","Current prices, million euro","Footwear","66 358.8",""
"2010","European Union - 28 countries (2013-2020)","Chain linked volumes (2010), million euro","Footwear","66 358.8",""
"2010","European Union - 15 countries (1995-2004)","Percentage of total","Footwear","0.9",""
"2010","European Union - 15 countries (1995-2004)","Current prices, million euro","Footwear","59 772.9",""
"2010","European Union - 15 countries (1995-2004)","Chain linked volumes (2010), million euro","Footwear","59 772.9",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage of total","Footwear","1.0",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, million euro","Footwear","50 179.0",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Chain linked volumes (2010), million euro","Footwear","50 179.0",""
"2010","Euro area - 19 countries  (from 2015)","Percentage of total","Footwear","1.0",""
"2010","Euro area - 19 countries  (from 2015)","Current prices, million euro","Footwear","50 763.7",""
"2010","Euro area - 19 countries  (from 2015)","Chain linked volumes (2010), million euro","Footwear","50 763.7",""
"2010","Euro area - 12 countries (2001-2006)","Percentage of total","Footwear","1.0",""
"2010","Euro area - 12 countries (2001-2006)","Current prices, million euro","Footwear","49 177.4",""
"2010","Euro area - 12 countries (2001-2006)","Chain linked volumes (2010), million euro","Footwear","49 177.4",""
"2010","Belgium","Percentage of total","Footwear","0.8",""
"2010","Belgium","Current prices, million euro","Footwear","1 480.7",""
"2010","Belgium","Chain linked volumes (2010), million euro","Footwear","1 480.7",""
"2010","Bulgaria","Percentage of total","Footwear","0.7",""
"2010","Bulgaria","Current prices, million euro","Footwear","190.4",""
"2010","Bulgaria","Chain linked volumes (2010), million euro","Footwear","190.4",""
"2010","Czechia","Percentage of total","Footwear","0.9",""
"2010","Czechia","Current prices, million euro","Footwear","676.6",""
"2010","Czechia","Chain linked volumes (2010), million euro","Footwear","676.6",""
"2010","Denmark","Percentage of total","Footwear","0.9",""
