"COICOP","GEO","UNIT","TIME","Value","Flag and Footnotes"
"Men's lace-up shoes (1 pair)","Bulgaria","Euro","2015",":",""
"Men's lace-up shoes (1 pair)","Czechia","Euro","2015","56.65",""
"Men's lace-up shoes (1 pair)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Men's lace-up shoes (1 pair)","Spain","Euro","2015",":",""
"Men's lace-up shoes (1 pair)","Croatia","Euro","2015","57.94","d"
"Men's lace-up shoes (1 pair)","Italy","Euro","2015","89.57","d"
"Men's lace-up shoes (1 pair)","Cyprus","Euro","2015","80.57",""
"Men's lace-up shoes (1 pair)","Lithuania","Euro","2015","71.49",""
"Men's lace-up shoes (1 pair)","Malta","Euro","2015","56.93",""
"Men's lace-up shoes (1 pair)","Netherlands","Euro","2015","123.68",""
"Men's lace-up shoes (1 pair)","Poland","Euro","2015","46.54",""
"Men's lace-up shoes (1 pair)","Romania","Euro","2015","45.96",""
"Men's lace-up shoes (1 pair)","Slovenia","Euro","2015","68.24",""
"Men's lace-up shoes (1 pair)","Slovakia","Euro","2015","59.53",""
"Men's lace-up shoes (1 pair)","Finland","Euro","2015",":",""
"Men's lace-up shoes (1 pair)","Norway","Euro","2015","115.99",""
"Men's lace-up shoes (1 pair)","Turkey","Euro","2015",":",""
"Men's street shoes (1 pair)","Bulgaria","Euro","2015",":",""
"Men's street shoes (1 pair)","Czechia","Euro","2015","47.26","d"
"Men's street shoes (1 pair)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Men's street shoes (1 pair)","Spain","Euro","2015",":",""
"Men's street shoes (1 pair)","Croatia","Euro","2015","52.05","d"
"Men's street shoes (1 pair)","Italy","Euro","2015","66.25","d"
"Men's street shoes (1 pair)","Cyprus","Euro","2015","39.79",""
"Men's street shoes (1 pair)","Lithuania","Euro","2015","27.62",""
"Men's street shoes (1 pair)","Malta","Euro","2015","35.49",""
"Men's street shoes (1 pair)","Netherlands","Euro","2015","61.02",""
"Men's street shoes (1 pair)","Poland","Euro","2015","31.89",""
"Men's street shoes (1 pair)","Romania","Euro","2015",":",""
"Men's street shoes (1 pair)","Slovenia","Euro","2015","30.99",""
"Men's street shoes (1 pair)","Slovakia","Euro","2015","39.24",""
"Men's street shoes (1 pair)","Finland","Euro","2015",":",""
"Men's street shoes (1 pair)","Norway","Euro","2015",":",""
"Men's street shoes (1 pair)","Turkey","Euro","2015","42.41",""
"Ladies' conventional court shoes (1 pair)","Bulgaria","Euro","2015",":",""
"Ladies' conventional court shoes (1 pair)","Czechia","Euro","2015","53.52",""
