Name,BUURTCODE,Population,Consumptionpercapita,Total Consumption
Belgisch Park,71,8205,2.5619437887794105,21020.748786935063
Westbroekpark,73,880,2.8977022828316987,2549.9780088918947
Duttendel,74,1075,2.9021050394511447,3119.7629174099807
Nassaubuurt,48,1625,2.478516448228261,4027.5892283709245
Uilennest,75,2100,2.7926831346189105,5864.634582699712
Duinzigt,76,2495,2.768052891522194,6906.2919643478735
Waalsdorp,77,3810,2.334658094913985,8895.047341622281
Arendsdorp,78,1305,2.3472534666060425,3063.1657739208854
Van Hoytemastraat en omgeving,79,2360,2.3373534722555815,5516.154194523172
Archipelbuurt,46,6100,2.9187046830074497,17804.09856634544
Van Stolkpark en Scheveningse Bosjes,5,760,2.766328228097393,2102.4094533540188
Oud Scheveningen,1,2920,2.525247699631117,7373.7232829228615
Vissershaven,2,3560,2.298322624487376,8182.028543175058
Scheveningen Badplaats,3,5390,2.5090100382451883,13523.564106141564
Visserijbuurt,4,3860,2.5043217896978973,9666.682108233883
Rijslag,72,1610,2.3292852321601982,3750.1492237779194
Duindorp,100,5955,2.316274893310752,13793.416989665528
Statenkwartier,7,9665,2.7579899139021418,26655.9725178642
Geuzenkwartier,8,4390,2.8135112748273197,12351.314496491934
Zorgvliet,41,500,2.4409002007210763,1220.450100360538
Stadhoudersplantsoen,42,1960,2.5662123482480967,5029.77620256627
Sweelinckplein en omgeving,43,5810,2.573964169892904,14954.731827077772
Bloemenbuurt-West,50,2340,2.382282480252523,5574.541003790904
Bloemenbuurt-Oost,51,6460,2.6184637016217795,16915.275512476695
Bomenbuurt,52,5865,2.6123373107003482,15321.358327257543
Vogelwijk,9,5350,2.5368600485684785,13572.20125984136
Bosjes van Pex,81,400,2.5947887993095566,1037.9155197238226
Bohemen en Meer en Bos,92,4485,2.507693946271282,11247.007349026699
Ockenburgh,90,795,3.0849057483920514,2452.500069971681
Kijkduin,91,1550,2.930286875327135,4541.944656757059
Kraayenstein,97,5875,2.0094757918641646,11805.670277201967
Houtwijk,86,12820,2.249974571859363,28844.67401123703
Kom Loosduinen,95,4975,2.5155816507280413,12515.018712372006
Waldeck-Zuid,6,2035,2.5290820311336555,5146.681933356989
Nieuw Waldeck,40,7210,2.286782475237339,16487.701646461213
Rosenburg,82,2910,2.537858184219393,7385.167316078434
Componistenbuurt,93,1825,2.5542705202224583,4661.543699405986
Waldeck-Noord,94,3150,2.502340772566845,7882.3734335855615
Vruchtenbuurt,53,7165,2.5478665823235302,18255.464062348095
Eykenduinen,83,2635,2.6653773367464932,7023.26928232701
Heesterbuurt,54,6805,2.301745306093138,15663.376807963803
Valkenboskwartier,55,11435,2.5461159735339756,29114.83615736101
Rond de Energiecentrale,10,5955,3.119979760436201,18579.479473397576
Koningsplein en omgeving,44,7575,2.9869107524783116,22625.84895002321
Zeeheldenkwartier,45,11845,3.1238579474859356,37002.097387970905
Willemspark,47,1490,3.0011375629609414,4471.694968811803
Haagse Bos,49,425,2.50847092917245,1066.1001448982913
Landen,61,5155,2.2941224498602244,11826.201229029457
Kampen,67,2455,2.455294213362695,6027.747293805416
Marlot,68,805,1.8834428397028151,1516.1714859607662
Burgen en Horsten,69,6285,2.560129437327023,16090.413513600339
Bezuidenhout-West,64,3580,3.0835202757744202,11039.002587272424
Bezuidenhout-Midden,65,4285,2.7646771284490237,11846.641495404067
Bezuidenhout-Oost,66,9010,2.979533380365139,26845.5957570899
Huygenspark,18,7895,2.5022864834351477,19755.55178672049
Rivierenbuurt-Zuid,62,850,2.543259111523758,2161.7702447951942
Rivierenbuurt-Noord,63,3690,2.5356874415659676,9356.68665937842
Kortenbos,11,7275,2.7755150962383044,20191.872325133663
Voorhout,12,2355,2.749901689108015,6476.018477849376
Uilebomen,13,3180,2.6613692714017754,8463.154283057645
Zuidwal,14,6885,2.7508766802870186,18939.78594377612
Schildersbuurt-West,15,14115,2.447222445587445,34542.54481946679
Schildersbuurt-Noord,16,9985,2.468065043824191,24643.629462584548
Schildersbuurt-Oost,17,7230,2.466860128433629,17835.39872857514
Transvaalkwartier-Noord,32,3945,2.6556533455914435,10476.552448358245
Transvaalkwartier-Midden,33,5005,2.4863873105569554,12444.368489337561
Transvaalkwartier-Zuid,34,7235,2.431682132695406,17593.22023005126
Rustenburg,30,6100,2.3176660805575215,14137.763091400882
Oostbroek-Noord,31,4500,2.3091070728708,10390.9818279186
Oostbroek-Zuid,35,8055,2.1745502187049714,17516.002011668545
Leyenburg,84,14910,2.6140724445160584,38975.820147734434
"Venen, Oorden en Raden",87,8585,1.79982303434958,15451.480749891145
"Zijden, Steden en Zichten",96,7850,1.8939067646439263,14867.168102454822
Dreven en Gaarden,98,10815,1.8989277718550723,20536.903852612606
De Uithof,99,1380,2.4640633385458166,3400.407407193227
Morgenstond-Zuid,80,5930,2.2468535367404874,13323.84147287109
